aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,13,67,0
E,1,5.000000e-01,2,5.000000e-01,2,13,479,0
E,1,5.000000e-01,2,5.000000e-01,2,13,706,0
E,1,5.000000e-01,2,5.000000e-01,2,13,721,0
E,1,5.000000e-01,2,5.000000e-01,2,13,981,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1175,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1316,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1332,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1386,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1469,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1489,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1587,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1835,1
E,2,5.000000e-01,1,5.000000e-01,1,7,39,1
E,2,2.500000e-01,2,5.000000e-01,1,12,172,2
E,2,5.000000e-01,1,5.000000e-01,1,7,194,1
E,2,2.500000e-01,2,5.000000e-01,1,12,266,2
E,2,2.500000e-01,2,5.000000e-01,1,12,371,2
E,2,2.500000e-01,2,5.000000e-01,1,12,467,2
E,2,2.500000e-01,2,5.000000e-01,1,12,472,0
E,2,5.000000e-01,1,5.000000e-01,1,7,527,1
E,2,5.000000e-01,1,5.000000e-01,1,7,577,1
E,2,5.000000e-01,1,5.000000e-01,1,7,821,1
E,2,2.500000e-01,2,5.000000e-01,1,12,1009,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1140,1
E,2,5.000000e-01,1,5.000000e-01,1,7,1150,1
E,2,2.500000e-01,2,5.000000e-01,1,12,1267,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1302,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1342,2
E,2,2.500000e-01,2,5.000000e-01,1,12,1379,2
E,2,2.500000e-01,2,5.000000e-01,1,12,1967,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1987,0
E,3,3.750000e-01,2,3.750000e-01,2,17,64,2
E,3,3.750000e-01,2,3.750000e-01,2,17,352,2
E,3,3.750000e-01,2,3.750000e-01,2,17,381,2
E,3,3.750000e-01,2,3.750000e-01,2,17,430,1
E,3,1.250000e-01,2,3.750000e-01,2,5,453,0
E,3,3.750000e-01,2,3.750000e-01,2,17,481,2
E,3,3.750000e-01,2,3.750000e-01,2,17,499,1
E,3,1.250000e-01,2,3.750000e-01,2,5,554,0
E,3,3.750000e-01,2,3.750000e-01,2,17,726,2
E,3,3.750000e-01,2,3.750000e-01,2,17,812,1
E,3,3.750000e-01,2,3.750000e-01,2,17,864,1
E,3,3.750000e-01,2,3.750000e-01,2,17,905,2
E,3,1.250000e-01,2,3.750000e-01,2,5,1039,0
E,3,3.750000e-01,2,3.750000e-01,2,17,1259,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1381,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1454,2
