aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,20,53,0
E,1,5.000000e-01,2,5.000000e-01,2,20,72,0
E,1,5.000000e-01,2,5.000000e-01,2,20,217,0
E,1,5.000000e-01,2,5.000000e-01,2,20,230,1
E,1,5.000000e-01,2,5.000000e-01,2,20,252,0
E,1,5.000000e-01,2,5.000000e-01,2,20,361,0
E,1,5.000000e-01,2,5.000000e-01,2,20,451,0
E,1,5.000000e-01,2,5.000000e-01,2,20,588,0
E,1,5.000000e-01,2,5.000000e-01,2,20,633,0
E,1,5.000000e-01,2,5.000000e-01,2,20,722,1
E,1,5.000000e-01,2,5.000000e-01,2,20,723,0
E,1,5.000000e-01,2,5.000000e-01,2,20,900,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1096,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1151,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1161,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1175,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1417,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1712,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2173,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2425,0
E,2,2.500000e-01,2,5.000000e-01,1,20,32,0
E,2,2.500000e-01,2,5.000000e-01,1,20,56,0
E,2,2.500000e-01,2,5.000000e-01,1,20,403,0
E,2,5.000000e-01,1,5.000000e-01,1,7,491,1
E,2,5.000000e-01,1,5.000000e-01,1,7,755,1
E,2,2.500000e-01,2,5.000000e-01,1,20,840,0
E,2,2.500000e-01,2,5.000000e-01,1,20,930,0
E,2,5.000000e-01,1,5.000000e-01,1,7,948,1
E,2,2.500000e-01,2,5.000000e-01,1,20,1057,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1198,1
E,2,2.500000e-01,2,5.000000e-01,1,20,1222,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1223,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1486,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1512,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1517,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1650,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1696,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1798,1
E,2,2.500000e-01,2,5.000000e-01,1,20,1839,0
E,2,5.000000e-01,1,5.000000e-01,1,7,2175,1
E,2,2.500000e-01,2,5.000000e-01,1,20,2324,0
E,2,2.500000e-01,2,5.000000e-01,1,20,2421,0
E,2,5.000000e-01,1,5.000000e-01,1,7,2460,1
E,2,2.500000e-01,2,5.000000e-01,1,20,2495,0
E,2,2.500000e-01,2,5.000000e-01,1,20,2547,0
E,2,2.500000e-01,2,5.000000e-01,1,20,2659,0
E,2,2.500000e-01,2,5.000000e-01,1,20,2666,0
E,3,1.250000e-01,2,3.750000e-01,2,23,52,0
E,3,3.750000e-01,2,3.750000e-01,2,16,118,1
E,3,1.250000e-01,2,3.750000e-01,2,23,285,0
E,3,1.250000e-01,2,3.750000e-01,2,23,302,0
E,3,3.750000e-01,2,3.750000e-01,2,16,325,1
E,3,1.250000e-01,2,3.750000e-01,2,23,360,0
E,3,3.750000e-01,2,3.750000e-01,2,16,366,1
E,3,1.250000e-01,2,3.750000e-01,2,23,444,0
E,3,3.750000e-01,2,3.750000e-01,2,16,557,1
E,3,1.250000e-01,2,3.750000e-01,2,23,581,0
E,3,1.250000e-01,2,3.750000e-01,2,23,603,0
E,3,3.750000e-01,2,3.750000e-01,2,16,775,2
E,3,3.750000e-01,2,3.750000e-01,2,16,787,1
E,3,3.750000e-01,2,3.750000e-01,2,16,885,1
E,3,3.750000e-01,2,3.750000e-01,2,16,940,1
E,3,3.750000e-01,2,3.750000e-01,2,16,974,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1084,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1095,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1114,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1221,0
E,3,1.250000e-01,2,3.750000e-01,2,23,1257,0
E,3,1.250000e-01,2,3.750000e-01,2,23,1332,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1387,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1455,0
E,3,1.250000e-01,2,3.750000e-01,2,23,1501,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1757,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1764,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1786,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1857,0
E,3,1.250000e-01,2,3.750000e-01,2,23,1877,0
E,3,1.250000e-01,2,3.750000e-01,2,23,1958,0
E,3,1.250000e-01,2,3.750000e-01,2,23,1992,0
E,3,3.750000e-01,2,3.750000e-01,2,16,2106,2
E,3,3.750000e-01,2,3.750000e-01,2,16,2123,1
E,3,1.250000e-01,2,3.750000e-01,2,23,2239,0
E,3,1.250000e-01,2,3.750000e-01,2,23,2323,0
E,3,1.250000e-01,2,3.750000e-01,2,23,2363,0
E,3,1.250000e-01,2,3.750000e-01,2,23,2541,0
