aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,28,10,1
E,1,5.000000e-01,2,5.000000e-01,2,28,43,0
E,1,5.000000e-01,2,5.000000e-01,2,28,274,1
E,1,5.000000e-01,2,5.000000e-01,2,28,337,1
E,1,5.000000e-01,2,5.000000e-01,2,28,348,1
E,1,5.000000e-01,2,5.000000e-01,2,28,357,1
E,1,5.000000e-01,2,5.000000e-01,2,28,376,1
E,1,5.000000e-01,2,5.000000e-01,2,28,462,1
E,1,5.000000e-01,2,5.000000e-01,2,28,673,1
E,1,5.000000e-01,2,5.000000e-01,2,28,751,1
E,1,5.000000e-01,2,5.000000e-01,2,28,784,1
E,1,5.000000e-01,2,5.000000e-01,2,28,816,1
E,1,5.000000e-01,2,5.000000e-01,2,28,912,0
E,1,5.000000e-01,2,5.000000e-01,2,28,914,1
E,1,5.000000e-01,2,5.000000e-01,2,28,916,1
E,1,5.000000e-01,2,5.000000e-01,2,28,920,1
E,1,5.000000e-01,2,5.000000e-01,2,28,923,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1118,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1127,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1245,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1523,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1666,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1668,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1802,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1872,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1894,1
E,1,5.000000e-01,2,5.000000e-01,2,28,2153,0
E,1,5.000000e-01,2,5.000000e-01,2,28,2238,1
E,2,2.500000e-01,2,5.000000e-01,1,21,25,2
E,2,2.500000e-01,2,5.000000e-01,1,21,39,2
E,2,2.500000e-01,2,5.000000e-01,1,21,493,0
E,2,2.500000e-01,2,5.000000e-01,1,21,592,2
E,2,2.500000e-01,2,5.000000e-01,1,21,624,2
E,2,5.000000e-01,1,5.000000e-01,1,6,646,1
E,2,2.500000e-01,2,5.000000e-01,1,21,904,2
E,2,5.000000e-01,1,5.000000e-01,1,6,915,1
E,2,2.500000e-01,2,5.000000e-01,1,21,918,0
E,2,2.500000e-01,2,5.000000e-01,1,21,927,2
E,2,2.500000e-01,2,5.000000e-01,1,21,935,2
E,2,2.500000e-01,2,5.000000e-01,1,21,946,2
E,2,2.500000e-01,2,5.000000e-01,1,21,1133,0
E,2,5.000000e-01,1,5.000000e-01,1,6,1456,1
E,2,2.500000e-01,2,5.000000e-01,1,21,1495,2
E,2,2.500000e-01,2,5.000000e-01,1,21,1585,2
