aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,79,3,0
E,1,5.000000e-01,2,5.000000e-01,2,79,50,0
E,1,5.000000e-01,2,5.000000e-01,2,79,98,0
E,1,5.000000e-01,2,5.000000e-01,2,79,110,0
E,1,5.000000e-01,2,5.000000e-01,2,79,133,0
E,1,5.000000e-01,2,5.000000e-01,2,79,135,0
E,1,5.000000e-01,2,5.000000e-01,2,79,140,0
E,1,5.000000e-01,2,5.000000e-01,2,79,172,0
E,1,5.000000e-01,2,5.000000e-01,2,79,184,0
E,1,5.000000e-01,2,5.000000e-01,2,79,210,0
E,1,5.000000e-01,2,5.000000e-01,2,79,220,0
E,1,5.000000e-01,2,5.000000e-01,2,79,221,0
E,1,5.000000e-01,2,5.000000e-01,2,79,239,0
E,1,5.000000e-01,2,5.000000e-01,2,79,240,0
E,1,5.000000e-01,2,5.000000e-01,2,79,278,0
E,1,5.000000e-01,2,5.000000e-01,2,79,291,0
E,1,5.000000e-01,2,5.000000e-01,2,79,301,0
E,1,5.000000e-01,2,5.000000e-01,2,79,332,0
E,1,5.000000e-01,2,5.000000e-01,2,79,353,0
E,1,5.000000e-01,2,5.000000e-01,2,79,392,0
E,1,5.000000e-01,2,5.000000e-01,2,79,401,0
E,1,5.000000e-01,2,5.000000e-01,2,79,409,0
E,1,5.000000e-01,2,5.000000e-01,2,79,488,0
E,1,5.000000e-01,2,5.000000e-01,2,79,527,0
E,1,5.000000e-01,2,5.000000e-01,2,79,568,0
E,1,5.000000e-01,2,5.000000e-01,2,79,577,0
E,1,5.000000e-01,2,5.000000e-01,2,79,582,0
E,1,5.000000e-01,2,5.000000e-01,2,79,583,0
E,1,5.000000e-01,2,5.000000e-01,2,79,626,0
E,1,5.000000e-01,2,5.000000e-01,2,79,646,0
E,1,5.000000e-01,2,5.000000e-01,2,79,762,0
E,1,5.000000e-01,2,5.000000e-01,2,79,824,0
E,1,5.000000e-01,2,5.000000e-01,2,79,876,0
E,1,5.000000e-01,2,5.000000e-01,2,79,897,0
