aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,11,13,0
E,1,5.000000e-01,2,5.000000e-01,2,11,21,0
E,1,5.000000e-01,2,5.000000e-01,2,11,106,0
E,1,5.000000e-01,2,5.000000e-01,2,11,270,0
E,1,5.000000e-01,2,5.000000e-01,2,11,400,0
E,1,5.000000e-01,2,5.000000e-01,2,11,470,0
E,1,5.000000e-01,2,5.000000e-01,2,11,550,0
E,1,5.000000e-01,2,5.000000e-01,2,11,866,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1215,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1231,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1668,0
E,2,2.500000e-01,2,5.000000e-01,1,7,301,2
E,2,5.000000e-01,1,5.000000e-01,1,6,418,2
E,2,2.500000e-01,2,5.000000e-01,1,7,424,2
E,2,2.500000e-01,2,5.000000e-01,1,7,502,2
E,2,5.000000e-01,1,5.000000e-01,1,6,646,2
E,2,2.500000e-01,2,5.000000e-01,1,7,744,2
E,2,5.000000e-01,1,5.000000e-01,1,6,838,2
E,2,2.500000e-01,2,5.000000e-01,1,7,901,2
E,2,5.000000e-01,1,5.000000e-01,1,6,979,2
E,2,5.000000e-01,1,5.000000e-01,1,6,992,2
E,2,5.000000e-01,1,5.000000e-01,1,6,1496,2
E,2,2.500000e-01,2,5.000000e-01,1,7,1667,2
E,2,2.500000e-01,2,5.000000e-01,1,7,1725,2
E,3,3.750000e-01,2,3.750000e-01,2,19,113,2
E,3,3.750000e-01,2,3.750000e-01,2,19,195,2
E,3,3.750000e-01,2,3.750000e-01,2,19,241,2
E,3,3.750000e-01,2,3.750000e-01,2,19,286,2
E,3,1.250000e-01,2,3.750000e-01,2,4,292,2
E,3,3.750000e-01,2,3.750000e-01,2,19,329,2
E,3,3.750000e-01,2,3.750000e-01,2,19,337,2
E,3,3.750000e-01,2,3.750000e-01,2,19,500,2
E,3,3.750000e-01,2,3.750000e-01,2,19,539,2
E,3,1.250000e-01,2,3.750000e-01,2,4,903,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1134,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1260,2
E,3,1.250000e-01,2,3.750000e-01,2,4,1267,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1315,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1373,2
E,3,1.250000e-01,2,3.750000e-01,2,4,1553,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1640,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1671,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1748,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1754,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1756,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1757,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1807,2
E,4,3.750000e-01,1,3.750000e-01,1,10,61,2
E,4,2.500000e-01,2,3.750000e-01,1,15,67,2
E,4,3.750000e-01,1,3.750000e-01,1,10,192,2
E,4,2.500000e-01,2,3.750000e-01,1,15,194,2
E,4,3.750000e-01,1,3.750000e-01,1,10,232,2
E,4,2.500000e-01,2,3.750000e-01,1,15,259,2
E,4,3.750000e-01,1,3.750000e-01,1,10,272,2
E,4,3.750000e-01,1,3.750000e-01,1,10,279,2
E,4,6.250000e-02,2,3.750000e-01,1,2,334,2
E,4,2.500000e-01,2,3.750000e-01,1,15,396,2
E,4,2.500000e-01,2,3.750000e-01,1,15,397,2
E,4,3.750000e-01,1,3.750000e-01,1,10,751,2
E,4,3.750000e-01,1,3.750000e-01,1,10,775,2
E,4,2.500000e-01,2,3.750000e-01,1,15,807,2
E,4,2.500000e-01,2,3.750000e-01,1,15,837,2
