aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,12,49,1
E,1,5.000000e-01,2,5.000000e-01,2,12,114,1
E,1,5.000000e-01,2,5.000000e-01,2,12,116,1
E,1,5.000000e-01,2,5.000000e-01,2,12,276,1
E,1,5.000000e-01,2,5.000000e-01,2,12,295,1
E,1,5.000000e-01,2,5.000000e-01,2,12,427,1
E,1,5.000000e-01,2,5.000000e-01,2,12,485,1
E,1,5.000000e-01,2,5.000000e-01,2,12,1085,1
E,1,5.000000e-01,2,5.000000e-01,2,12,1169,1
E,1,5.000000e-01,2,5.000000e-01,2,12,1315,1
E,1,5.000000e-01,2,5.000000e-01,2,12,1367,1
E,1,5.000000e-01,2,5.000000e-01,2,12,1634,1
E,2,2.500000e-01,2,5.000000e-01,1,10,174,2
E,2,2.500000e-01,2,5.000000e-01,1,10,215,2
E,2,2.500000e-01,2,5.000000e-01,1,10,256,2
E,2,2.500000e-01,2,5.000000e-01,1,10,263,2
E,2,5.000000e-01,1,5.000000e-01,1,5,322,2
E,2,5.000000e-01,1,5.000000e-01,1,5,431,2
E,2,2.500000e-01,2,5.000000e-01,1,10,515,2
E,2,5.000000e-01,1,5.000000e-01,1,5,598,2
E,2,5.000000e-01,1,5.000000e-01,1,5,599,2
E,2,2.500000e-01,2,5.000000e-01,1,10,886,2
E,2,2.500000e-01,2,5.000000e-01,1,10,1029,2
E,2,2.500000e-01,2,5.000000e-01,1,10,1341,2
E,2,2.500000e-01,2,5.000000e-01,1,10,1443,2
E,2,5.000000e-01,1,5.000000e-01,1,5,1539,2
E,2,2.500000e-01,2,5.000000e-01,1,10,1586,2
E,3,3.750000e-01,2,3.750000e-01,2,14,20,2
E,3,3.750000e-01,2,3.750000e-01,2,14,65,2
E,3,1.250000e-01,2,3.750000e-01,2,9,71,2
E,3,1.250000e-01,2,3.750000e-01,2,9,436,2
E,3,3.750000e-01,2,3.750000e-01,2,14,513,2
E,3,1.250000e-01,2,3.750000e-01,2,9,570,2
E,3,3.750000e-01,2,3.750000e-01,2,14,602,2
E,3,1.250000e-01,2,3.750000e-01,2,9,675,2
E,3,1.250000e-01,2,3.750000e-01,2,9,681,2
E,3,3.750000e-01,2,3.750000e-01,2,14,738,2
E,3,3.750000e-01,2,3.750000e-01,2,14,796,2
E,3,3.750000e-01,2,3.750000e-01,2,14,843,2
E,3,3.750000e-01,2,3.750000e-01,2,14,850,2
E,3,3.750000e-01,2,3.750000e-01,2,14,874,2
E,3,3.750000e-01,2,3.750000e-01,2,14,1086,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1116,2
E,3,3.750000e-01,2,3.750000e-01,2,14,1124,2
E,3,3.750000e-01,2,3.750000e-01,2,14,1197,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1337,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1356,2
E,3,3.750000e-01,2,3.750000e-01,2,14,1604,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1615,2
E,3,3.750000e-01,2,3.750000e-01,2,14,1646,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1,2
E,4,2.500000e-01,2,3.750000e-01,1,12,11,2
E,4,6.250000e-02,2,3.750000e-01,1,3,38,2
E,4,3.750000e-01,1,3.750000e-01,1,12,51,2
E,4,6.250000e-02,2,3.750000e-01,1,3,58,2
E,4,3.750000e-01,1,3.750000e-01,1,12,91,2
E,4,2.500000e-01,2,3.750000e-01,1,12,113,2
E,4,2.500000e-01,2,3.750000e-01,1,12,141,2
E,4,3.750000e-01,1,3.750000e-01,1,12,321,2
E,4,2.500000e-01,2,3.750000e-01,1,12,323,2
E,4,3.750000e-01,1,3.750000e-01,1,12,337,2
E,4,3.750000e-01,1,3.750000e-01,1,12,565,2
E,4,2.500000e-01,2,3.750000e-01,1,12,727,2
E,4,2.500000e-01,2,3.750000e-01,1,12,856,2
E,4,2.500000e-01,2,3.750000e-01,1,12,892,2
E,4,3.750000e-01,1,3.750000e-01,1,12,915,2
E,4,2.500000e-01,2,3.750000e-01,1,12,1002,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1003,2
E,4,6.250000e-02,2,3.750000e-01,1,3,1005,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1063,2
E,4,2.500000e-01,2,3.750000e-01,1,12,1121,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1245,2
E,4,2.500000e-01,2,3.750000e-01,1,12,1303,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1313,2
E,4,2.500000e-01,2,3.750000e-01,1,12,1546,2
E,4,2.500000e-01,2,3.750000e-01,1,12,1570,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1688,2
E,5,3.125000e-01,2,3.125000e-01,2,14,43,2
E,5,3.125000e-01,2,3.125000e-01,2,14,131,2
E,5,1.562500e-01,2,3.125000e-01,2,10,179,2
E,5,1.562500e-01,2,3.125000e-01,2,10,261,2
E,5,3.125000e-01,2,3.125000e-01,2,14,415,2
E,5,1.562500e-01,2,3.125000e-01,2,10,421,2
E,5,3.125000e-01,2,3.125000e-01,2,14,490,2
E,5,3.125000e-01,2,3.125000e-01,2,14,511,2
E,5,3.125000e-01,2,3.125000e-01,2,14,530,2
E,5,3.125000e-01,2,3.125000e-01,2,14,669,2
E,5,1.562500e-01,2,3.125000e-01,2,10,736,2
E,5,3.125000e-02,2,3.125000e-01,2,1,775,2
E,5,3.125000e-01,2,3.125000e-01,2,14,864,2
E,5,3.125000e-01,2,3.125000e-01,2,14,959,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1147,2
E,5,1.562500e-01,2,3.125000e-01,2,10,1199,2
E,5,1.562500e-01,2,3.125000e-01,2,10,1243,2
E,5,1.562500e-01,2,3.125000e-01,2,10,1304,2
E,5,1.562500e-01,2,3.125000e-01,2,10,1305,2
E,5,1.562500e-01,2,3.125000e-01,2,10,1309,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1355,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1474,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1505,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1677,2
E,5,1.562500e-01,2,3.125000e-01,2,10,1712,2
E,6,2.343750e-01,2,3.125000e-01,1,17,35,4
E,6,9.375000e-02,2,3.125000e-01,1,9,48,4
E,6,3.125000e-01,1,3.125000e-01,1,5,72,4
E,6,2.343750e-01,2,3.125000e-01,1,17,90,4
E,6,2.343750e-01,2,3.125000e-01,1,17,120,4
E,6,2.343750e-01,2,3.125000e-01,1,17,182,4
E,6,2.343750e-01,2,3.125000e-01,1,17,202,4
E,6,2.343750e-01,2,3.125000e-01,1,17,383,4
E,6,3.125000e-01,1,3.125000e-01,1,5,400,4
E,6,2.343750e-01,2,3.125000e-01,1,17,402,4
E,6,9.375000e-02,2,3.125000e-01,1,9,418,4
E,6,9.375000e-02,2,3.125000e-01,1,9,430,4
E,6,9.375000e-02,2,3.125000e-01,1,9,446,4
E,6,2.343750e-01,2,3.125000e-01,1,17,451,4
E,6,2.343750e-01,2,3.125000e-01,1,17,514,4
E,6,2.343750e-01,2,3.125000e-01,1,17,585,4
E,6,9.375000e-02,2,3.125000e-01,1,9,643,4
E,6,2.343750e-01,2,3.125000e-01,1,17,680,4
E,6,9.375000e-02,2,3.125000e-01,1,9,705,4
E,6,3.125000e-01,1,3.125000e-01,1,5,733,4
E,6,2.343750e-01,2,3.125000e-01,1,17,761,4
E,6,2.343750e-01,2,3.125000e-01,1,17,787,4
E,6,2.343750e-01,2,3.125000e-01,1,17,828,4
E,6,2.343750e-01,2,3.125000e-01,1,17,1028,4
E,6,9.375000e-02,2,3.125000e-01,1,9,1260,4
E,6,9.375000e-02,2,3.125000e-01,1,9,1268,4
E,6,9.375000e-02,2,3.125000e-01,1,9,1284,4
E,6,2.343750e-01,2,3.125000e-01,1,17,1327,4
E,6,2.343750e-01,2,3.125000e-01,1,17,1471,4
E,6,3.125000e-01,1,3.125000e-01,1,5,1583,4
E,6,3.125000e-01,1,3.125000e-01,1,5,1612,4
E,7,2.734375e-01,2,2.734375e-01,2,17,24,4
E,7,7.812500e-03,2,2.734375e-01,2,1,29,4
E,7,2.734375e-01,2,2.734375e-01,2,17,39,4
E,7,2.734375e-01,2,2.734375e-01,2,17,54,4
E,7,2.734375e-01,2,2.734375e-01,2,17,115,4
E,7,2.734375e-01,2,2.734375e-01,2,17,160,4
E,7,5.468750e-02,2,2.734375e-01,2,3,339,4
E,7,1.640625e-01,2,2.734375e-01,2,10,437,4
E,7,2.734375e-01,2,2.734375e-01,2,17,459,4
E,7,2.734375e-01,2,2.734375e-01,2,17,508,4
E,7,2.734375e-01,2,2.734375e-01,2,17,519,4
E,7,1.640625e-01,2,2.734375e-01,2,10,520,4
E,7,5.468750e-02,2,2.734375e-01,2,3,584,4
E,7,1.640625e-01,2,2.734375e-01,2,10,620,4
E,7,2.734375e-01,2,2.734375e-01,2,17,795,4
E,7,2.734375e-01,2,2.734375e-01,2,17,973,4
E,7,1.640625e-01,2,2.734375e-01,2,10,1064,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1069,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1122,4
E,7,1.640625e-01,2,2.734375e-01,2,10,1148,4
E,7,1.640625e-01,2,2.734375e-01,2,10,1161,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1382,4
E,7,1.640625e-01,2,2.734375e-01,2,10,1420,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1432,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1450,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1451,4
E,7,1.640625e-01,2,2.734375e-01,2,10,1453,4
E,7,1.640625e-01,2,2.734375e-01,2,10,1504,4
E,7,5.468750e-02,2,2.734375e-01,2,3,1591,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1689,4
E,7,1.640625e-01,2,2.734375e-01,2,10,1692,4
E,8,2.734375e-01,1,2.734375e-01,1,9,33,4
E,8,1.093750e-01,2,2.734375e-01,1,4,36,4
E,8,2.187500e-01,2,2.734375e-01,1,14,73,4
E,8,2.734375e-01,1,2.734375e-01,1,9,74,4
E,8,2.187500e-01,2,2.734375e-01,1,14,181,4
E,8,2.734375e-01,1,2.734375e-01,1,9,204,4
E,8,1.093750e-01,2,2.734375e-01,1,4,224,4
E,8,2.187500e-01,2,2.734375e-01,1,14,225,4
E,8,2.734375e-01,1,2.734375e-01,1,9,233,4
E,8,2.734375e-01,1,2.734375e-01,1,9,249,4
E,8,2.734375e-01,1,2.734375e-01,1,9,275,4
E,8,2.187500e-01,2,2.734375e-01,1,14,344,4
E,8,2.187500e-01,2,2.734375e-01,1,14,355,4
E,8,2.187500e-01,2,2.734375e-01,1,14,413,4
E,8,2.734375e-01,1,2.734375e-01,1,9,500,4
E,8,2.187500e-01,2,2.734375e-01,1,14,754,4
E,8,2.187500e-01,2,2.734375e-01,1,14,757,4
E,8,1.093750e-01,2,2.734375e-01,1,4,783,4
E,8,2.187500e-01,2,2.734375e-01,1,14,825,4
E,8,2.734375e-01,1,2.734375e-01,1,9,835,4
E,8,2.187500e-01,2,2.734375e-01,1,14,947,4
E,8,2.187500e-01,2,2.734375e-01,1,14,1036,4
E,8,2.187500e-01,2,2.734375e-01,1,14,1054,4
E,8,2.187500e-01,2,2.734375e-01,1,14,1273,4
E,8,2.187500e-01,2,2.734375e-01,1,14,1682,4
E,8,2.734375e-01,1,2.734375e-01,1,9,1684,4
E,8,1.093750e-01,2,2.734375e-01,1,4,1715,4
E,9,2.460937e-01,2,2.460937e-01,2,23,128,5
E,9,2.460937e-01,2,2.460937e-01,2,23,156,5
E,9,2.460937e-01,2,2.460937e-01,2,23,171,5
E,9,1.640625e-01,2,2.460937e-01,2,14,186,5
E,9,2.460937e-01,2,2.460937e-01,2,23,234,5
E,9,1.640625e-01,2,2.460937e-01,2,14,257,5
E,9,1.757812e-02,2,2.460937e-01,2,2,274,5
E,9,7.031250e-02,2,2.460937e-01,2,6,290,5
E,9,1.640625e-01,2,2.460937e-01,2,14,336,5
E,9,1.640625e-01,2,2.460937e-01,2,14,343,5
E,9,1.757812e-02,2,2.460937e-01,2,2,371,5
E,9,7.031250e-02,2,2.460937e-01,2,6,450,5
E,9,2.460937e-01,2,2.460937e-01,2,23,463,5
E,9,2.460937e-01,2,2.460937e-01,2,23,516,5
E,9,2.460937e-01,2,2.460937e-01,2,23,529,5
E,9,2.460937e-01,2,2.460937e-01,2,23,555,5
E,9,2.460937e-01,2,2.460937e-01,2,23,558,5
E,9,1.640625e-01,2,2.460937e-01,2,14,595,5
E,9,2.460937e-01,2,2.460937e-01,2,23,626,5
E,9,2.460937e-01,2,2.460937e-01,2,23,637,5
E,9,7.031250e-02,2,2.460937e-01,2,6,723,5
E,9,2.460937e-01,2,2.460937e-01,2,23,822,5
E,9,2.460937e-01,2,2.460937e-01,2,23,844,5
E,9,2.460937e-01,2,2.460937e-01,2,23,881,5
E,9,1.640625e-01,2,2.460937e-01,2,14,883,5
E,9,1.640625e-01,2,2.460937e-01,2,14,914,5
E,9,7.031250e-02,2,2.460937e-01,2,6,950,5
E,9,7.031250e-02,2,2.460937e-01,2,6,1052,5
E,9,1.640625e-01,2,2.460937e-01,2,14,1080,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1087,5
E,9,1.640625e-01,2,2.460937e-01,2,14,1129,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1209,5
E,9,1.640625e-01,2,2.460937e-01,2,14,1242,5
E,9,1.640625e-01,2,2.460937e-01,2,14,1279,5
E,9,1.640625e-01,2,2.460937e-01,2,14,1328,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1334,5
E,9,7.031250e-02,2,2.460937e-01,2,6,1389,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1419,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1442,5
E,9,1.640625e-01,2,2.460937e-01,2,14,1469,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1549,5
E,9,1.640625e-01,2,2.460937e-01,2,14,1628,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1652,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1702,5
E,9,2.460937e-01,2,2.460937e-01,2,23,1722,5
E,10,2.050781e-01,2,2.460938e-01,1,28,14,6
E,10,2.050781e-01,2,2.460938e-01,1,28,32,6
E,10,1.171875e-01,2,2.460938e-01,1,7,41,6
E,10,1.171875e-01,2,2.460938e-01,1,7,50,6
E,10,2.050781e-01,2,2.460938e-01,1,28,84,6
E,10,2.460938e-01,1,2.460938e-01,1,7,93,6
E,10,2.050781e-01,2,2.460938e-01,1,28,94,6
E,10,2.050781e-01,2,2.460938e-01,1,28,112,6
E,10,2.050781e-01,2,2.460938e-01,1,28,140,6
E,10,4.394531e-02,2,2.460938e-01,1,4,248,6
E,10,2.460938e-01,1,2.460938e-01,1,7,258,6
E,10,2.050781e-01,2,2.460938e-01,1,28,288,6
E,10,2.050781e-01,2,2.460938e-01,1,28,303,6
E,10,2.050781e-01,2,2.460938e-01,1,28,319,6
E,10,4.394531e-02,2,2.460938e-01,1,4,359,6
E,10,2.050781e-01,2,2.460938e-01,1,28,360,6
E,10,2.050781e-01,2,2.460938e-01,1,28,391,6
E,10,1.171875e-01,2,2.460938e-01,1,7,403,6
E,10,9.765625e-03,2,2.460938e-01,1,2,432,6
E,10,2.050781e-01,2,2.460938e-01,1,28,454,6
E,10,9.765625e-04,2,2.460938e-01,1,1,489,6
E,10,2.050781e-01,2,2.460938e-01,1,28,525,6
E,10,2.050781e-01,2,2.460938e-01,1,28,581,6
E,10,2.050781e-01,2,2.460938e-01,1,28,591,6
E,10,2.050781e-01,2,2.460938e-01,1,28,600,6
E,10,1.171875e-01,2,2.460938e-01,1,7,606,6
E,10,1.171875e-01,2,2.460938e-01,1,7,627,6
E,10,4.394531e-02,2,2.460938e-01,1,4,689,6
E,10,2.050781e-01,2,2.460938e-01,1,28,693,6
E,10,2.050781e-01,2,2.460938e-01,1,28,808,6
E,10,1.171875e-01,2,2.460938e-01,1,7,953,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1011,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1021,6
E,10,2.460938e-01,1,2.460938e-01,1,7,1047,6
E,10,9.765625e-03,2,2.460938e-01,1,2,1168,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1179,6
E,10,1.171875e-01,2,2.460938e-01,1,7,1281,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1312,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1330,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1447,6
E,10,2.460938e-01,1,2.460938e-01,1,7,1449,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1494,6
E,10,2.460938e-01,1,2.460938e-01,1,7,1532,6
E,10,2.460938e-01,1,2.460938e-01,1,7,1552,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1561,6
E,10,4.394531e-02,2,2.460938e-01,1,4,1599,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1645,6
E,10,2.050781e-01,2,2.460938e-01,1,28,1691,6
E,10,2.460938e-01,1,2.460938e-01,1,7,1714,6
E,11,1.611328e-01,2,2.255859e-01,2,15,64,7
E,11,8.056641e-02,2,2.255859e-01,2,10,69,7
E,11,8.056641e-02,2,2.255859e-01,2,10,70,7
E,11,1.611328e-01,2,2.255859e-01,2,15,80,7
E,11,2.255859e-01,2,2.255859e-01,2,15,146,7
E,11,2.255859e-01,2,2.255859e-01,2,15,208,7
E,11,2.255859e-01,2,2.255859e-01,2,15,279,7
E,11,1.611328e-01,2,2.255859e-01,2,15,310,7
E,11,2.255859e-01,2,2.255859e-01,2,15,356,7
E,11,8.056641e-02,2,2.255859e-01,2,10,428,7
E,11,2.255859e-01,2,2.255859e-01,2,15,528,7
E,11,1.611328e-01,2,2.255859e-01,2,15,562,7
E,11,2.255859e-01,2,2.255859e-01,2,15,579,7
E,11,2.255859e-01,2,2.255859e-01,2,15,596,7
E,11,8.056641e-02,2,2.255859e-01,2,10,774,7
E,11,8.056641e-02,2,2.255859e-01,2,10,789,7
E,11,1.611328e-01,2,2.255859e-01,2,15,854,7
E,11,2.255859e-01,2,2.255859e-01,2,15,872,7
E,11,2.255859e-01,2,2.255859e-01,2,15,972,7
E,11,2.255859e-01,2,2.255859e-01,2,15,1001,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1004,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1051,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1159,7
E,11,2.255859e-01,2,2.255859e-01,2,15,1193,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1277,7
E,11,8.056641e-02,2,2.255859e-01,2,10,1306,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1364,7
E,11,8.056641e-02,2,2.255859e-01,2,10,1385,7
E,11,2.255859e-01,2,2.255859e-01,2,15,1388,7
E,11,8.056641e-02,2,2.255859e-01,2,10,1392,7
E,11,2.255859e-01,2,2.255859e-01,2,15,1445,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1491,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1507,7
E,11,1.611328e-01,2,2.255859e-01,2,15,1517,7
E,11,8.056641e-02,2,2.255859e-01,2,10,1540,7
E,11,2.255859e-01,2,2.255859e-01,2,15,1565,7
