aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.712435e-01,1,6.712435e-01,1,94,95,0
E,1,6.712435e-01,1,6.712435e-01,1,94,132,0
E,1,6.712435e-01,1,6.712435e-01,1,94,198,0
E,1,6.712435e-01,1,6.712435e-01,1,94,209,0
E,1,6.712435e-01,1,6.712435e-01,1,94,227,0
E,1,6.712435e-01,1,6.712435e-01,1,94,299,0
E,1,6.712435e-01,1,6.712435e-01,1,94,417,0
E,1,3.287565e-01,1,6.712435e-01,1,39,457,0
E,1,6.712435e-01,1,6.712435e-01,1,94,495,0
E,1,6.712435e-01,1,6.712435e-01,1,94,523,0
E,1,6.712435e-01,1,6.712435e-01,1,94,554,0
E,1,6.712435e-01,1,6.712435e-01,1,94,583,0
E,1,6.712435e-01,1,6.712435e-01,1,94,593,0
E,1,6.712435e-01,1,6.712435e-01,1,94,724,0
E,1,6.712435e-01,1,6.712435e-01,1,94,755,0
E,1,6.712435e-01,1,6.712435e-01,1,94,809,0
E,1,6.712435e-01,1,6.712435e-01,1,94,844,0
E,1,6.712435e-01,1,6.712435e-01,1,94,846,0
E,1,6.712435e-01,1,6.712435e-01,1,94,874,0
E,1,6.712435e-01,1,6.712435e-01,1,94,884,0
E,1,6.712435e-01,1,6.712435e-01,1,94,921,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1057,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1080,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1088,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1092,0
E,1,3.287565e-01,1,6.712435e-01,1,39,1100,0
E,1,3.287565e-01,1,6.712435e-01,1,39,1160,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1187,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1202,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1212,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1225,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1235,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1341,0
E,1,3.287565e-01,1,6.712435e-01,1,39,1381,0
E,1,3.287565e-01,1,6.712435e-01,1,39,1432,0
E,1,3.287565e-01,1,6.712435e-01,1,39,1573,0
E,1,3.287565e-01,1,6.712435e-01,1,39,1624,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1627,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1649,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1685,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1724,0
E,1,3.287565e-01,1,6.712435e-01,1,39,1741,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1793,0
E,1,6.712435e-01,1,6.712435e-01,1,94,1863,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2003,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2019,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2024,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2049,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2059,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2060,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2066,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2173,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2236,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2242,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2273,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2328,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2360,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2500,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2525,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2531,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2616,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2637,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2640,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2667,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2687,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2709,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2745,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2809,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2810,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2828,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2854,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2856,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2869,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2888,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2934,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2973,0
E,1,3.287565e-01,1,6.712435e-01,1,39,2981,0
E,1,6.712435e-01,1,6.712435e-01,1,94,2993,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3045,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3195,0
E,1,3.287565e-01,1,6.712435e-01,1,39,3216,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3229,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3268,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3291,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3346,0
E,1,3.287565e-01,1,6.712435e-01,1,39,3363,0
E,1,3.287565e-01,1,6.712435e-01,1,39,3364,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3371,0
E,1,3.287565e-01,1,6.712435e-01,1,39,3390,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3540,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3588,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3596,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3662,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3677,0
E,1,3.287565e-01,1,6.712435e-01,1,39,3708,0
E,1,3.287565e-01,1,6.712435e-01,1,39,3720,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3772,0
E,1,3.287565e-01,1,6.712435e-01,1,39,3832,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3854,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3923,0
E,1,6.712435e-01,1,6.712435e-01,1,94,3925,0
