aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.705821e-01,1,5.294179e-01,1,28,93,0
E,1,4.705821e-01,1,5.294179e-01,1,28,96,0
E,1,4.705821e-01,1,5.294179e-01,1,28,265,0
E,1,4.705821e-01,1,5.294179e-01,1,28,304,0
E,1,4.705821e-01,1,5.294179e-01,1,28,346,0
E,1,5.294179e-01,1,5.294179e-01,1,36,399,0
E,1,5.294179e-01,1,5.294179e-01,1,36,476,0
E,1,4.705821e-01,1,5.294179e-01,1,28,482,0
E,1,4.705821e-01,1,5.294179e-01,1,28,570,0
E,1,5.294179e-01,1,5.294179e-01,1,36,641,0
E,1,5.294179e-01,1,5.294179e-01,1,36,663,0
E,1,4.705821e-01,1,5.294179e-01,1,28,687,0
E,1,5.294179e-01,1,5.294179e-01,1,36,816,0
E,1,5.294179e-01,1,5.294179e-01,1,36,940,0
E,1,5.294179e-01,1,5.294179e-01,1,36,948,0
E,1,5.294179e-01,1,5.294179e-01,1,36,956,0
E,1,4.705821e-01,1,5.294179e-01,1,28,1026,0
E,1,4.705821e-01,1,5.294179e-01,1,28,1033,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1053,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1054,0
E,1,4.705821e-01,1,5.294179e-01,1,28,1083,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1107,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1290,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1549,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1616,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1644,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1671,0
E,1,4.705821e-01,1,5.294179e-01,1,28,1684,0
E,1,4.705821e-01,1,5.294179e-01,1,28,1761,0
E,1,4.705821e-01,1,5.294179e-01,1,28,1830,0
E,1,4.705821e-01,1,5.294179e-01,1,28,1897,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1929,0
E,1,5.294179e-01,1,5.294179e-01,1,36,1932,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2037,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2124,0
E,1,4.705821e-01,1,5.294179e-01,1,28,2243,0
E,1,4.705821e-01,1,5.294179e-01,1,28,2304,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2317,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2338,0
E,1,4.705821e-01,1,5.294179e-01,1,28,2375,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2415,0
E,1,4.705821e-01,1,5.294179e-01,1,28,2436,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2496,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2500,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2559,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2595,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2604,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2676,0
E,1,4.705821e-01,1,5.294179e-01,1,28,2896,0
E,1,4.705821e-01,1,5.294179e-01,1,28,2903,0
E,1,5.294179e-01,1,5.294179e-01,1,36,2937,0
E,1,5.294179e-01,1,5.294179e-01,1,36,3138,0
E,1,4.705821e-01,1,5.294179e-01,1,28,3223,0
E,1,5.294179e-01,1,5.294179e-01,1,36,3281,0
E,1,4.705821e-01,1,5.294179e-01,1,28,3328,0
E,1,4.705821e-01,1,5.294179e-01,1,28,3433,0
E,1,4.705821e-01,1,5.294179e-01,1,28,3443,0
E,1,4.705821e-01,1,5.294179e-01,1,28,3567,0
E,1,4.705821e-01,1,5.294179e-01,1,28,3708,0
E,1,5.294179e-01,1,5.294179e-01,1,36,3816,0
E,1,5.294179e-01,1,5.294179e-01,1,36,3849,0
E,1,5.294179e-01,1,5.294179e-01,1,36,3957,0
E,1,5.294179e-01,1,5.294179e-01,1,36,3987,0
E,1,4.705821e-01,1,5.294179e-01,1,28,4047,0
E,2,2.214475e-01,1,4.982692e-01,1,27,52,0
E,2,4.982692e-01,1,4.982692e-01,1,38,143,0
E,2,2.214475e-01,1,4.982692e-01,1,27,227,0
E,2,4.982692e-01,1,4.982692e-01,1,38,327,0
E,2,2.802834e-01,1,4.982692e-01,1,21,425,0
E,2,2.214475e-01,1,4.982692e-01,1,27,458,0
E,2,2.802834e-01,1,4.982692e-01,1,21,525,0
E,2,2.802834e-01,1,4.982692e-01,1,21,563,0
E,2,4.982692e-01,1,4.982692e-01,1,38,576,0
E,2,2.214475e-01,1,4.982692e-01,1,27,579,0
E,2,2.214475e-01,1,4.982692e-01,1,27,591,0
E,2,2.214475e-01,1,4.982692e-01,1,27,594,0
E,2,4.982692e-01,1,4.982692e-01,1,38,631,0
E,2,4.982692e-01,1,4.982692e-01,1,38,704,0
E,2,2.214475e-01,1,4.982692e-01,1,27,731,0
E,2,4.982692e-01,1,4.982692e-01,1,38,760,0
E,2,2.214475e-01,1,4.982692e-01,1,27,913,0
E,2,4.982692e-01,1,4.982692e-01,1,38,942,0
E,2,4.982692e-01,1,4.982692e-01,1,38,945,0
E,2,2.214475e-01,1,4.982692e-01,1,27,955,0
E,2,4.982692e-01,1,4.982692e-01,1,38,966,0
E,2,4.982692e-01,1,4.982692e-01,1,38,989,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1034,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1119,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1122,0
E,2,2.802834e-01,1,4.982692e-01,1,21,1178,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1316,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1327,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1339,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1344,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1358,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1382,0
E,2,2.802834e-01,1,4.982692e-01,1,21,1426,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1437,0
E,2,2.802834e-01,1,4.982692e-01,1,21,1535,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1548,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1596,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1623,0
E,2,2.802834e-01,1,4.982692e-01,1,21,1664,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1709,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1712,0
E,2,2.802834e-01,1,4.982692e-01,1,21,1763,0
E,2,2.802834e-01,1,4.982692e-01,1,21,1910,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1922,0
E,2,2.214475e-01,1,4.982692e-01,1,27,1946,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1948,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1986,0
E,2,4.982692e-01,1,4.982692e-01,1,38,1995,0
E,2,2.802834e-01,1,4.982692e-01,1,21,2033,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2077,0
E,2,2.802834e-01,1,4.982692e-01,1,21,2195,0
E,2,2.802834e-01,1,4.982692e-01,1,21,2353,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2397,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2467,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2473,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2492,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2653,0
E,2,2.802834e-01,1,4.982692e-01,1,21,2720,0
E,2,2.214475e-01,1,4.982692e-01,1,27,2739,0
E,2,2.214475e-01,1,4.982692e-01,1,27,2797,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2818,0
E,2,2.214475e-01,1,4.982692e-01,1,27,2870,0
E,2,4.982692e-01,1,4.982692e-01,1,38,2889,0
E,2,2.214475e-01,1,4.982692e-01,1,27,2898,0
E,2,2.214475e-01,1,4.982692e-01,1,27,3140,0
E,2,4.982692e-01,1,4.982692e-01,1,38,3194,0
E,2,4.982692e-01,1,4.982692e-01,1,38,3215,0
E,2,2.214475e-01,1,4.982692e-01,1,27,3346,0
E,2,2.802834e-01,1,4.982692e-01,1,21,3432,0
E,2,2.802834e-01,1,4.982692e-01,1,21,3453,0
E,2,4.982692e-01,1,4.982692e-01,1,38,3573,0
E,2,2.802834e-01,1,4.982692e-01,1,21,3575,0
E,2,4.982692e-01,1,4.982692e-01,1,38,3580,0
E,2,2.214475e-01,1,4.982692e-01,1,27,3588,0
E,2,4.982692e-01,1,4.982692e-01,1,38,3676,0
E,2,2.214475e-01,1,4.982692e-01,1,27,3693,0
E,2,2.802834e-01,1,4.982692e-01,1,21,3756,0
E,2,2.802834e-01,1,4.982692e-01,1,21,3842,0
E,2,2.802834e-01,1,4.982692e-01,1,21,3845,0
E,2,4.982692e-01,1,4.982692e-01,1,38,4021,0
E,2,2.802834e-01,1,4.982692e-01,1,21,4040,0
E,2,4.982692e-01,1,4.982692e-01,1,38,4110,0
E,2,2.214475e-01,1,4.982692e-01,1,27,4111,0
E,2,4.982692e-01,1,4.982692e-01,1,38,4133,0
E,2,2.802834e-01,1,4.982692e-01,1,21,4140,0
E,2,4.982692e-01,1,4.982692e-01,1,38,4165,0
E,3,3.517148e-01,1,3.956890e-01,1,42,1,1
E,3,3.956890e-01,1,3.956890e-01,1,42,24,1
E,3,3.956890e-01,1,3.956890e-01,1,42,197,1
E,3,3.517148e-01,1,3.956890e-01,1,42,252,1
E,3,1.042092e-01,1,3.956890e-01,1,12,279,1
E,3,3.956890e-01,1,3.956890e-01,1,42,323,1
E,3,1.483870e-01,1,3.956890e-01,1,18,333,1
E,3,3.517148e-01,1,3.956890e-01,1,42,342,1
E,3,3.517148e-01,1,3.956890e-01,1,42,368,1
E,3,1.042092e-01,1,3.956890e-01,1,12,468,1
E,3,3.956890e-01,1,3.956890e-01,1,42,475,1
E,3,3.956890e-01,1,3.956890e-01,1,42,498,1
E,3,3.956890e-01,1,3.956890e-01,1,42,548,1
E,3,3.956890e-01,1,3.956890e-01,1,42,560,1
E,3,3.956890e-01,1,3.956890e-01,1,42,572,1
E,3,3.956890e-01,1,3.956890e-01,1,42,639,1
E,3,3.956890e-01,1,3.956890e-01,1,42,645,1
E,3,3.956890e-01,1,3.956890e-01,1,42,688,1
E,3,3.517148e-01,1,3.956890e-01,1,42,714,1
E,3,3.956890e-01,1,3.956890e-01,1,42,784,1
E,3,1.483870e-01,1,3.956890e-01,1,18,803,1
E,3,1.042092e-01,1,3.956890e-01,1,12,848,1
E,3,1.042092e-01,1,3.956890e-01,1,12,868,1
E,3,3.517148e-01,1,3.956890e-01,1,42,927,1
E,3,1.042092e-01,1,3.956890e-01,1,12,1003,1
E,3,1.483870e-01,1,3.956890e-01,1,18,1091,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1095,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1105,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1123,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1203,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1225,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1354,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1355,1
E,3,1.483870e-01,1,3.956890e-01,1,18,1368,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1377,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1394,1
E,3,1.483870e-01,1,3.956890e-01,1,18,1427,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1446,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1525,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1559,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1597,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1643,1
E,3,1.042092e-01,1,3.956890e-01,1,12,1710,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1717,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1723,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1818,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1885,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1930,1
E,3,3.956890e-01,1,3.956890e-01,1,42,1931,1
E,3,1.483870e-01,1,3.956890e-01,1,18,1939,1
E,3,3.517148e-01,1,3.956890e-01,1,42,1958,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2026,1
E,3,1.483870e-01,1,3.956890e-01,1,18,2070,1
E,3,1.483870e-01,1,3.956890e-01,1,18,2087,1
E,3,1.483870e-01,1,3.956890e-01,1,18,2090,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2210,1
E,3,3.517148e-01,1,3.956890e-01,1,42,2219,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2253,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2349,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2355,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2482,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2648,1
E,3,3.517148e-01,1,3.956890e-01,1,42,2694,1
E,3,1.483870e-01,1,3.956890e-01,1,18,2703,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2727,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2849,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2867,1
E,3,3.517148e-01,1,3.956890e-01,1,42,2957,1
E,3,3.956890e-01,1,3.956890e-01,1,42,2987,1
E,3,3.517148e-01,1,3.956890e-01,1,42,3043,1
E,3,3.956890e-01,1,3.956890e-01,1,42,3093,1
