aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.568894e-01,1,5.568894e-01,1,7,24,1
E,1,4.431106e-01,1,5.568894e-01,1,4,79,1
E,1,5.568894e-01,1,5.568894e-01,1,7,242,1
E,1,4.431106e-01,1,5.568894e-01,1,4,280,1
E,1,5.568894e-01,1,5.568894e-01,1,7,660,1
E,1,5.568894e-01,1,5.568894e-01,1,7,872,1
E,1,5.568894e-01,1,5.568894e-01,1,7,1002,1
E,1,5.568894e-01,1,5.568894e-01,1,7,1013,1
E,1,4.431106e-01,1,5.568894e-01,1,4,1183,1
E,1,5.568894e-01,1,5.568894e-01,1,7,1184,1
E,1,4.431106e-01,1,5.568894e-01,1,4,1485,1
E,2,1.963470e-01,1,4.935272e-01,1,4,118,0
E,2,4.935272e-01,1,4.935272e-01,1,9,286,0
E,2,3.101258e-01,1,4.935272e-01,1,6,373,0
E,2,4.935272e-01,1,4.935272e-01,1,9,392,0
E,2,1.963470e-01,1,4.935272e-01,1,4,455,0
E,2,4.935272e-01,1,4.935272e-01,1,9,561,0
E,2,3.101258e-01,1,4.935272e-01,1,6,604,0
E,2,4.935272e-01,1,4.935272e-01,1,9,640,0
E,2,3.101258e-01,1,4.935272e-01,1,6,669,0
E,2,4.935272e-01,1,4.935272e-01,1,9,983,0
E,2,3.101258e-01,1,4.935272e-01,1,6,984,0
E,2,4.935272e-01,1,4.935272e-01,1,9,1112,0
E,2,4.935272e-01,1,4.935272e-01,1,9,1152,0
E,2,1.963470e-01,1,4.935272e-01,1,4,1194,0
E,2,4.935272e-01,1,4.935272e-01,1,9,1246,0
E,2,1.963470e-01,1,4.935272e-01,1,4,1284,0
E,2,3.101258e-01,1,4.935272e-01,1,6,1296,0
E,2,4.935272e-01,1,4.935272e-01,1,9,1465,0
E,2,3.101258e-01,1,4.935272e-01,1,6,1506,0
E,3,3.280307e-01,1,4.122601e-01,1,10,23,1
E,3,4.122601e-01,1,4.122601e-01,1,11,252,1
E,3,8.700344e-02,1,4.122601e-01,1,3,315,1
E,3,4.122601e-01,1,4.122601e-01,1,11,379,1
E,3,4.122601e-01,1,4.122601e-01,1,11,381,1
E,3,8.700344e-02,1,4.122601e-01,1,3,450,1
E,3,1.727058e-01,1,4.122601e-01,1,4,544,1
E,3,3.280307e-01,1,4.122601e-01,1,10,570,1
E,3,4.122601e-01,1,4.122601e-01,1,11,571,1
E,3,4.122601e-01,1,4.122601e-01,1,11,583,1
E,3,4.122601e-01,1,4.122601e-01,1,11,598,1
E,3,4.122601e-01,1,4.122601e-01,1,11,675,1
E,3,4.122601e-01,1,4.122601e-01,1,11,681,1
E,3,8.700344e-02,1,4.122601e-01,1,3,696,1
E,3,3.280307e-01,1,4.122601e-01,1,10,822,1
E,3,3.280307e-01,1,4.122601e-01,1,10,853,1
E,3,1.727058e-01,1,4.122601e-01,1,4,1021,1
E,3,3.280307e-01,1,4.122601e-01,1,10,1027,1
E,3,1.727058e-01,1,4.122601e-01,1,4,1031,1
E,3,4.122601e-01,1,4.122601e-01,1,11,1131,1
E,3,3.280307e-01,1,4.122601e-01,1,10,1159,1
E,3,3.280307e-01,1,4.122601e-01,1,10,1176,1
E,3,3.280307e-01,1,4.122601e-01,1,10,1223,1
E,3,3.280307e-01,1,4.122601e-01,1,10,1248,1
E,3,4.122601e-01,1,4.122601e-01,1,11,1367,1
E,3,4.122601e-01,1,4.122601e-01,1,11,1370,1
E,3,3.280307e-01,1,4.122601e-01,1,10,1443,1
E,3,1.727058e-01,1,4.122601e-01,1,4,1504,1
E,4,3.061110e-01,1,3.653536e-01,1,9,159,3
E,4,9.617802e-02,1,3.653536e-01,1,4,162,3
E,4,3.061110e-01,1,3.653536e-01,1,9,243,3
