aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.510824e-01,1,8.510824e-01,1,144,61,0
E,1,1.489176e-01,1,8.510824e-01,1,32,95,0
E,1,8.510824e-01,1,8.510824e-01,1,144,127,0
E,1,8.510824e-01,1,8.510824e-01,1,144,183,0
E,1,8.510824e-01,1,8.510824e-01,1,144,218,0
E,1,8.510824e-01,1,8.510824e-01,1,144,227,0
E,1,1.489176e-01,1,8.510824e-01,1,32,316,0
E,1,8.510824e-01,1,8.510824e-01,1,144,317,0
E,1,8.510824e-01,1,8.510824e-01,1,144,372,0
E,1,1.489176e-01,1,8.510824e-01,1,32,417,0
E,1,8.510824e-01,1,8.510824e-01,1,144,428,0
E,1,1.489176e-01,1,8.510824e-01,1,32,435,0
E,1,8.510824e-01,1,8.510824e-01,1,144,441,0
E,1,8.510824e-01,1,8.510824e-01,1,144,494,0
E,1,8.510824e-01,1,8.510824e-01,1,144,502,0
E,1,8.510824e-01,1,8.510824e-01,1,144,549,0
E,1,8.510824e-01,1,8.510824e-01,1,144,589,0
E,1,8.510824e-01,1,8.510824e-01,1,144,619,0
E,1,8.510824e-01,1,8.510824e-01,1,144,630,0
E,1,8.510824e-01,1,8.510824e-01,1,144,656,0
E,1,8.510824e-01,1,8.510824e-01,1,144,685,0
E,1,8.510824e-01,1,8.510824e-01,1,144,695,0
E,1,8.510824e-01,1,8.510824e-01,1,144,748,0
E,1,8.510824e-01,1,8.510824e-01,1,144,752,0
E,1,8.510824e-01,1,8.510824e-01,1,144,759,0
E,1,8.510824e-01,1,8.510824e-01,1,144,760,0
E,1,8.510824e-01,1,8.510824e-01,1,144,762,0
E,1,8.510824e-01,1,8.510824e-01,1,144,789,0
E,1,8.510824e-01,1,8.510824e-01,1,144,809,0
E,1,8.510824e-01,1,8.510824e-01,1,144,812,0
E,1,1.489176e-01,1,8.510824e-01,1,32,841,0
E,1,1.489176e-01,1,8.510824e-01,1,32,850,0
E,1,8.510824e-01,1,8.510824e-01,1,144,852,0
E,1,8.510824e-01,1,8.510824e-01,1,144,872,0
E,1,8.510824e-01,1,8.510824e-01,1,144,883,0
E,1,8.510824e-01,1,8.510824e-01,1,144,887,0
E,1,8.510824e-01,1,8.510824e-01,1,144,972,0
E,1,8.510824e-01,1,8.510824e-01,1,144,978,0
E,1,8.510824e-01,1,8.510824e-01,1,144,981,0
E,1,8.510824e-01,1,8.510824e-01,1,144,984,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1084,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1097,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1106,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1108,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1144,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1156,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1248,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1260,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1309,0
E,1,1.489176e-01,1,8.510824e-01,1,32,1310,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1314,0
E,1,1.489176e-01,1,8.510824e-01,1,32,1318,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1322,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1326,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1354,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1372,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1376,0
E,1,1.489176e-01,1,8.510824e-01,1,32,1394,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1408,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1419,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1435,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1566,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1580,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1596,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1599,0
E,1,1.489176e-01,1,8.510824e-01,1,32,1633,0
E,1,1.489176e-01,1,8.510824e-01,1,32,1653,0
E,1,1.489176e-01,1,8.510824e-01,1,32,1687,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1754,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1761,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1766,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1790,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1797,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1856,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1865,0
E,1,1.489176e-01,1,8.510824e-01,1,32,1956,0
E,1,8.510824e-01,1,8.510824e-01,1,144,1968,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2007,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2015,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2020,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2027,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2084,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2091,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2092,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2097,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2108,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2113,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2203,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2252,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2263,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2274,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2290,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2296,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2301,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2382,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2398,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2402,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2407,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2426,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2433,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2459,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2461,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2511,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2538,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2558,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2575,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2587,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2610,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2626,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2631,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2659,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2672,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2680,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2688,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2703,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2767,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2776,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2784,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2791,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2793,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2860,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2871,0
E,1,1.489176e-01,1,8.510824e-01,1,32,2875,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2945,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2955,0
E,1,8.510824e-01,1,8.510824e-01,1,144,2987,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3056,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3069,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3086,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3133,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3139,0
E,1,1.489176e-01,1,8.510824e-01,1,32,3172,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3183,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3266,0
E,1,1.489176e-01,1,8.510824e-01,1,32,3298,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3366,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3370,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3393,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3418,0
E,1,1.489176e-01,1,8.510824e-01,1,32,3427,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3454,0
E,1,1.489176e-01,1,8.510824e-01,1,32,3455,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3469,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3471,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3479,0
E,1,1.489176e-01,1,8.510824e-01,1,32,3481,0
E,1,8.510824e-01,1,8.510824e-01,1,144,3501,0
