aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.612480e-01,1,5.387520e-01,1,31,22,0
E,1,4.612480e-01,1,5.387520e-01,1,31,80,0
E,1,5.387520e-01,1,5.387520e-01,1,36,102,0
E,1,4.612480e-01,1,5.387520e-01,1,31,139,0
E,1,5.387520e-01,1,5.387520e-01,1,36,169,0
E,1,5.387520e-01,1,5.387520e-01,1,36,186,0
E,1,4.612480e-01,1,5.387520e-01,1,31,346,0
E,1,5.387520e-01,1,5.387520e-01,1,36,362,0
E,1,5.387520e-01,1,5.387520e-01,1,36,374,0
E,1,4.612480e-01,1,5.387520e-01,1,31,508,0
E,1,5.387520e-01,1,5.387520e-01,1,36,521,0
E,1,5.387520e-01,1,5.387520e-01,1,36,606,0
E,1,5.387520e-01,1,5.387520e-01,1,36,763,0
E,1,5.387520e-01,1,5.387520e-01,1,36,882,0
E,1,4.612480e-01,1,5.387520e-01,1,31,1021,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1048,0
E,1,4.612480e-01,1,5.387520e-01,1,31,1145,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1186,0
E,1,4.612480e-01,1,5.387520e-01,1,31,1195,0
E,1,4.612480e-01,1,5.387520e-01,1,31,1201,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1279,0
E,1,4.612480e-01,1,5.387520e-01,1,31,1290,0
E,1,4.612480e-01,1,5.387520e-01,1,31,1412,0
E,1,4.612480e-01,1,5.387520e-01,1,31,1453,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1569,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1601,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1605,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1802,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1877,0
E,1,5.387520e-01,1,5.387520e-01,1,36,1895,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2021,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2042,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2067,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2152,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2299,0
E,1,5.387520e-01,1,5.387520e-01,1,36,2335,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2527,0
E,1,5.387520e-01,1,5.387520e-01,1,36,2692,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2750,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2752,0
E,1,5.387520e-01,1,5.387520e-01,1,36,2774,0
E,1,5.387520e-01,1,5.387520e-01,1,36,2788,0
E,1,5.387520e-01,1,5.387520e-01,1,36,2824,0
E,1,5.387520e-01,1,5.387520e-01,1,36,2833,0
E,1,4.612480e-01,1,5.387520e-01,1,31,2973,0
E,1,5.387520e-01,1,5.387520e-01,1,36,3008,0
E,1,4.612480e-01,1,5.387520e-01,1,31,3080,0
E,1,5.387520e-01,1,5.387520e-01,1,36,3120,0
E,1,5.387520e-01,1,5.387520e-01,1,36,3185,0
