aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.840900e-01,1,6.840900e-01,1,72,9,0
E,1,6.840900e-01,1,6.840900e-01,1,72,32,0
E,1,6.840900e-01,1,6.840900e-01,1,72,35,0
E,1,3.159100e-01,1,6.840900e-01,1,27,63,0
E,1,6.840900e-01,1,6.840900e-01,1,72,142,0
E,1,6.840900e-01,1,6.840900e-01,1,72,211,0
E,1,6.840900e-01,1,6.840900e-01,1,72,418,0
E,1,6.840900e-01,1,6.840900e-01,1,72,447,0
E,1,6.840900e-01,1,6.840900e-01,1,72,476,0
E,1,3.159100e-01,1,6.840900e-01,1,27,541,0
E,1,6.840900e-01,1,6.840900e-01,1,72,653,0
E,1,6.840900e-01,1,6.840900e-01,1,72,654,0
E,1,6.840900e-01,1,6.840900e-01,1,72,674,0
E,1,3.159100e-01,1,6.840900e-01,1,27,752,0
E,1,6.840900e-01,1,6.840900e-01,1,72,754,0
E,1,6.840900e-01,1,6.840900e-01,1,72,759,0
E,1,6.840900e-01,1,6.840900e-01,1,72,762,0
E,1,6.840900e-01,1,6.840900e-01,1,72,812,0
E,1,3.159100e-01,1,6.840900e-01,1,27,828,0
E,1,6.840900e-01,1,6.840900e-01,1,72,867,0
E,1,6.840900e-01,1,6.840900e-01,1,72,908,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1006,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1027,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1173,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1179,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1184,0
E,1,3.159100e-01,1,6.840900e-01,1,27,1227,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1243,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1251,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1315,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1336,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1381,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1425,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1603,0
E,1,3.159100e-01,1,6.840900e-01,1,27,1640,0
E,1,3.159100e-01,1,6.840900e-01,1,27,1641,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1642,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1643,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1694,0
E,1,3.159100e-01,1,6.840900e-01,1,27,1741,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1742,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1743,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1791,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1799,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1876,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1883,0
E,1,3.159100e-01,1,6.840900e-01,1,27,1898,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1923,0
E,1,6.840900e-01,1,6.840900e-01,1,72,1986,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2042,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2076,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2118,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2142,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2195,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2218,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2267,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2425,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2571,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2646,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2669,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2732,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2828,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2853,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2910,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2915,0
E,1,3.159100e-01,1,6.840900e-01,1,27,2924,0
E,1,6.840900e-01,1,6.840900e-01,1,72,2967,0
E,1,6.840900e-01,1,6.840900e-01,1,72,3003,0
E,1,3.159100e-01,1,6.840900e-01,1,27,3052,0
E,1,6.840900e-01,1,6.840900e-01,1,72,3088,0
E,1,6.840900e-01,1,6.840900e-01,1,72,3096,0
E,1,3.159100e-01,1,6.840900e-01,1,27,3115,0
E,1,6.840900e-01,1,6.840900e-01,1,72,3120,0
