aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.074734e-01,1,7.074734e-01,1,19,25,0
E,1,7.074734e-01,1,7.074734e-01,1,19,93,0
E,1,7.074734e-01,1,7.074734e-01,1,19,301,0
E,1,2.925266e-01,1,7.074734e-01,1,13,340,0
E,1,7.074734e-01,1,7.074734e-01,1,19,370,0
E,1,7.074734e-01,1,7.074734e-01,1,19,388,0
E,1,2.925266e-01,1,7.074734e-01,1,13,482,0
E,1,2.925266e-01,1,7.074734e-01,1,13,530,0
E,1,2.925266e-01,1,7.074734e-01,1,13,552,0
E,1,7.074734e-01,1,7.074734e-01,1,19,655,0
E,1,7.074734e-01,1,7.074734e-01,1,19,692,0
E,1,7.074734e-01,1,7.074734e-01,1,19,699,0
E,1,2.925266e-01,1,7.074734e-01,1,13,795,0
E,1,2.925266e-01,1,7.074734e-01,1,13,895,0
E,1,2.925266e-01,1,7.074734e-01,1,13,959,0
E,1,2.925266e-01,1,7.074734e-01,1,13,984,0
E,1,7.074734e-01,1,7.074734e-01,1,19,987,0
E,1,2.925266e-01,1,7.074734e-01,1,13,1068,0
E,1,7.074734e-01,1,7.074734e-01,1,19,1182,0
E,1,7.074734e-01,1,7.074734e-01,1,19,1216,0
E,1,2.925266e-01,1,7.074734e-01,1,13,1247,0
E,1,2.925266e-01,1,7.074734e-01,1,13,1251,0
E,1,7.074734e-01,1,7.074734e-01,1,19,1259,0
E,1,2.925266e-01,1,7.074734e-01,1,13,1280,0
E,1,7.074734e-01,1,7.074734e-01,1,19,1369,0
E,1,7.074734e-01,1,7.074734e-01,1,19,1423,0
E,1,2.925266e-01,1,7.074734e-01,1,13,1706,0
E,1,7.074734e-01,1,7.074734e-01,1,19,1726,0
E,1,7.074734e-01,1,7.074734e-01,1,19,1729,0
E,1,7.074734e-01,1,7.074734e-01,1,19,2017,0
E,1,7.074734e-01,1,7.074734e-01,1,19,2029,0
E,1,7.074734e-01,1,7.074734e-01,1,19,2059,0
