aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.135663e-01,1,5.135663e-01,1,54,2,0
E,1,4.864337e-01,1,5.135663e-01,1,66,6,1
E,1,5.135663e-01,1,5.135663e-01,1,54,50,0
E,1,4.864337e-01,1,5.135663e-01,1,66,125,1
E,1,4.864337e-01,1,5.135663e-01,1,66,177,1
E,1,5.135663e-01,1,5.135663e-01,1,54,224,0
E,1,4.864337e-01,1,5.135663e-01,1,66,297,1
E,1,4.864337e-01,1,5.135663e-01,1,66,408,1
E,1,4.864337e-01,1,5.135663e-01,1,66,514,1
E,1,4.864337e-01,1,5.135663e-01,1,66,532,1
E,1,4.864337e-01,1,5.135663e-01,1,66,537,1
E,1,5.135663e-01,1,5.135663e-01,1,54,552,0
E,1,5.135663e-01,1,5.135663e-01,1,54,597,0
E,1,4.864337e-01,1,5.135663e-01,1,66,598,1
E,1,4.864337e-01,1,5.135663e-01,1,66,601,1
E,1,4.864337e-01,1,5.135663e-01,1,66,643,1
E,1,4.864337e-01,1,5.135663e-01,1,66,653,1
E,1,5.135663e-01,1,5.135663e-01,1,54,770,0
E,1,5.135663e-01,1,5.135663e-01,1,54,817,0
E,1,4.864337e-01,1,5.135663e-01,1,66,840,1
E,1,5.135663e-01,1,5.135663e-01,1,54,851,0
E,1,4.864337e-01,1,5.135663e-01,1,66,852,1
E,1,5.135663e-01,1,5.135663e-01,1,54,881,0
E,1,4.864337e-01,1,5.135663e-01,1,66,904,1
E,1,5.135663e-01,1,5.135663e-01,1,54,929,0
E,1,4.864337e-01,1,5.135663e-01,1,66,1000,1
E,1,5.135663e-01,1,5.135663e-01,1,54,1062,0
E,1,5.135663e-01,1,5.135663e-01,1,54,1069,0
E,1,5.135663e-01,1,5.135663e-01,1,54,1118,0
E,1,4.864337e-01,1,5.135663e-01,1,66,1164,1
E,1,5.135663e-01,1,5.135663e-01,1,54,1186,0
E,1,4.864337e-01,1,5.135663e-01,1,66,1261,1
E,1,5.135663e-01,1,5.135663e-01,1,54,1324,0
E,1,5.135663e-01,1,5.135663e-01,1,54,1337,0
E,1,4.864337e-01,1,5.135663e-01,1,66,1342,1
E,1,4.864337e-01,1,5.135663e-01,1,66,1496,1
E,1,5.135663e-01,1,5.135663e-01,1,54,1523,0
E,1,4.864337e-01,1,5.135663e-01,1,66,1527,1
E,1,4.864337e-01,1,5.135663e-01,1,66,1587,1
E,1,5.135663e-01,1,5.135663e-01,1,54,1653,0
E,1,4.864337e-01,1,5.135663e-01,1,66,1654,1
E,1,5.135663e-01,1,5.135663e-01,1,54,1674,0
E,1,5.135663e-01,1,5.135663e-01,1,54,1684,0
E,1,4.864337e-01,1,5.135663e-01,1,66,1769,1
E,1,4.864337e-01,1,5.135663e-01,1,66,1810,1
E,1,5.135663e-01,1,5.135663e-01,1,54,1869,0
E,1,5.135663e-01,1,5.135663e-01,1,54,2100,0
E,1,4.864337e-01,1,5.135663e-01,1,66,2125,1
E,1,5.135663e-01,1,5.135663e-01,1,54,2224,0
E,1,5.135663e-01,1,5.135663e-01,1,54,2287,0
E,1,5.135663e-01,1,5.135663e-01,1,54,2348,0
E,1,4.864337e-01,1,5.135663e-01,1,66,2363,1
E,1,5.135663e-01,1,5.135663e-01,1,54,2402,0
E,1,4.864337e-01,1,5.135663e-01,1,66,2449,1
E,1,5.135663e-01,1,5.135663e-01,1,54,2487,0
E,1,5.135663e-01,1,5.135663e-01,1,54,2496,0
E,1,4.864337e-01,1,5.135663e-01,1,66,2530,1
E,1,4.864337e-01,1,5.135663e-01,1,66,2539,1
E,1,5.135663e-01,1,5.135663e-01,1,54,2613,0
