aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.550704e-01,1,5.449296e-01,1,24,54,0
E,1,4.550704e-01,1,5.449296e-01,1,24,220,0
E,1,4.550704e-01,1,5.449296e-01,1,24,379,0
E,1,5.449296e-01,1,5.449296e-01,1,18,470,1
E,1,5.449296e-01,1,5.449296e-01,1,18,496,1
E,1,5.449296e-01,1,5.449296e-01,1,18,634,1
E,1,5.449296e-01,1,5.449296e-01,1,18,814,1
E,1,5.449296e-01,1,5.449296e-01,1,18,954,1
E,1,4.550704e-01,1,5.449296e-01,1,24,1049,0
E,1,4.550704e-01,1,5.449296e-01,1,24,1188,0
E,1,5.449296e-01,1,5.449296e-01,1,18,1280,1
E,1,5.449296e-01,1,5.449296e-01,1,18,1361,1
E,1,5.449296e-01,1,5.449296e-01,1,18,1415,1
E,1,5.449296e-01,1,5.449296e-01,1,18,1434,1
E,1,5.449296e-01,1,5.449296e-01,1,18,1724,1
E,1,4.550704e-01,1,5.449296e-01,1,24,1758,0
E,1,4.550704e-01,1,5.449296e-01,1,24,1947,0
E,1,4.550704e-01,1,5.449296e-01,1,24,1989,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2161,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2252,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2274,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2290,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2297,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2304,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2318,0
E,1,5.449296e-01,1,5.449296e-01,1,18,2342,1
E,1,5.449296e-01,1,5.449296e-01,1,18,2350,1
E,1,5.449296e-01,1,5.449296e-01,1,18,2502,1
E,1,4.550704e-01,1,5.449296e-01,1,24,2577,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2643,0
E,1,4.550704e-01,1,5.449296e-01,1,24,2817,0
E,1,5.449296e-01,1,5.449296e-01,1,18,2849,1
E,1,5.449296e-01,1,5.449296e-01,1,18,2850,1
E,1,4.550704e-01,1,5.449296e-01,1,24,2979,0
E,1,4.550704e-01,1,5.449296e-01,1,24,3033,0
E,1,5.449296e-01,1,5.449296e-01,1,18,3086,1
E,1,4.550704e-01,1,5.449296e-01,1,24,3137,0
E,1,4.550704e-01,1,5.449296e-01,1,24,3158,0
E,1,4.550704e-01,1,5.449296e-01,1,24,3197,0
E,1,5.449296e-01,1,5.449296e-01,1,18,3212,1
E,1,4.550704e-01,1,5.449296e-01,1,24,3338,0
E,1,5.449296e-01,1,5.449296e-01,1,18,3388,1
E,2,2.969483e-01,1,4.959627e-01,1,33,104,2
E,2,2.969483e-01,1,4.959627e-01,1,33,110,2
E,2,4.959627e-01,1,4.959627e-01,1,31,131,1
E,2,2.969483e-01,1,4.959627e-01,1,33,257,2
E,2,4.959627e-01,1,4.959627e-01,1,31,274,1
E,2,2.969483e-01,1,4.959627e-01,1,33,286,2
E,2,2.969483e-01,1,4.959627e-01,1,33,330,2
E,2,4.959627e-01,1,4.959627e-01,1,31,335,1
E,2,2.969483e-01,1,4.959627e-01,1,33,447,2
E,2,4.959627e-01,1,4.959627e-01,1,31,494,1
E,2,4.959627e-01,1,4.959627e-01,1,31,508,1
E,2,4.959627e-01,1,4.959627e-01,1,31,561,1
E,2,4.959627e-01,1,4.959627e-01,1,31,571,1
E,2,2.969483e-01,1,4.959627e-01,1,33,576,2
E,2,2.070890e-01,1,4.959627e-01,1,14,618,0
E,2,4.959627e-01,1,4.959627e-01,1,31,627,1
E,2,4.959627e-01,1,4.959627e-01,1,31,715,1
E,2,4.959627e-01,1,4.959627e-01,1,31,778,1
E,2,2.070890e-01,1,4.959627e-01,1,14,836,0
E,2,2.969483e-01,1,4.959627e-01,1,33,841,2
E,2,2.969483e-01,1,4.959627e-01,1,33,877,2
E,2,2.969483e-01,1,4.959627e-01,1,33,917,2
E,2,2.070890e-01,1,4.959627e-01,1,14,955,0
E,2,2.070890e-01,1,4.959627e-01,1,14,1004,0
E,2,2.070890e-01,1,4.959627e-01,1,14,1018,0
E,2,4.959627e-01,1,4.959627e-01,1,31,1021,1
E,2,2.969483e-01,1,4.959627e-01,1,33,1069,2
E,2,2.070890e-01,1,4.959627e-01,1,14,1077,0
E,2,2.969483e-01,1,4.959627e-01,1,33,1120,2
E,2,2.969483e-01,1,4.959627e-01,1,33,1170,2
E,2,2.969483e-01,1,4.959627e-01,1,33,1197,2
E,2,2.070890e-01,1,4.959627e-01,1,14,1270,0
E,2,4.959627e-01,1,4.959627e-01,1,31,1376,1
E,2,4.959627e-01,1,4.959627e-01,1,31,1431,1
E,2,2.070890e-01,1,4.959627e-01,1,14,1435,0
E,2,4.959627e-01,1,4.959627e-01,1,31,1440,1
E,2,4.959627e-01,1,4.959627e-01,1,31,1442,1
E,2,4.959627e-01,1,4.959627e-01,1,31,1533,1
E,2,4.959627e-01,1,4.959627e-01,1,31,1633,1
E,2,4.959627e-01,1,4.959627e-01,1,31,1634,1
E,2,4.959627e-01,1,4.959627e-01,1,31,1676,1
E,2,2.070890e-01,1,4.959627e-01,1,14,1777,0
E,2,2.969483e-01,1,4.959627e-01,1,33,1843,2
E,2,4.959627e-01,1,4.959627e-01,1,31,1856,1
E,2,2.070890e-01,1,4.959627e-01,1,14,1936,0
E,2,2.969483e-01,1,4.959627e-01,1,33,1971,2
E,2,2.969483e-01,1,4.959627e-01,1,33,2076,2
E,2,4.959627e-01,1,4.959627e-01,1,31,2122,1
E,2,2.969483e-01,1,4.959627e-01,1,33,2160,2
E,2,2.969483e-01,1,4.959627e-01,1,33,2275,2
E,2,2.969483e-01,1,4.959627e-01,1,33,2308,2
E,2,2.969483e-01,1,4.959627e-01,1,33,2448,2
E,2,2.969483e-01,1,4.959627e-01,1,33,2532,2
E,2,4.959627e-01,1,4.959627e-01,1,31,2545,1
E,2,2.070890e-01,1,4.959627e-01,1,14,2599,0
E,2,2.070890e-01,1,4.959627e-01,1,14,2646,0
E,2,2.969483e-01,1,4.959627e-01,1,33,2666,2
E,2,2.070890e-01,1,4.959627e-01,1,14,2676,0
E,2,2.969483e-01,1,4.959627e-01,1,33,2737,2
E,2,2.969483e-01,1,4.959627e-01,1,33,2828,2
E,2,4.959627e-01,1,4.959627e-01,1,31,2829,1
E,2,2.969483e-01,1,4.959627e-01,1,33,2855,2
E,2,2.969483e-01,1,4.959627e-01,1,33,2930,2
E,2,4.959627e-01,1,4.959627e-01,1,31,2961,1
E,2,4.959627e-01,1,4.959627e-01,1,31,3007,1
E,2,4.959627e-01,1,4.959627e-01,1,31,3020,1
E,2,2.969483e-01,1,4.959627e-01,1,33,3089,2
E,2,4.959627e-01,1,4.959627e-01,1,31,3139,1
E,2,2.969483e-01,1,4.959627e-01,1,33,3184,2
E,2,2.969483e-01,1,4.959627e-01,1,33,3244,2
E,2,4.959627e-01,1,4.959627e-01,1,31,3246,1
E,2,4.959627e-01,1,4.959627e-01,1,31,3251,1
E,2,4.959627e-01,1,4.959627e-01,1,31,3273,1
E,2,4.959627e-01,1,4.959627e-01,1,31,3329,1
E,2,2.969483e-01,1,4.959627e-01,1,33,3343,2
E,2,2.969483e-01,1,4.959627e-01,1,33,3358,2
E,2,2.969483e-01,1,4.959627e-01,1,33,3363,2
E,2,2.070890e-01,1,4.959627e-01,1,14,3387,0
E,3,1.618159e-01,1,4.053971e-01,1,14,42,3
E,3,1.618159e-01,1,4.053971e-01,1,14,72,3
E,3,1.618159e-01,1,4.053971e-01,1,14,102,3
E,3,3.385469e-01,1,4.053971e-01,1,34,105,1
E,3,1.618159e-01,1,4.053971e-01,1,14,107,3
E,3,3.385469e-01,1,4.053971e-01,1,34,111,1
E,3,1.618159e-01,1,4.053971e-01,1,14,149,3
E,3,4.053971e-01,1,4.053971e-01,1,23,154,2
E,3,9.424009e-02,1,4.053971e-01,1,9,191,0
E,3,4.053971e-01,1,4.053971e-01,1,23,212,2
E,3,4.053971e-01,1,4.053971e-01,1,23,277,2
E,3,4.053971e-01,1,4.053971e-01,1,23,292,2
E,3,3.385469e-01,1,4.053971e-01,1,34,321,1
E,3,4.053971e-01,1,4.053971e-01,1,23,334,2
E,3,3.385469e-01,1,4.053971e-01,1,34,353,1
E,3,3.385469e-01,1,4.053971e-01,1,34,371,1
E,3,4.053971e-01,1,4.053971e-01,1,23,442,2
E,3,3.385469e-01,1,4.053971e-01,1,34,539,1
E,3,1.618159e-01,1,4.053971e-01,1,14,607,3
E,3,4.053971e-01,1,4.053971e-01,1,23,617,2
E,3,9.424009e-02,1,4.053971e-01,1,9,630,0
E,3,3.385469e-01,1,4.053971e-01,1,34,705,1
E,3,3.385469e-01,1,4.053971e-01,1,34,747,1
E,3,4.053971e-01,1,4.053971e-01,1,23,829,2
E,3,3.385469e-01,1,4.053971e-01,1,34,872,1
E,3,1.618159e-01,1,4.053971e-01,1,14,907,3
E,3,4.053971e-01,1,4.053971e-01,1,23,936,2
E,3,4.053971e-01,1,4.053971e-01,1,23,938,2
E,3,4.053971e-01,1,4.053971e-01,1,23,973,2
E,3,3.385469e-01,1,4.053971e-01,1,34,974,1
E,3,4.053971e-01,1,4.053971e-01,1,23,980,2
E,3,3.385469e-01,1,4.053971e-01,1,34,997,1
E,3,3.385469e-01,1,4.053971e-01,1,34,1084,1
E,3,1.618159e-01,1,4.053971e-01,1,14,1086,3
E,3,1.618159e-01,1,4.053971e-01,1,14,1145,3
E,3,9.424009e-02,1,4.053971e-01,1,9,1150,0
E,3,9.424009e-02,1,4.053971e-01,1,9,1302,0
E,3,9.424009e-02,1,4.053971e-01,1,9,1305,0
E,3,3.385469e-01,1,4.053971e-01,1,34,1360,1
E,3,1.618159e-01,1,4.053971e-01,1,14,1437,3
E,3,9.424009e-02,1,4.053971e-01,1,9,1541,0
E,3,4.053971e-01,1,4.053971e-01,1,23,1558,2
E,3,4.053971e-01,1,4.053971e-01,1,23,1649,2
E,3,3.385469e-01,1,4.053971e-01,1,34,1660,1
E,3,3.385469e-01,1,4.053971e-01,1,34,1671,1
E,3,3.385469e-01,1,4.053971e-01,1,34,1781,1
E,3,3.385469e-01,1,4.053971e-01,1,34,1926,1
E,3,3.385469e-01,1,4.053971e-01,1,34,2064,1
E,3,4.053971e-01,1,4.053971e-01,1,23,2105,2
E,3,3.385469e-01,1,4.053971e-01,1,34,2125,1
E,3,9.424009e-02,1,4.053971e-01,1,9,2194,0
E,3,3.385469e-01,1,4.053971e-01,1,34,2205,1
E,3,4.053971e-01,1,4.053971e-01,1,23,2250,2
E,3,4.053971e-01,1,4.053971e-01,1,23,2322,2
E,3,3.385469e-01,1,4.053971e-01,1,34,2343,1
E,3,1.618159e-01,1,4.053971e-01,1,14,2366,3
E,3,4.053971e-01,1,4.053971e-01,1,23,2367,2
E,3,4.053971e-01,1,4.053971e-01,1,23,2397,2
E,3,3.385469e-01,1,4.053971e-01,1,34,2408,1
E,3,3.385469e-01,1,4.053971e-01,1,34,2543,1
E,3,3.385469e-01,1,4.053971e-01,1,34,2552,1
E,3,9.424009e-02,1,4.053971e-01,1,9,2637,0
E,3,3.385469e-01,1,4.053971e-01,1,34,2726,1
E,3,3.385469e-01,1,4.053971e-01,1,34,2736,1
E,3,4.053971e-01,1,4.053971e-01,1,23,2880,2
E,3,3.385469e-01,1,4.053971e-01,1,34,2912,1
E,3,1.618159e-01,1,4.053971e-01,1,14,2950,3
E,3,4.053971e-01,1,4.053971e-01,1,23,2969,2
E,3,3.385469e-01,1,4.053971e-01,1,34,3018,1
E,3,4.053971e-01,1,4.053971e-01,1,23,3019,2
E,3,3.385469e-01,1,4.053971e-01,1,34,3021,1
E,3,1.618159e-01,1,4.053971e-01,1,14,3026,3
E,3,3.385469e-01,1,4.053971e-01,1,34,3071,1
E,3,1.618159e-01,1,4.053971e-01,1,14,3077,3
E,3,3.385469e-01,1,4.053971e-01,1,34,3087,1
E,3,9.424009e-02,1,4.053971e-01,1,9,3147,0
E,3,3.385469e-01,1,4.053971e-01,1,34,3233,1
E,3,3.385469e-01,1,4.053971e-01,1,34,3311,1
E,3,4.053971e-01,1,4.053971e-01,1,23,3320,2
E,3,3.385469e-01,1,4.053971e-01,1,34,3342,1
E,4,3.689684e-01,1,3.689684e-01,1,29,35,2
E,4,8.817829e-02,1,3.689684e-01,1,5,87,4
E,4,2.945505e-01,1,3.689684e-01,1,36,109,3
E,4,2.054169e-01,1,3.689684e-01,1,24,121,1
E,4,2.945505e-01,1,3.689684e-01,1,36,126,3
E,4,3.689684e-01,1,3.689684e-01,1,29,136,2
E,4,2.945505e-01,1,3.689684e-01,1,36,144,3
E,4,2.945505e-01,1,3.689684e-01,1,36,164,3
E,4,2.054169e-01,1,3.689684e-01,1,24,194,1
E,4,2.945505e-01,1,3.689684e-01,1,36,219,3
E,4,4.288587e-02,1,3.689684e-01,1,9,248,0
E,4,2.945505e-01,1,3.689684e-01,1,36,281,3
E,4,2.054169e-01,1,3.689684e-01,1,24,291,1
E,4,2.945505e-01,1,3.689684e-01,1,36,316,3
E,4,3.689684e-01,1,3.689684e-01,1,29,327,2
E,4,2.945505e-01,1,3.689684e-01,1,36,370,3
E,4,3.689684e-01,1,3.689684e-01,1,29,373,2
E,4,2.945505e-01,1,3.689684e-01,1,36,394,3
E,4,2.054169e-01,1,3.689684e-01,1,24,461,1
E,4,3.689684e-01,1,3.689684e-01,1,29,509,2
E,4,3.689684e-01,1,3.689684e-01,1,29,528,2
E,4,4.288587e-02,1,3.689684e-01,1,9,540,0
E,4,2.054169e-01,1,3.689684e-01,1,24,542,1
E,4,3.689684e-01,1,3.689684e-01,1,29,578,2
E,4,2.054169e-01,1,3.689684e-01,1,24,587,1
E,4,2.945505e-01,1,3.689684e-01,1,36,612,3
E,4,3.689684e-01,1,3.689684e-01,1,29,616,2
E,4,2.054169e-01,1,3.689684e-01,1,24,654,1
