aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,3.296209e-01,1,6.703791e-01,1,44,46,0
E,1,3.296209e-01,1,6.703791e-01,1,44,50,0
E,1,6.703791e-01,1,6.703791e-01,1,44,91,1
E,1,3.296209e-01,1,6.703791e-01,1,44,244,0
E,1,3.296209e-01,1,6.703791e-01,1,44,265,0
E,1,3.296209e-01,1,6.703791e-01,1,44,288,0
E,1,6.703791e-01,1,6.703791e-01,1,44,425,1
E,1,3.296209e-01,1,6.703791e-01,1,44,428,0
E,1,3.296209e-01,1,6.703791e-01,1,44,429,0
E,1,6.703791e-01,1,6.703791e-01,1,44,433,1
E,1,3.296209e-01,1,6.703791e-01,1,44,456,0
E,1,6.703791e-01,1,6.703791e-01,1,44,516,1
E,1,3.296209e-01,1,6.703791e-01,1,44,606,0
E,1,6.703791e-01,1,6.703791e-01,1,44,681,1
E,1,3.296209e-01,1,6.703791e-01,1,44,690,0
E,1,3.296209e-01,1,6.703791e-01,1,44,749,0
E,1,6.703791e-01,1,6.703791e-01,1,44,751,1
E,1,6.703791e-01,1,6.703791e-01,1,44,914,1
E,1,3.296209e-01,1,6.703791e-01,1,44,917,0
E,1,6.703791e-01,1,6.703791e-01,1,44,965,1
E,1,3.296209e-01,1,6.703791e-01,1,44,1216,0
E,1,6.703791e-01,1,6.703791e-01,1,44,1227,1
E,1,3.296209e-01,1,6.703791e-01,1,44,1228,0
E,1,6.703791e-01,1,6.703791e-01,1,44,1361,1
E,1,3.296209e-01,1,6.703791e-01,1,44,1401,0
E,1,6.703791e-01,1,6.703791e-01,1,44,1407,1
E,1,3.296209e-01,1,6.703791e-01,1,44,1423,0
E,1,6.703791e-01,1,6.703791e-01,1,44,1462,1
E,1,6.703791e-01,1,6.703791e-01,1,44,1474,1
E,1,6.703791e-01,1,6.703791e-01,1,44,1495,1
E,1,6.703791e-01,1,6.703791e-01,1,44,1496,1
E,1,6.703791e-01,1,6.703791e-01,1,44,1535,1
E,1,6.703791e-01,1,6.703791e-01,1,44,1584,1
E,1,6.703791e-01,1,6.703791e-01,1,44,1607,1
E,1,3.296209e-01,1,6.703791e-01,1,44,1658,0
E,1,3.296209e-01,1,6.703791e-01,1,44,1763,0
E,1,3.296209e-01,1,6.703791e-01,1,44,1765,0
E,1,3.296209e-01,1,6.703791e-01,1,44,1766,0
E,1,6.703791e-01,1,6.703791e-01,1,44,1894,1
E,1,3.296209e-01,1,6.703791e-01,1,44,1939,0
