aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.027029e-01,1,5.027029e-01,1,10,252,0
E,1,4.972971e-01,1,5.027029e-01,1,4,611,1
E,1,5.027029e-01,1,5.027029e-01,1,10,712,0
E,1,5.027029e-01,1,5.027029e-01,1,10,716,0
E,1,5.027029e-01,1,5.027029e-01,1,10,827,0
E,1,5.027029e-01,1,5.027029e-01,1,10,990,0
E,1,4.972971e-01,1,5.027029e-01,1,4,1047,1
E,1,5.027029e-01,1,5.027029e-01,1,10,1154,0
E,1,5.027029e-01,1,5.027029e-01,1,10,1196,0
E,1,5.027029e-01,1,5.027029e-01,1,10,1307,0
E,1,4.972971e-01,1,5.027029e-01,1,4,1572,1
E,1,4.972971e-01,1,5.027029e-01,1,4,1573,1
E,1,5.027029e-01,1,5.027029e-01,1,10,1736,0
E,1,5.027029e-01,1,5.027029e-01,1,10,1827,0
E,2,4.999854e-01,1,4.999854e-01,1,9,101,1
E,2,2.473044e-01,1,4.999854e-01,1,4,213,2
E,2,4.999854e-01,1,4.999854e-01,1,9,238,1
E,2,4.999854e-01,1,4.999854e-01,1,9,432,1
E,2,2.527102e-01,1,4.999854e-01,1,5,433,0
E,2,4.999854e-01,1,4.999854e-01,1,9,648,1
E,2,2.473044e-01,1,4.999854e-01,1,4,660,2
E,2,2.527102e-01,1,4.999854e-01,1,5,753,0
E,2,2.527102e-01,1,4.999854e-01,1,5,781,0
E,2,2.527102e-01,1,4.999854e-01,1,5,1156,0
E,2,4.999854e-01,1,4.999854e-01,1,9,1193,1
E,2,2.473044e-01,1,4.999854e-01,1,4,1194,2
E,2,4.999854e-01,1,4.999854e-01,1,9,1195,1
E,2,2.473044e-01,1,4.999854e-01,1,4,1255,2
E,2,4.999854e-01,1,4.999854e-01,1,9,1377,1
E,2,4.999854e-01,1,4.999854e-01,1,9,1837,1
E,2,2.527102e-01,1,4.999854e-01,1,5,1853,0
E,2,4.999854e-01,1,4.999854e-01,1,9,1863,1
E,3,3.729619e-01,1,3.770162e-01,1,8,212,2
