aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.509853e-01,1,8.509853e-01,1,7,288,0
E,1,8.509853e-01,1,8.509853e-01,1,7,669,0
E,1,8.509853e-01,1,8.509853e-01,1,7,838,0
E,1,1.490147e-01,1,8.509853e-01,1,2,867,0
E,1,8.509853e-01,1,8.509853e-01,1,7,1157,0
E,1,8.509853e-01,1,8.509853e-01,1,7,1241,0
E,1,1.490147e-01,1,8.509853e-01,1,2,1258,0
E,1,8.509853e-01,1,8.509853e-01,1,7,1490,0
E,1,8.509853e-01,1,8.509853e-01,1,7,1491,0
E,2,7.241760e-01,1,7.241760e-01,1,14,6,0
E,2,2.536186e-01,1,7.241760e-01,1,8,179,0
E,2,2.536186e-01,1,7.241760e-01,1,8,238,0
E,2,7.241760e-01,1,7.241760e-01,1,14,242,0
E,2,7.241760e-01,1,7.241760e-01,1,14,248,0
E,2,7.241760e-01,1,7.241760e-01,1,14,346,0
E,2,7.241760e-01,1,7.241760e-01,1,14,369,0
E,2,2.536186e-01,1,7.241760e-01,1,8,512,0
E,2,7.241760e-01,1,7.241760e-01,1,14,560,0
E,2,7.241760e-01,1,7.241760e-01,1,14,624,0
E,2,7.241760e-01,1,7.241760e-01,1,14,724,0
E,2,7.241760e-01,1,7.241760e-01,1,14,800,0
E,2,2.536186e-01,1,7.241760e-01,1,8,855,0
E,2,7.241760e-01,1,7.241760e-01,1,14,971,0
E,2,7.241760e-01,1,7.241760e-01,1,14,995,0
E,2,7.241760e-01,1,7.241760e-01,1,14,1014,0
E,2,2.536186e-01,1,7.241760e-01,1,8,1077,0
E,2,2.536186e-01,1,7.241760e-01,1,8,1227,0
E,2,2.536186e-01,1,7.241760e-01,1,8,1248,0
E,2,2.536186e-01,1,7.241760e-01,1,8,1259,0
E,2,7.241760e-01,1,7.241760e-01,1,14,1285,0
E,2,7.241760e-01,1,7.241760e-01,1,14,1317,0
E,2,2.220538e-02,1,7.241760e-01,1,1,1473,0
E,3,6.162631e-01,1,6.162631e-01,1,10,14,0
E,3,6.162631e-01,1,6.162631e-01,1,10,24,0
E,3,3.237386e-01,1,6.162631e-01,1,3,49,0
E,3,6.162631e-01,1,6.162631e-01,1,10,143,0
E,3,3.237386e-01,1,6.162631e-01,1,3,426,0
E,3,6.162631e-01,1,6.162631e-01,1,10,621,0
E,3,3.237386e-01,1,6.162631e-01,1,3,836,0
E,3,6.162631e-01,1,6.162631e-01,1,10,1015,0
E,3,6.162631e-01,1,6.162631e-01,1,10,1037,0
E,3,6.162631e-01,1,6.162631e-01,1,10,1251,0
E,3,6.162631e-01,1,6.162631e-01,1,10,1347,0
E,3,6.162631e-01,1,6.162631e-01,1,10,1354,0
E,3,6.162631e-01,1,6.162631e-01,1,10,1415,0
E,4,1.126340e-02,1,5.244308e-01,1,1,68,3
E,4,3.673291e-01,1,5.244308e-01,1,5,150,3
E,4,5.244308e-01,1,5.244308e-01,1,22,180,3
E,4,5.244308e-01,1,5.244308e-01,1,22,182,3
E,4,5.244308e-01,1,5.244308e-01,1,22,313,3
E,4,5.244308e-01,1,5.244308e-01,1,22,349,3
E,4,5.244308e-01,1,5.244308e-01,1,22,356,3
E,4,3.673291e-01,1,5.244308e-01,1,5,508,3
E,4,5.244308e-01,1,5.244308e-01,1,22,554,3
E,4,5.244308e-01,1,5.244308e-01,1,22,629,3
E,4,5.244308e-01,1,5.244308e-01,1,22,663,3
E,4,5.244308e-01,1,5.244308e-01,1,22,666,3
E,4,5.244308e-01,1,5.244308e-01,1,22,743,3
E,4,5.244308e-01,1,5.244308e-01,1,22,762,3
E,4,9.648363e-02,1,5.244308e-01,1,3,807,3
E,4,5.244308e-01,1,5.244308e-01,1,22,863,3
E,4,5.244308e-01,1,5.244308e-01,1,22,872,3
E,4,3.673291e-01,1,5.244308e-01,1,5,957,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1021,3
E,4,3.673291e-01,1,5.244308e-01,1,5,1045,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1081,3
E,4,9.648363e-02,1,5.244308e-01,1,3,1083,3
E,4,9.648363e-02,1,5.244308e-01,1,3,1105,3
E,4,3.673291e-01,1,5.244308e-01,1,5,1154,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1193,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1345,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1346,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1374,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1425,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1483,3
E,4,5.244308e-01,1,5.244308e-01,1,22,1493,3
E,5,3.907395e-01,1,4.462829e-01,1,11,8,1
E,5,4.462829e-01,1,4.462829e-01,1,9,9,1
E,5,3.907395e-01,1,4.462829e-01,1,11,58,1
E,5,4.462829e-01,1,4.462829e-01,1,9,140,1
E,5,1.368436e-01,1,4.462829e-01,1,4,232,1
E,5,3.907395e-01,1,4.462829e-01,1,11,326,1
E,5,1.368436e-01,1,4.462829e-01,1,4,333,1
E,5,4.462829e-01,1,4.462829e-01,1,9,357,1
E,5,4.462829e-01,1,4.462829e-01,1,9,380,1
E,5,1.368436e-01,1,4.462829e-01,1,4,431,1
E,5,3.907395e-01,1,4.462829e-01,1,11,524,1
E,5,3.907395e-01,1,4.462829e-01,1,11,611,1
E,5,4.462829e-01,1,4.462829e-01,1,9,668,1
E,5,4.462829e-01,1,4.462829e-01,1,9,679,1
E,5,4.462829e-01,1,4.462829e-01,1,9,804,1
E,5,3.907395e-01,1,4.462829e-01,1,11,833,1
E,5,3.907395e-01,1,4.462829e-01,1,11,1066,1
E,5,3.907395e-01,1,4.462829e-01,1,11,1096,1
E,5,3.907395e-01,1,4.462829e-01,1,11,1126,1
E,5,3.907395e-01,1,4.462829e-01,1,11,1153,1
E,5,1.368436e-01,1,4.462829e-01,1,4,1256,1
E,5,4.462829e-01,1,4.462829e-01,1,9,1323,1
E,5,4.462829e-01,1,4.462829e-01,1,9,1451,1
E,5,3.907395e-01,1,4.462829e-01,1,11,1466,1
E,6,4.078341e-02,1,3.990163e-01,1,2,81,3
E,6,3.797802e-01,1,3.990163e-01,1,9,236,3
E,6,3.797802e-01,1,3.990163e-01,1,9,331,3
E,6,3.990163e-01,1,3.990163e-01,1,12,337,3
E,6,1.746778e-01,1,3.990163e-01,1,4,416,3
E,6,3.990163e-01,1,3.990163e-01,1,12,420,3
E,6,3.990163e-01,1,3.990163e-01,1,12,463,3
E,6,3.797802e-01,1,3.990163e-01,1,9,469,3
E,6,3.990163e-01,1,3.990163e-01,1,12,479,3
E,6,3.990163e-01,1,3.990163e-01,1,12,574,3
E,6,4.078341e-02,1,3.990163e-01,1,2,689,3
E,6,3.990163e-01,1,3.990163e-01,1,12,703,3
E,6,3.990163e-01,1,3.990163e-01,1,12,796,3
E,6,3.797802e-01,1,3.990163e-01,1,9,802,3
E,6,3.797802e-01,1,3.990163e-01,1,9,825,3
E,6,1.746778e-01,1,3.990163e-01,1,4,839,3
E,6,3.797802e-01,1,3.990163e-01,1,9,907,3
E,6,3.797802e-01,1,3.990163e-01,1,9,920,3
E,6,3.797802e-01,1,3.990163e-01,1,9,967,3
E,6,3.990163e-01,1,3.990163e-01,1,12,977,3
E,6,1.746778e-01,1,3.990163e-01,1,4,1012,3
E,6,3.797802e-01,1,3.990163e-01,1,9,1067,3
E,6,1.746778e-01,1,3.990163e-01,1,4,1184,3
E,6,3.990163e-01,1,3.990163e-01,1,12,1400,3
