aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.552658e-01,1,5.552658e-01,1,12,22,0
E,1,5.552658e-01,1,5.552658e-01,1,12,30,0
E,1,5.552658e-01,1,5.552658e-01,1,12,112,0
E,1,4.447342e-01,1,5.552658e-01,1,8,240,1
E,1,4.447342e-01,1,5.552658e-01,1,8,470,1
E,1,4.447342e-01,1,5.552658e-01,1,8,603,1
E,1,5.552658e-01,1,5.552658e-01,1,12,792,0
E,1,4.447342e-01,1,5.552658e-01,1,8,952,1
E,1,4.447342e-01,1,5.552658e-01,1,8,1625,1
E,1,4.447342e-01,1,5.552658e-01,1,8,1923,1
E,1,4.447342e-01,1,5.552658e-01,1,8,2162,1
E,1,5.552658e-01,1,5.552658e-01,1,12,2199,0
E,1,5.552658e-01,1,5.552658e-01,1,12,2622,0
E,1,4.447342e-01,1,5.552658e-01,1,8,2762,1
E,1,5.552658e-01,1,5.552658e-01,1,12,2918,0
E,1,5.552658e-01,1,5.552658e-01,1,12,2921,0
E,1,5.552658e-01,1,5.552658e-01,1,12,2928,0
E,1,5.552658e-01,1,5.552658e-01,1,12,3393,0
E,1,5.552658e-01,1,5.552658e-01,1,12,3612,0
E,1,5.552658e-01,1,5.552658e-01,1,12,3701,0
E,2,3.083201e-01,1,4.938914e-01,1,9,144,0
E,2,4.938914e-01,1,4.938914e-01,1,11,456,1
E,2,4.938914e-01,1,4.938914e-01,1,11,730,1
E,2,4.938914e-01,1,4.938914e-01,1,11,887,1
E,2,1.977885e-01,1,4.938914e-01,1,7,891,2
E,2,3.083201e-01,1,4.938914e-01,1,9,991,0
E,2,1.977885e-01,1,4.938914e-01,1,7,1061,2
E,2,3.083201e-01,1,4.938914e-01,1,9,1078,0
E,2,1.977885e-01,1,4.938914e-01,1,7,1384,2
E,2,1.977885e-01,1,4.938914e-01,1,7,1624,2
E,2,1.977885e-01,1,4.938914e-01,1,7,1713,2
E,2,4.938914e-01,1,4.938914e-01,1,11,1822,1
E,2,1.977885e-01,1,4.938914e-01,1,7,1893,2
E,2,4.938914e-01,1,4.938914e-01,1,11,2006,1
E,2,3.083201e-01,1,4.938914e-01,1,9,2043,0
E,2,3.083201e-01,1,4.938914e-01,1,9,2074,0
E,2,1.977885e-01,1,4.938914e-01,1,7,2091,2
E,2,4.938914e-01,1,4.938914e-01,1,11,2172,1
E,2,3.083201e-01,1,4.938914e-01,1,9,2413,0
E,2,4.938914e-01,1,4.938914e-01,1,11,2454,1
E,2,4.938914e-01,1,4.938914e-01,1,11,2457,1
E,2,3.083201e-01,1,4.938914e-01,1,9,2730,0
E,2,3.083201e-01,1,4.938914e-01,1,9,2920,0
E,2,3.083201e-01,1,4.938914e-01,1,9,3033,0
E,2,4.938914e-01,1,4.938914e-01,1,11,3197,1
E,2,4.938914e-01,1,4.938914e-01,1,11,3334,1
E,2,4.938914e-01,1,4.938914e-01,1,11,3496,1
E,3,3.294756e-01,1,4.113615e-01,1,22,7,2
E,3,1.711996e-01,1,4.113615e-01,1,12,40,0
E,3,1.711996e-01,1,4.113615e-01,1,12,249,0
E,3,3.294756e-01,1,4.113615e-01,1,22,261,2
E,3,1.711996e-01,1,4.113615e-01,1,12,286,0
E,3,1.711996e-01,1,4.113615e-01,1,12,445,0
E,3,4.113615e-01,1,4.113615e-01,1,11,494,1
E,3,3.294756e-01,1,4.113615e-01,1,22,706,2
E,3,4.113615e-01,1,4.113615e-01,1,11,779,1
E,3,8.796333e-02,1,4.113615e-01,1,7,832,3
E,3,4.113615e-01,1,4.113615e-01,1,11,1165,1
E,3,3.294756e-01,1,4.113615e-01,1,22,1267,2
E,3,3.294756e-01,1,4.113615e-01,1,22,1343,2
E,3,3.294756e-01,1,4.113615e-01,1,22,1352,2
E,3,8.796333e-02,1,4.113615e-01,1,7,1473,3
E,3,3.294756e-01,1,4.113615e-01,1,22,1552,2
E,3,3.294756e-01,1,4.113615e-01,1,22,1622,2
E,3,3.294756e-01,1,4.113615e-01,1,22,1698,2
E,3,4.113615e-01,1,4.113615e-01,1,11,1731,1
E,3,4.113615e-01,1,4.113615e-01,1,11,1875,1
E,3,3.294756e-01,1,4.113615e-01,1,22,1911,2
E,3,3.294756e-01,1,4.113615e-01,1,22,2005,2
E,3,3.294756e-01,1,4.113615e-01,1,22,2044,2
E,3,4.113615e-01,1,4.113615e-01,1,11,2056,1
E,3,4.113615e-01,1,4.113615e-01,1,11,2067,1
E,3,3.294756e-01,1,4.113615e-01,1,22,2376,2
E,3,3.294756e-01,1,4.113615e-01,1,22,2531,2
E,3,3.294756e-01,1,4.113615e-01,1,22,2542,2
E,3,4.113615e-01,1,4.113615e-01,1,11,2626,1
E,3,8.796333e-02,1,4.113615e-01,1,7,2852,3
E,3,8.796333e-02,1,4.113615e-01,1,7,2882,3
E,3,1.711996e-01,1,4.113615e-01,1,12,2898,0
E,3,1.711996e-01,1,4.113615e-01,1,12,2913,0
E,3,1.711996e-01,1,4.113615e-01,1,12,2914,0
E,3,1.711996e-01,1,4.113615e-01,1,12,2922,0
E,3,4.113615e-01,1,4.113615e-01,1,11,2923,1
E,3,4.113615e-01,1,4.113615e-01,1,11,2926,1
E,3,1.711996e-01,1,4.113615e-01,1,12,2929,0
E,3,8.796333e-02,1,4.113615e-01,1,7,2944,3
E,3,8.796333e-02,1,4.113615e-01,1,7,3032,3
E,3,1.711996e-01,1,4.113615e-01,1,12,3220,0
E,3,1.711996e-01,1,4.113615e-01,1,12,3233,0
E,3,4.113615e-01,1,4.113615e-01,1,11,3298,1
E,3,3.294756e-01,1,4.113615e-01,1,22,3318,2
E,3,3.294756e-01,1,4.113615e-01,1,22,3435,2
E,3,3.294756e-01,1,4.113615e-01,1,22,3445,2
E,3,3.294756e-01,1,4.113615e-01,1,22,3567,2
E,3,8.796333e-02,1,4.113615e-01,1,7,3623,3
E,3,3.294756e-01,1,4.113615e-01,1,22,3629,2
E,3,3.294756e-01,1,4.113615e-01,1,22,3646,2
E,3,3.294756e-01,1,4.113615e-01,1,22,3671,2
E,3,1.711996e-01,1,4.113615e-01,1,12,3679,0
E,4,3.658931e-01,1,3.658931e-01,1,14,10,2
E,4,3.658931e-01,1,3.658931e-01,1,14,26,2
E,4,3.658931e-01,1,3.658931e-01,1,14,294,2
E,4,9.506128e-02,1,3.658931e-01,1,16,324,0
E,4,3.045533e-01,1,3.658931e-01,1,10,336,1
E,4,9.506128e-02,1,3.658931e-01,1,16,342,0
E,4,1.953721e-01,1,3.658931e-01,1,13,380,3
E,4,3.658931e-01,1,3.658931e-01,1,14,384,2
E,4,3.658931e-01,1,3.658931e-01,1,14,475,2
E,4,3.658931e-01,1,3.658931e-01,1,14,478,2
E,4,9.506128e-02,1,3.658931e-01,1,16,505,0
E,4,3.658931e-01,1,3.658931e-01,1,14,508,2
E,4,3.912030e-02,1,3.658931e-01,1,3,560,4
E,4,3.912030e-02,1,3.658931e-01,1,3,620,4
E,4,3.045533e-01,1,3.658931e-01,1,10,667,1
E,4,1.953721e-01,1,3.658931e-01,1,13,782,3
E,4,1.953721e-01,1,3.658931e-01,1,13,898,3
E,4,1.953721e-01,1,3.658931e-01,1,13,1028,3
E,4,1.953721e-01,1,3.658931e-01,1,13,1233,3
E,4,3.912030e-02,1,3.658931e-01,1,3,1400,4
E,4,3.658931e-01,1,3.658931e-01,1,14,1448,2
E,4,3.658931e-01,1,3.658931e-01,1,14,1463,2
E,4,1.953721e-01,1,3.658931e-01,1,13,1509,3
E,4,9.506128e-02,1,3.658931e-01,1,16,1723,0
E,4,9.506128e-02,1,3.658931e-01,1,16,1730,0
E,4,3.045533e-01,1,3.658931e-01,1,10,1743,1
E,4,1.953721e-01,1,3.658931e-01,1,13,1954,3
E,4,1.953721e-01,1,3.658931e-01,1,13,2149,3
E,4,3.658931e-01,1,3.658931e-01,1,14,2182,2
E,4,3.658931e-01,1,3.658931e-01,1,14,2204,2
E,4,1.953721e-01,1,3.658931e-01,1,13,2262,3
