aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.520094e-01,1,8.520094e-01,1,86,43,0
E,1,8.520094e-01,1,8.520094e-01,1,86,50,0
E,1,8.520094e-01,1,8.520094e-01,1,86,51,0
E,1,8.520094e-01,1,8.520094e-01,1,86,68,0
E,1,1.479906e-01,1,8.520094e-01,1,28,93,1
E,1,8.520094e-01,1,8.520094e-01,1,86,163,0
E,1,1.479906e-01,1,8.520094e-01,1,28,323,1
E,1,8.520094e-01,1,8.520094e-01,1,86,329,0
E,1,8.520094e-01,1,8.520094e-01,1,86,342,0
E,1,8.520094e-01,1,8.520094e-01,1,86,343,0
E,1,1.479906e-01,1,8.520094e-01,1,28,484,1
E,1,8.520094e-01,1,8.520094e-01,1,86,589,0
E,1,1.479906e-01,1,8.520094e-01,1,28,592,1
E,1,8.520094e-01,1,8.520094e-01,1,86,619,0
E,1,1.479906e-01,1,8.520094e-01,1,28,702,1
E,1,8.520094e-01,1,8.520094e-01,1,86,822,0
E,1,8.520094e-01,1,8.520094e-01,1,86,919,0
E,1,8.520094e-01,1,8.520094e-01,1,86,965,0
E,1,1.479906e-01,1,8.520094e-01,1,28,1043,1
E,1,8.520094e-01,1,8.520094e-01,1,86,1051,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1056,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1057,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1075,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1185,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1202,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1209,0
E,1,1.479906e-01,1,8.520094e-01,1,28,1244,1
E,1,8.520094e-01,1,8.520094e-01,1,86,1248,0
E,1,1.479906e-01,1,8.520094e-01,1,28,1287,1
E,1,8.520094e-01,1,8.520094e-01,1,86,1383,0
E,1,1.479906e-01,1,8.520094e-01,1,28,1500,1
E,1,8.520094e-01,1,8.520094e-01,1,86,1515,0
E,1,1.479906e-01,1,8.520094e-01,1,28,1519,1
E,1,1.479906e-01,1,8.520094e-01,1,28,1535,1
E,1,8.520094e-01,1,8.520094e-01,1,86,1552,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1596,0
E,1,8.520094e-01,1,8.520094e-01,1,86,1612,0
