aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.580707e-01,1,8.580707e-01,1,46,4,0
E,1,8.580707e-01,1,8.580707e-01,1,46,58,0
E,1,8.580707e-01,1,8.580707e-01,1,46,61,0
E,1,8.580707e-01,1,8.580707e-01,1,46,106,0
E,1,8.580707e-01,1,8.580707e-01,1,46,227,0
E,1,8.580707e-01,1,8.580707e-01,1,46,236,0
E,1,8.580707e-01,1,8.580707e-01,1,46,255,0
E,1,1.419293e-01,1,8.580707e-01,1,9,449,1
E,1,8.580707e-01,1,8.580707e-01,1,46,508,0
E,1,8.580707e-01,1,8.580707e-01,1,46,620,0
E,1,1.419293e-01,1,8.580707e-01,1,9,634,1
E,1,1.419293e-01,1,8.580707e-01,1,9,723,1
E,1,8.580707e-01,1,8.580707e-01,1,46,1055,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1227,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1362,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1501,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1503,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1506,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1508,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1518,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1526,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1643,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1751,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1775,0
E,1,8.580707e-01,1,8.580707e-01,1,46,1873,0
E,1,1.419293e-01,1,8.580707e-01,1,9,2154,1
E,1,8.580707e-01,1,8.580707e-01,1,46,2335,0
E,1,8.580707e-01,1,8.580707e-01,1,46,2356,0
E,1,8.580707e-01,1,8.580707e-01,1,46,2386,0
E,1,8.580707e-01,1,8.580707e-01,1,46,2496,0
E,1,8.580707e-01,1,8.580707e-01,1,46,2814,0
E,1,8.580707e-01,1,8.580707e-01,1,46,2844,0
E,1,8.580707e-01,1,8.580707e-01,1,46,2980,0
E,1,8.580707e-01,1,8.580707e-01,1,46,3143,0
E,1,8.580707e-01,1,8.580707e-01,1,46,3338,0
E,1,8.580707e-01,1,8.580707e-01,1,46,3426,0
E,1,8.580707e-01,1,8.580707e-01,1,46,3530,0
E,1,8.580707e-01,1,8.580707e-01,1,46,3692,0
E,1,8.580707e-01,1,8.580707e-01,1,46,3834,0
E,1,8.580707e-01,1,8.580707e-01,1,46,4015,0
E,1,8.580707e-01,1,8.580707e-01,1,46,4022,0
E,1,8.580707e-01,1,8.580707e-01,1,46,4059,0
E,1,1.419293e-01,1,8.580707e-01,1,9,4075,1
E,1,8.580707e-01,1,8.580707e-01,1,46,4117,0
E,1,1.419293e-01,1,8.580707e-01,1,9,4154,1
E,1,8.580707e-01,1,8.580707e-01,1,46,4491,0
E,1,1.419293e-01,1,8.580707e-01,1,9,4505,1
E,1,8.580707e-01,1,8.580707e-01,1,46,4512,0
E,1,1.419293e-01,1,8.580707e-01,1,9,4588,1
E,1,8.580707e-01,1,8.580707e-01,1,46,4847,0
E,1,8.580707e-01,1,8.580707e-01,1,46,4961,0
E,1,8.580707e-01,1,8.580707e-01,1,46,4964,0
E,1,8.580707e-01,1,8.580707e-01,1,46,5058,0
E,1,8.580707e-01,1,8.580707e-01,1,46,5120,0
E,1,1.419293e-01,1,8.580707e-01,1,9,5187,1
E,2,7.362853e-01,1,7.362853e-01,1,44,115,0
E,2,7.362853e-01,1,7.362853e-01,1,44,176,0
E,2,7.362853e-01,1,7.362853e-01,1,44,291,0
E,2,7.362853e-01,1,7.362853e-01,1,44,355,0
E,2,2.435707e-01,1,7.362853e-01,1,14,438,1
E,2,7.362853e-01,1,7.362853e-01,1,44,489,0
E,2,7.362853e-01,1,7.362853e-01,1,44,696,0
E,2,7.362853e-01,1,7.362853e-01,1,44,755,0
E,2,2.435707e-01,1,7.362853e-01,1,14,830,1
E,2,7.362853e-01,1,7.362853e-01,1,44,888,0
E,2,2.435707e-01,1,7.362853e-01,1,14,959,1
E,2,7.362853e-01,1,7.362853e-01,1,44,1139,0
E,2,7.362853e-01,1,7.362853e-01,1,44,1182,0
E,2,2.435707e-01,1,7.362853e-01,1,14,1184,1
E,2,2.435707e-01,1,7.362853e-01,1,14,1231,1
E,2,7.362853e-01,1,7.362853e-01,1,44,1323,0
