aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,11,153,0
E,1,5.000000e-01,2,5.000000e-01,2,11,454,1
E,1,5.000000e-01,2,5.000000e-01,2,11,601,1
E,1,5.000000e-01,2,5.000000e-01,2,11,638,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1083,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1091,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1176,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1340,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1471,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1542,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1660,0
E,2,2.500000e-01,2,5.000000e-01,1,7,327,0
E,2,5.000000e-01,1,5.000000e-01,1,5,331,1
E,2,2.500000e-01,2,5.000000e-01,1,7,419,2
E,2,2.500000e-01,2,5.000000e-01,1,7,482,0
E,2,2.500000e-01,2,5.000000e-01,1,7,697,2
E,2,2.500000e-01,2,5.000000e-01,1,7,795,0
E,2,5.000000e-01,1,5.000000e-01,1,5,961,1
E,2,2.500000e-01,2,5.000000e-01,1,7,1371,0
E,2,5.000000e-01,1,5.000000e-01,1,5,1495,1
E,2,5.000000e-01,1,5.000000e-01,1,5,1574,1
E,2,5.000000e-01,1,5.000000e-01,1,5,1659,1
E,2,2.500000e-01,2,5.000000e-01,1,7,1782,0
E,3,1.250000e-01,2,3.750000e-01,2,6,68,3
E,3,3.750000e-01,2,3.750000e-01,2,16,116,1
E,3,1.250000e-01,2,3.750000e-01,2,6,123,0
E,3,1.250000e-01,2,3.750000e-01,2,6,184,3
E,3,3.750000e-01,2,3.750000e-01,2,16,417,2
E,3,3.750000e-01,2,3.750000e-01,2,16,590,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1018,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1065,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1183,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1265,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1311,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1356,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1362,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1399,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1407,2
E,3,1.250000e-01,2,3.750000e-01,2,6,1572,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1632,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1663,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1750,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1751,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1753,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1759,1
E,4,2.500000e-01,2,3.750000e-01,1,8,129,1
E,4,3.750000e-01,1,3.750000e-01,1,12,146,2
E,4,2.500000e-01,2,3.750000e-01,1,8,233,3
E,4,6.250000e-02,2,3.750000e-01,1,7,290,0
E,4,2.500000e-01,2,3.750000e-01,1,8,346,3
E,4,3.750000e-01,1,3.750000e-01,1,12,481,2
E,4,2.500000e-01,2,3.750000e-01,1,8,483,1
E,4,3.750000e-01,1,3.750000e-01,1,12,511,2
E,4,2.500000e-01,2,3.750000e-01,1,8,802,3
E,4,3.750000e-01,1,3.750000e-01,1,12,826,2
E,4,6.250000e-02,2,3.750000e-01,1,7,858,0
E,4,3.750000e-01,1,3.750000e-01,1,12,877,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1004,2
E,4,6.250000e-02,2,3.750000e-01,1,7,1131,4
E,4,2.500000e-01,2,3.750000e-01,1,8,1137,1
E,4,6.250000e-02,2,3.750000e-01,1,7,1262,0
E,4,2.500000e-01,2,3.750000e-01,1,8,1264,1
E,4,3.750000e-01,1,3.750000e-01,1,12,1302,2
E,4,2.500000e-01,2,3.750000e-01,1,8,1329,1
E,4,6.250000e-02,2,3.750000e-01,1,7,1342,0
E,4,3.750000e-01,1,3.750000e-01,1,12,1349,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1404,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1467,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1468,2
E,4,6.250000e-02,2,3.750000e-01,1,7,1481,0
E,4,6.250000e-02,2,3.750000e-01,1,7,1627,0
E,4,3.750000e-01,1,3.750000e-01,1,12,1823,2
E,5,1.562500e-01,2,3.125000e-01,2,11,33,1
E,5,3.125000e-01,2,3.125000e-01,2,18,47,2
E,5,3.125000e-01,2,3.125000e-01,2,18,59,2
E,5,3.125000e-01,2,3.125000e-01,2,18,136,2
E,5,3.125000e-01,2,3.125000e-01,2,18,177,2
E,5,3.125000e-01,2,3.125000e-01,2,18,186,2
E,5,3.125000e-01,2,3.125000e-01,2,18,231,2
E,5,1.562500e-01,2,3.125000e-01,2,11,260,1
E,5,3.125000e-01,2,3.125000e-01,2,18,291,2
E,5,3.125000e-01,2,3.125000e-01,2,18,292,3
E,5,3.125000e-01,2,3.125000e-01,2,18,369,3
E,5,3.125000e-01,2,3.125000e-01,2,18,415,3
E,5,1.562500e-01,2,3.125000e-01,2,11,726,4
E,5,1.562500e-01,2,3.125000e-01,2,11,729,4
E,5,1.562500e-01,2,3.125000e-01,2,11,760,1
E,5,3.125000e-01,2,3.125000e-01,2,18,887,2
E,5,1.562500e-01,2,3.125000e-01,2,11,921,1
E,5,3.125000e-02,2,3.125000e-01,2,3,1032,0
E,5,1.562500e-01,2,3.125000e-01,2,11,1119,4
E,5,3.125000e-01,2,3.125000e-01,2,18,1291,2
E,5,3.125000e-01,2,3.125000e-01,2,18,1334,3
E,5,1.562500e-01,2,3.125000e-01,2,11,1363,1
E,5,3.125000e-01,2,3.125000e-01,2,18,1430,2
E,5,3.125000e-01,2,3.125000e-01,2,18,1484,2
E,5,1.562500e-01,2,3.125000e-01,2,11,1487,1
E,5,3.125000e-02,2,3.125000e-01,2,3,1547,0
E,5,1.562500e-01,2,3.125000e-01,2,11,1570,1
E,5,3.125000e-01,2,3.125000e-01,2,18,1589,2
E,5,3.125000e-01,2,3.125000e-01,2,18,1700,3
E,5,3.125000e-01,2,3.125000e-01,2,18,1744,2
E,5,3.125000e-02,2,3.125000e-01,2,3,1758,0
E,5,1.562500e-01,2,3.125000e-01,2,11,1774,1
