species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00432,0.122068,0.634664,9
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0098,0.122068,0.634664,9
saccharomyces_arboricola_h_6,SU7_0063,0.209326,0.881620,11
saccharomyces_eubayanus,DI49_0098,0.335353,0.980255,11
naumovozyma_dairenensis_cbs_421,NDAI_0A01460,0.272339,0.947755,11
naumovozyma_castellii_cbs_4309,NCAS_0A14580,0.122068,0.634664,9
vanderwaltozyma_polyspora_dsm_70294,Kpol_1045p18,0.272339,0.947755,11
zygosaccharomyces_bailii_isa1307,ZBAI_06057,0.262490,0.943749,12
kazachstania_naganishii_cbs_8797,KNAG_0C03370,0.302357,0.995244,18
_candida_glabrata,CAGL0H04565g,0.158093,0.810595,12
zygosaccharomyces_rouxii,ZYRO0B04048g,0.481665,0.998582,11
kazachstania_africana_cbs_2517,KAFR_0K02010,0.050683,0.346274,8
tetrapisispora_phaffii_cbs_4417,TPHA_0K00660,0.069315,0.568893,10
torulaspora_delbrueckii,TDEL_0C02830,0.188010,0.705256,8
zygosaccharomyces_bailii_isa1307,ZBAI_00760,0.264428,0.950363,13
lachancea_thermotolerans_cbs_6340,KLTH0C05984g,0.114960,0.759325,14
lachancea_lanzarotensis,LALA0_S01e06018g,0.125971,0.791576,14
kluyveromyces_marxianus_dmku3_1042,KLMA_70151,0.242299,0.943457,13
eremothecium_cymbalariae_dbvpg_7215,Ecym_7132,0.235479,0.921308,11
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL284C,0.564158,0.999879,21
ashbya_gossypii,AGOS_AGL284C,0.557708,0.999889,20
kluyveromyces_lactis,KLLA0_E06909g,0.207944,0.833424,10
eremothecium_sinecaudum,AW171_hschr42359,0.114536,0.754660,16
tetrapisispora_blattae_cbs_6284,TBLA_0F01410,0.299573,0.963282,10
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_14050,0.485885,0.994888,7
komagataella_phaffii_cbs_7435,PP7435_CHR2-0165,0.230259,0.919992,10
cyberlindnera_jadinii,BN1211_2949,0.124305,0.731198,12
wickerhamomyces_ciferrii,BN7_6738,0.378015,0.992770,12
komagataella_pastoris,PAS_chr2-2_0465,0.230259,0.919992,10
hanseniaspora_osmophila,AWRI3579_g3031,0.040547,0.280459,10
clavispora_lusitaniae_atcc_42720,CLUG_05204,0.144604,0.849938,15
debaryomyces_hansenii_cbs767,DEHA2E09130g,-0.000000,0.115356,9
candida_dubliniensis_cd36,CD36_28020,0.214868,0.769207,7
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_59810,0.107296,0.722981,15
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_31743,0.050905,0.468776,18
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_29897,0.475833,0.993754,8
candida_orthopsilosis_co_90_125,CORT_0A00230,0.189040,0.828733,11
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_154114,0.081736,0.513065,12
_candida_tenuis_atcc_10573,CANTEDRAFT_112988,0.286353,0.959092,11
debaryomyces_fabryi,AC631_05638,0.209326,0.881620,11
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K12176g,0.232989,0.974776,17
candida_albicans_wo_1,CAWG_01631,0.156945,0.666619,7
lodderomyces_elongisporus_nrrl_yb_4239,LELG_00004,0.273618,0.963580,12
meyerozyma_guilliermondii_atcc_6260,PGUG_05453,0.158093,0.810595,12
candida_maltosa_xu316,G210_0800,0.386864,0.953862,7
candida_parapsilosis_cdc317,CPAR2_800110,0.272339,0.947755,11
candida_tropicalis_mya_3404,CTRG_00804,0.299573,0.963282,10
_candida_auris,QG37_05142,0.215856,0.890287,12
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L12177g,0.232989,0.974776,17
scheffersomyces_stipitis_cbs_6054,PICST_30495,0.229920,0.950108,14
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_93328,0.335353,0.980255,11
