aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,5,52,1
E,1,5.000000e-01,2,5.000000e-01,2,5,59,1
E,1,5.000000e-01,2,5.000000e-01,2,5,178,1
E,1,5.000000e-01,2,5.000000e-01,2,5,199,1
E,1,5.000000e-01,2,5.000000e-01,2,5,210,1
E,2,5.000000e-01,1,5.000000e-01,1,8,9,1
E,2,5.000000e-01,1,5.000000e-01,1,8,26,1
E,2,5.000000e-01,1,5.000000e-01,1,8,32,1
E,2,2.500000e-01,2,5.000000e-01,1,4,43,1
E,2,2.500000e-01,2,5.000000e-01,1,4,63,1
E,2,5.000000e-01,1,5.000000e-01,1,8,68,1
E,2,5.000000e-01,1,5.000000e-01,1,8,111,1
E,2,5.000000e-01,1,5.000000e-01,1,8,122,1
E,2,2.500000e-01,2,5.000000e-01,1,4,169,1
E,2,5.000000e-01,1,5.000000e-01,1,8,173,1
E,2,5.000000e-01,1,5.000000e-01,1,8,191,1
E,2,2.500000e-01,2,5.000000e-01,1,4,216,1
E,3,1.250000e-01,2,3.750000e-01,2,5,1,3
E,3,3.750000e-01,2,3.750000e-01,2,7,24,3
E,3,3.750000e-01,2,3.750000e-01,2,7,77,3
E,3,3.750000e-01,2,3.750000e-01,2,7,120,3
E,3,3.750000e-01,2,3.750000e-01,2,7,123,3
E,3,1.250000e-01,2,3.750000e-01,2,5,139,3
E,3,3.750000e-01,2,3.750000e-01,2,7,140,3
E,3,3.750000e-01,2,3.750000e-01,2,7,148,3
E,3,3.750000e-01,2,3.750000e-01,2,7,163,3
E,3,1.250000e-01,2,3.750000e-01,2,5,167,3
E,3,1.250000e-01,2,3.750000e-01,2,5,179,3
E,3,1.250000e-01,2,3.750000e-01,2,5,192,3
E,4,2.500000e-01,2,3.750000e-01,1,7,5,3
E,4,3.750000e-01,1,3.750000e-01,1,6,7,3
E,4,2.500000e-01,2,3.750000e-01,1,7,17,3
E,4,2.500000e-01,2,3.750000e-01,1,7,21,3
E,4,3.750000e-01,1,3.750000e-01,1,6,37,3
E,4,2.500000e-01,2,3.750000e-01,1,7,39,3
E,4,3.750000e-01,1,3.750000e-01,1,6,44,3
E,4,3.750000e-01,1,3.750000e-01,1,6,56,3
E,4,2.500000e-01,2,3.750000e-01,1,7,106,3
E,4,2.500000e-01,2,3.750000e-01,1,7,130,3
E,4,3.750000e-01,1,3.750000e-01,1,6,132,3
E,4,3.750000e-01,1,3.750000e-01,1,6,143,3
E,4,6.250000e-02,2,3.750000e-01,1,2,189,3
E,4,6.250000e-02,2,3.750000e-01,1,2,203,3
E,4,2.500000e-01,2,3.750000e-01,1,7,205,3
E,5,3.125000e-01,2,3.125000e-01,2,10,14,2
E,5,3.125000e-01,2,3.125000e-01,2,10,20,2
E,5,3.125000e-01,2,3.125000e-01,2,10,23,2
E,5,1.562500e-01,2,3.125000e-01,2,4,28,2
E,5,1.562500e-01,2,3.125000e-01,2,4,72,2
E,5,3.125000e-02,2,3.125000e-01,2,1,125,2
E,5,1.562500e-01,2,3.125000e-01,2,4,137,2
E,5,3.125000e-01,2,3.125000e-01,2,10,149,2
E,5,3.125000e-01,2,3.125000e-01,2,10,155,2
E,5,1.562500e-01,2,3.125000e-01,2,4,156,2
E,5,3.125000e-01,2,3.125000e-01,2,10,161,2
E,5,3.125000e-01,2,3.125000e-01,2,10,174,2
E,5,3.125000e-01,2,3.125000e-01,2,10,190,2
E,5,3.125000e-01,2,3.125000e-01,2,10,194,2
E,5,3.125000e-01,2,3.125000e-01,2,10,197,2
E,6,2.343750e-01,2,3.125000e-01,1,3,2,4
E,6,2.343750e-01,2,3.125000e-01,1,3,10,4
E,6,9.375000e-02,2,3.125000e-01,1,3,42,4
E,6,9.375000e-02,2,3.125000e-01,1,3,47,4
E,6,3.125000e-01,1,3.125000e-01,1,4,66,4
E,6,3.125000e-01,1,3.125000e-01,1,4,73,4
E,6,3.125000e-01,1,3.125000e-01,1,4,91,4
E,6,3.125000e-01,1,3.125000e-01,1,4,141,4
E,6,9.375000e-02,2,3.125000e-01,1,3,157,4
E,6,1.562500e-02,2,3.125000e-01,1,1,181,4
E,6,2.343750e-01,2,3.125000e-01,1,3,208,4
E,7,2.734375e-01,2,2.734375e-01,2,9,6,4
E,7,2.734375e-01,2,2.734375e-01,2,9,11,4
E,7,2.734375e-01,2,2.734375e-01,2,9,22,4
E,7,2.734375e-01,2,2.734375e-01,2,9,34,4
E,7,2.734375e-01,2,2.734375e-01,2,9,53,4
E,7,2.734375e-01,2,2.734375e-01,2,9,70,4
E,7,1.640625e-01,2,2.734375e-01,2,2,110,4
E,7,2.734375e-01,2,2.734375e-01,2,9,114,4
E,7,2.734375e-01,2,2.734375e-01,2,9,177,4
E,7,1.640625e-01,2,2.734375e-01,2,2,193,4
E,7,2.734375e-01,2,2.734375e-01,2,9,214,4
E,8,2.187500e-01,2,2.734375e-01,1,5,8,5
E,8,1.093750e-01,2,2.734375e-01,1,5,38,5
E,8,2.187500e-01,2,2.734375e-01,1,5,40,5
E,8,1.093750e-01,2,2.734375e-01,1,5,41,5
E,8,2.734375e-01,1,2.734375e-01,1,2,64,5
E,8,1.093750e-01,2,2.734375e-01,1,5,71,5
E,8,2.187500e-01,2,2.734375e-01,1,5,80,5
E,8,2.187500e-01,2,2.734375e-01,1,5,109,5
E,8,2.187500e-01,2,2.734375e-01,1,5,128,5
E,8,2.734375e-01,1,2.734375e-01,1,2,144,5
E,8,1.093750e-01,2,2.734375e-01,1,5,186,5
E,8,1.093750e-01,2,2.734375e-01,1,5,195,5
E,9,1.640625e-01,2,2.460937e-01,2,2,159,3
E,9,2.460937e-01,2,2.460937e-01,2,3,165,3
E,9,2.460937e-01,2,2.460937e-01,2,3,182,3
E,9,7.031250e-02,2,2.460937e-01,2,1,184,3
E,9,1.640625e-01,2,2.460937e-01,2,2,206,3
E,9,2.460937e-01,2,2.460937e-01,2,3,211,3
E,10,2.460938e-01,1,2.460938e-01,1,3,16,5
E,10,2.460938e-01,1,2.460938e-01,1,3,19,5
E,10,9.765625e-04,2,2.460938e-01,1,1,25,5
E,10,4.394531e-02,2,2.460938e-01,1,2,27,5
E,10,2.460938e-01,1,2.460938e-01,1,3,62,5
E,10,2.050781e-01,2,2.460938e-01,1,4,100,5
E,10,2.050781e-01,2,2.460938e-01,1,4,175,5
E,10,4.394531e-02,2,2.460938e-01,1,2,176,5
E,10,2.050781e-01,2,2.460938e-01,1,4,204,5
E,10,2.050781e-01,2,2.460938e-01,1,4,207,5
E,11,8.056641e-02,2,2.255859e-01,2,1,3,8
E,11,1.611328e-01,2,2.255859e-01,2,4,99,8
E,11,1.611328e-01,2,2.255859e-01,2,4,103,8
E,11,1.611328e-01,2,2.255859e-01,2,4,151,8
E,11,2.255859e-01,2,2.255859e-01,2,1,202,8
E,11,1.611328e-01,2,2.255859e-01,2,4,209,8
E,12,2.255859e-01,1,2.255859e-01,1,3,13,6
E,12,1.933594e-01,2,2.255859e-01,1,5,35,6
E,12,1.933594e-01,2,2.255859e-01,1,5,48,6
E,12,1.933594e-01,2,2.255859e-01,1,5,65,6
E,12,2.255859e-01,1,2.255859e-01,1,3,94,6
E,12,1.933594e-01,2,2.255859e-01,1,5,117,6
E,12,1.611328e-02,2,2.255859e-01,1,1,158,6
E,12,5.371094e-02,2,2.255859e-01,1,1,168,6
E,12,1.208496e-01,2,2.255859e-01,1,2,183,6
E,12,1.208496e-01,2,2.255859e-01,1,2,198,6
E,12,1.933594e-01,2,2.255859e-01,1,5,201,6
E,12,2.255859e-01,1,2.255859e-01,1,3,212,6
E,13,1.571045e-01,2,2.094727e-01,2,1,152,8
E,14,2.221680e-02,2,2.094727e-01,1,1,67,11
E,14,1.221924e-01,2,2.094727e-01,1,1,147,11
E,14,1.832886e-01,2,2.094727e-01,1,1,160,11
E,15,9.164429e-02,2,1.963806e-01,2,1,12,10
E,15,1.527405e-01,2,1.963806e-01,2,1,75,10
E,15,1.963806e-01,2,1.963806e-01,2,1,78,10
E,16,1.745605e-01,2,1.963806e-01,1,1,18,9
E,16,1.963806e-01,1,1.963806e-01,1,1,81,9
E,16,6.665039e-02,2,1.963806e-01,1,1,101,9
E,16,1.221924e-01,2,1.963806e-01,1,1,215,9
E,17,1.854706e-01,2,1.854706e-01,2,2,55,8
E,17,1.854706e-01,2,1.854706e-01,2,2,105,8
E,17,1.483765e-01,2,1.854706e-01,2,1,185,8
E,18,1.213989e-01,2,1.854706e-01,1,2,4,11
E,18,3.112793e-03,2,1.854706e-01,1,1,36,11
E,18,7.081604e-02,2,1.854706e-01,1,1,79,11
E,18,1.213989e-01,2,1.854706e-01,1,2,196,11
E,19,1.441612e-01,2,1.761971e-01,2,1,86,11
E,19,1.761971e-01,2,1.761971e-01,2,2,92,11
E,19,5.175018e-02,2,1.761971e-01,2,1,153,11
E,19,1.761971e-01,2,1.761971e-01,2,2,200,11
E,20,1.761971e-01,1,1.761971e-01,1,1,69,10
E,20,7.392883e-02,2,1.761971e-01,1,1,83,10
E,20,1.601791e-01,2,1.761971e-01,1,2,104,10
E,20,1.601791e-01,2,1.761971e-01,1,2,180,10
E,20,1.201344e-01,2,1.761971e-01,1,1,188,10
E,21,9.703159e-02,2,1.681881e-01,2,1,29,8
E,21,5.544662e-02,2,1.681881e-01,2,1,87,8
E,21,1.401567e-01,2,1.681881e-01,2,1,146,8
E,22,1.185942e-01,2,1.681881e-01,1,1,60,13
E,22,1.541724e-01,2,1.681881e-01,1,2,84,13
E,22,1.541724e-01,2,1.681881e-01,1,2,98,13
