species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0314,-0.000000,0.273438,8
saccharomyces_sp_boulardii_,KO01_00206,-0.000000,0.273438,8
saccharomyces_kudriavzevii_ifo_1802,SKUD_185203,0.027893,0.711263,8
saccharomyces_eubayanus,DI49_1187,0.027893,0.711263,8
kazachstania_africana_cbs_2517,KAFR_0E03030,0.271132,0.992592,8
naumovozyma_castellii_cbs_4309,NCAS_0B02350,0.293229,0.996377,9
naumovozyma_dairenensis_cbs_421,NDAI_0C05340,0.552943,0.998482,10
kazachstania_naganishii_cbs_8797,KNAG_0A03900,-0.000000,0.492187,9
tetrapisispora_phaffii_cbs_4417,TPHA_0L01470,-0.000000,0.451172,11
tetrapisispora_blattae_cbs_6284,TBLA_0H03440,0.139196,0.961212,9
vanderwaltozyma_polyspora_dsm_70294,Kpol_513p7,0.139196,0.961212,9
_candida_glabrata,CAGL0H07535g,0.114536,0.930077,8
zygosaccharomyces_bailii_isa1307,ZBAI_05925,0.027893,0.711263,8
zygosaccharomyces_bailii_isa1307,ZBAI_00623,0.114536,0.930077,8
zygosaccharomyces_rouxii,ZYRO0F08778g,0.139196,0.961212,9
torulaspora_delbrueckii,TDEL_0B01250,0.074194,0.890977,10
eremothecium_cymbalariae_dbvpg_7215,Ecym_2566,0.322684,0.998482,10
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR058C,-0.000000,0.492187,9
ashbya_gossypii,AGOS_ADR058C,0.537365,0.996377,9
eremothecium_sinecaudum,AW171_hschr42697,0.045052,0.820465,9
lachancea_thermotolerans_cbs_6340,KLTH0E11924g,0.271132,0.992592,8
lachancea_lanzarotensis,LALA0_S04e04148g,-0.000000,0.492187,9
kluyveromyces_marxianus_dmku3_1042,KLMA_30358,0.093602,0.934887,11
kluyveromyces_lactis,KLLA0_B09790g,0.119590,0.961793,12
hanseniaspora_opuntiae,AWRI3578_g3731,0.009538,0.576245,14
hanseniaspora_osmophila,AWRI3579_g3265,0.038500,0.820629,14
hanseniaspora_uvarum_dsm_2768,D499_0A01000,0.009538,0.576245,14
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_23676,0.136693,0.987646,17
komagataella_phaffii_cbs_7435,PP7435_CHR4-0625,0.018232,0.656382,10
candida_dubliniensis_cd36,CD36_31500,0.239862,0.999877,19
lodderomyces_elongisporus_nrrl_yb_4239,LELG_03195,0.035964,0.867210,22
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_59489,0.219921,0.994028,12
candida_parapsilosis_cdc317,CPAR2_205060,0.136693,0.987646,17
