aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,122,72,1
E,1,5.000000e-01,2,5.000000e-01,2,122,79,1
E,1,5.000000e-01,2,5.000000e-01,2,122,93,1
E,1,5.000000e-01,2,5.000000e-01,2,122,140,1
E,1,5.000000e-01,2,5.000000e-01,2,122,159,1
E,1,5.000000e-01,2,5.000000e-01,2,122,186,1
E,1,5.000000e-01,2,5.000000e-01,2,122,189,1
E,1,5.000000e-01,2,5.000000e-01,2,122,191,1
E,1,5.000000e-01,2,5.000000e-01,2,122,194,1
E,1,5.000000e-01,2,5.000000e-01,2,122,233,1
E,1,5.000000e-01,2,5.000000e-01,2,122,279,1
E,1,5.000000e-01,2,5.000000e-01,2,122,286,1
E,1,5.000000e-01,2,5.000000e-01,2,122,302,1
E,1,5.000000e-01,2,5.000000e-01,2,122,335,1
E,1,5.000000e-01,2,5.000000e-01,2,122,408,1
E,1,5.000000e-01,2,5.000000e-01,2,122,520,1
E,1,5.000000e-01,2,5.000000e-01,2,122,594,1
E,1,5.000000e-01,2,5.000000e-01,2,122,604,1
E,1,5.000000e-01,2,5.000000e-01,2,122,624,1
E,1,5.000000e-01,2,5.000000e-01,2,122,670,1
E,1,5.000000e-01,2,5.000000e-01,2,122,678,1
E,1,5.000000e-01,2,5.000000e-01,2,122,752,1
E,1,5.000000e-01,2,5.000000e-01,2,122,754,1
E,1,5.000000e-01,2,5.000000e-01,2,122,755,1
E,1,5.000000e-01,2,5.000000e-01,2,122,767,1
E,1,5.000000e-01,2,5.000000e-01,2,122,776,1
E,1,5.000000e-01,2,5.000000e-01,2,122,778,1
E,1,5.000000e-01,2,5.000000e-01,2,122,784,1
E,1,5.000000e-01,2,5.000000e-01,2,122,792,1
E,1,5.000000e-01,2,5.000000e-01,2,122,824,1
E,1,5.000000e-01,2,5.000000e-01,2,122,825,1
E,1,5.000000e-01,2,5.000000e-01,2,122,849,1
E,1,5.000000e-01,2,5.000000e-01,2,122,877,1
E,1,5.000000e-01,2,5.000000e-01,2,122,899,1
E,1,5.000000e-01,2,5.000000e-01,2,122,905,1
E,1,5.000000e-01,2,5.000000e-01,2,122,907,1
E,1,5.000000e-01,2,5.000000e-01,2,122,920,1
E,1,5.000000e-01,2,5.000000e-01,2,122,926,1
