aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,26,23,0
E,1,5.000000e-01,2,5.000000e-01,2,26,108,0
E,1,5.000000e-01,2,5.000000e-01,2,26,111,0
E,1,5.000000e-01,2,5.000000e-01,2,26,201,0
E,1,5.000000e-01,2,5.000000e-01,2,26,868,0
E,1,5.000000e-01,2,5.000000e-01,2,26,932,0
E,1,5.000000e-01,2,5.000000e-01,2,26,940,0
E,1,5.000000e-01,2,5.000000e-01,2,26,1241,0
E,1,5.000000e-01,2,5.000000e-01,2,26,1432,0
E,1,5.000000e-01,2,5.000000e-01,2,26,1696,0
E,1,5.000000e-01,2,5.000000e-01,2,26,1711,0
E,1,5.000000e-01,2,5.000000e-01,2,26,1777,0
E,1,5.000000e-01,2,5.000000e-01,2,26,1888,0
E,1,5.000000e-01,2,5.000000e-01,2,26,1889,0
E,1,5.000000e-01,2,5.000000e-01,2,26,3079,0
E,1,5.000000e-01,2,5.000000e-01,2,26,3234,0
E,1,5.000000e-01,2,5.000000e-01,2,26,3385,0
E,1,5.000000e-01,2,5.000000e-01,2,26,3589,0
E,1,5.000000e-01,2,5.000000e-01,2,26,3890,0
E,1,5.000000e-01,2,5.000000e-01,2,26,3945,0
E,1,5.000000e-01,2,5.000000e-01,2,26,3956,0
E,1,5.000000e-01,2,5.000000e-01,2,26,4039,0
E,1,5.000000e-01,2,5.000000e-01,2,26,4221,0
E,1,5.000000e-01,2,5.000000e-01,2,26,4475,0
E,1,5.000000e-01,2,5.000000e-01,2,26,5070,0
E,1,5.000000e-01,2,5.000000e-01,2,26,5071,0
E,2,2.500000e-01,2,5.000000e-01,1,48,55,0
E,2,2.500000e-01,2,5.000000e-01,1,48,61,0
E,2,5.000000e-01,1,5.000000e-01,1,34,126,0
E,2,2.500000e-01,2,5.000000e-01,1,48,190,0
E,2,5.000000e-01,1,5.000000e-01,1,34,196,0
E,2,2.500000e-01,2,5.000000e-01,1,48,212,0
E,2,2.500000e-01,2,5.000000e-01,1,48,272,0
E,2,2.500000e-01,2,5.000000e-01,1,48,617,0
E,2,2.500000e-01,2,5.000000e-01,1,48,632,0
E,2,5.000000e-01,1,5.000000e-01,1,34,744,0
E,2,2.500000e-01,2,5.000000e-01,1,48,961,0
E,2,2.500000e-01,2,5.000000e-01,1,48,987,0
E,2,2.500000e-01,2,5.000000e-01,1,48,1100,0
E,2,5.000000e-01,1,5.000000e-01,1,34,1105,0
E,2,5.000000e-01,1,5.000000e-01,1,34,1120,0
E,2,2.500000e-01,2,5.000000e-01,1,48,1199,0
E,2,5.000000e-01,1,5.000000e-01,1,34,1222,0
E,2,2.500000e-01,2,5.000000e-01,1,48,1271,0
E,2,5.000000e-01,1,5.000000e-01,1,34,1362,0
E,2,2.500000e-01,2,5.000000e-01,1,48,1428,0
E,2,5.000000e-01,1,5.000000e-01,1,34,1482,0
E,2,2.500000e-01,2,5.000000e-01,1,48,1486,0
E,2,2.500000e-01,2,5.000000e-01,1,48,1618,0
E,2,2.500000e-01,2,5.000000e-01,1,48,1660,0
E,2,5.000000e-01,1,5.000000e-01,1,34,1668,0
