aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,10,13,0
E,1,5.000000e-01,2,5.000000e-01,2,10,184,1
E,1,5.000000e-01,2,5.000000e-01,2,10,194,0
E,1,5.000000e-01,2,5.000000e-01,2,10,334,1
E,1,5.000000e-01,2,5.000000e-01,2,10,370,0
E,1,5.000000e-01,2,5.000000e-01,2,10,413,0
E,1,5.000000e-01,2,5.000000e-01,2,10,447,1
E,1,5.000000e-01,2,5.000000e-01,2,10,501,0
E,1,5.000000e-01,2,5.000000e-01,2,10,552,0
E,1,5.000000e-01,2,5.000000e-01,2,10,676,0
E,2,5.000000e-01,1,5.000000e-01,1,6,209,1
E,2,5.000000e-01,1,5.000000e-01,1,6,228,1
E,2,2.500000e-01,2,5.000000e-01,1,8,232,0
E,2,2.500000e-01,2,5.000000e-01,1,8,332,0
E,2,5.000000e-01,1,5.000000e-01,1,6,339,1
E,2,2.500000e-01,2,5.000000e-01,1,8,485,2
E,2,5.000000e-01,1,5.000000e-01,1,6,556,1
E,2,5.000000e-01,1,5.000000e-01,1,6,596,1
E,2,2.500000e-01,2,5.000000e-01,1,8,664,0
E,2,2.500000e-01,2,5.000000e-01,1,8,699,0
E,2,2.500000e-01,2,5.000000e-01,1,8,710,0
E,2,2.500000e-01,2,5.000000e-01,1,8,733,2
E,2,2.500000e-01,2,5.000000e-01,1,8,746,0
E,2,5.000000e-01,1,5.000000e-01,1,6,860,1
E,3,1.250000e-01,2,3.750000e-01,2,5,174,0
E,3,1.250000e-01,2,3.750000e-01,2,5,254,0
E,3,1.250000e-01,2,3.750000e-01,2,5,373,0
E,3,3.750000e-01,2,3.750000e-01,2,10,418,2
E,3,3.750000e-01,2,3.750000e-01,2,10,427,1
E,3,1.250000e-01,2,3.750000e-01,2,5,484,0
E,3,3.750000e-01,2,3.750000e-01,2,10,519,2
E,3,1.250000e-01,2,3.750000e-01,2,5,599,0
E,3,3.750000e-01,2,3.750000e-01,2,10,611,2
E,3,3.750000e-01,2,3.750000e-01,2,10,638,1
E,3,3.750000e-01,2,3.750000e-01,2,10,680,2
E,3,3.750000e-01,2,3.750000e-01,2,10,698,2
E,3,3.750000e-01,2,3.750000e-01,2,10,721,2
