aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,8,152,1
E,1,5.000000e-01,2,5.000000e-01,2,8,295,1
E,1,5.000000e-01,2,5.000000e-01,2,8,450,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1022,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1077,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1352,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1492,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1554,1
E,2,5.000000e-01,1,5.000000e-01,1,7,10,1
E,2,5.000000e-01,1,5.000000e-01,1,7,325,1
E,2,2.500000e-01,2,5.000000e-01,1,6,340,1
E,2,2.500000e-01,2,5.000000e-01,1,6,478,1
E,2,5.000000e-01,1,5.000000e-01,1,7,684,1
E,2,2.500000e-01,2,5.000000e-01,1,6,781,1
E,2,2.500000e-01,2,5.000000e-01,1,6,947,1
E,2,2.500000e-01,2,5.000000e-01,1,6,1321,1
E,2,5.000000e-01,1,5.000000e-01,1,7,1489,1
E,2,2.500000e-01,2,5.000000e-01,1,6,1493,1
E,2,5.000000e-01,1,5.000000e-01,1,7,1586,1
E,2,5.000000e-01,1,5.000000e-01,1,7,1680,1
E,2,5.000000e-01,1,5.000000e-01,1,7,1681,1
E,3,1.250000e-01,2,3.750000e-01,2,5,69,3
E,3,1.250000e-01,2,3.750000e-01,2,5,114,3
E,3,1.250000e-01,2,3.750000e-01,2,5,121,3
E,3,3.750000e-01,2,3.750000e-01,2,14,181,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1004,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1052,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1089,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1181,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1263,3
E,3,1.250000e-01,2,3.750000e-01,2,5,1293,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1330,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1336,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1381,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1522,3
E,3,1.250000e-01,2,3.750000e-01,2,5,1584,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1648,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1684,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1752,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1758,3
E,4,6.250000e-02,2,3.750000e-01,1,4,127,0
E,4,2.500000e-01,2,3.750000e-01,1,12,144,0
E,4,3.750000e-01,1,3.750000e-01,1,10,229,0
E,4,3.750000e-01,1,3.750000e-01,1,10,286,0
E,4,3.750000e-01,1,3.750000e-01,1,10,346,0
E,4,2.500000e-01,2,3.750000e-01,1,12,369,0
E,4,2.500000e-01,2,3.750000e-01,1,12,477,0
E,4,3.750000e-01,1,3.750000e-01,1,10,479,0
E,4,3.750000e-01,1,3.750000e-01,1,10,507,0
E,4,3.750000e-01,1,3.750000e-01,1,10,788,0
E,4,2.500000e-01,2,3.750000e-01,1,12,812,0
E,4,3.750000e-01,1,3.750000e-01,1,10,864,0
E,4,2.500000e-01,2,3.750000e-01,1,12,991,0
E,4,2.500000e-01,2,3.750000e-01,1,12,1133,0
E,4,2.500000e-01,2,3.750000e-01,1,12,1139,0
E,4,2.500000e-01,2,3.750000e-01,1,12,1200,0
E,4,3.750000e-01,1,3.750000e-01,1,10,1260,0
E,4,6.250000e-02,2,3.750000e-01,1,4,1262,0
E,4,2.500000e-01,2,3.750000e-01,1,12,1343,0
E,4,3.750000e-01,1,3.750000e-01,1,10,1350,0
E,4,2.500000e-01,2,3.750000e-01,1,12,1363,0
E,4,2.500000e-01,2,3.750000e-01,1,12,1390,0
E,4,6.250000e-02,2,3.750000e-01,1,4,1506,0
E,4,3.750000e-01,1,3.750000e-01,1,10,1595,0
E,4,2.500000e-01,2,3.750000e-01,1,12,1643,0
E,4,6.250000e-02,2,3.750000e-01,1,4,1819,0
E,5,1.562500e-01,2,3.125000e-01,2,6,48,1
E,5,3.125000e-01,2,3.125000e-01,2,16,134,1
E,5,3.125000e-01,2,3.125000e-01,2,16,183,1
E,5,3.125000e-01,2,3.125000e-01,2,16,227,1
E,5,3.125000e-01,2,3.125000e-01,2,16,287,1
E,5,1.562500e-01,2,3.125000e-01,2,6,288,1
E,5,3.125000e-01,2,3.125000e-01,2,16,305,1
E,5,3.125000e-01,2,3.125000e-01,2,16,413,1
E,5,3.125000e-01,2,3.125000e-01,2,16,713,1
E,5,3.125000e-01,2,3.125000e-01,2,16,716,1
E,5,3.125000e-02,2,3.125000e-01,2,2,746,1
E,5,1.562500e-01,2,3.125000e-01,2,6,874,1
E,5,3.125000e-01,2,3.125000e-01,2,16,908,1
E,5,3.125000e-01,2,3.125000e-01,2,16,914,1
E,5,3.125000e-02,2,3.125000e-01,2,2,1121,1
E,5,3.125000e-01,2,3.125000e-01,2,16,1329,1
E,5,1.562500e-01,2,3.125000e-01,2,6,1358,1
E,5,3.125000e-01,2,3.125000e-01,2,16,1433,1
E,5,3.125000e-01,2,3.125000e-01,2,16,1469,1
E,5,3.125000e-01,2,3.125000e-01,2,16,1472,1
E,5,3.125000e-01,2,3.125000e-01,2,16,1559,1
E,5,1.562500e-01,2,3.125000e-01,2,6,1582,1
E,5,1.562500e-01,2,3.125000e-01,2,6,1606,1
E,5,3.125000e-01,2,3.125000e-01,2,16,1746,1
E,6,3.125000e-01,1,3.125000e-01,1,10,6,3
E,6,3.125000e-01,1,3.125000e-01,1,10,34,3
E,6,1.562500e-02,2,3.125000e-01,1,1,60,3
E,6,2.343750e-01,2,3.125000e-01,1,10,243,3
E,6,3.125000e-01,1,3.125000e-01,1,10,251,3
E,6,9.375000e-02,2,3.125000e-01,1,4,267,3
E,6,3.125000e-01,1,3.125000e-01,1,10,547,3
E,6,9.375000e-02,2,3.125000e-01,1,4,650,3
E,6,2.343750e-01,2,3.125000e-01,1,10,825,3
E,6,3.125000e-01,1,3.125000e-01,1,10,884,3
E,6,3.125000e-01,1,3.125000e-01,1,10,934,3
E,6,9.375000e-02,2,3.125000e-01,1,4,990,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1174,3
E,6,3.125000e-01,1,3.125000e-01,1,10,1237,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1296,3
E,6,3.125000e-01,1,3.125000e-01,1,10,1353,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1366,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1455,3
E,6,9.375000e-02,2,3.125000e-01,1,4,1511,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1514,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1519,3
E,6,3.125000e-01,1,3.125000e-01,1,10,1585,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1667,3
E,6,3.125000e-01,1,3.125000e-01,1,10,1718,3
E,6,2.343750e-01,2,3.125000e-01,1,10,1757,3
E,7,2.734375e-01,2,2.734375e-01,2,22,68,3
E,7,2.734375e-01,2,2.734375e-01,2,22,318,3
E,7,1.640625e-01,2,2.734375e-01,2,11,402,3
E,7,1.640625e-01,2,2.734375e-01,2,11,427,3
E,7,2.734375e-01,2,2.734375e-01,2,22,444,3
E,7,2.734375e-01,2,2.734375e-01,2,22,508,3
E,7,2.734375e-01,2,2.734375e-01,2,22,601,3
E,7,1.640625e-01,2,2.734375e-01,2,11,661,3
E,7,2.734375e-01,2,2.734375e-01,2,22,673,3
E,7,1.640625e-01,2,2.734375e-01,2,11,691,3
E,7,2.734375e-01,2,2.734375e-01,2,22,692,3
E,7,2.734375e-01,2,2.734375e-01,2,22,694,3
E,7,2.734375e-01,2,2.734375e-01,2,22,745,3
E,7,2.734375e-01,2,2.734375e-01,2,22,844,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1019,3
E,7,1.640625e-01,2,2.734375e-01,2,11,1062,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1134,3
E,7,1.640625e-01,2,2.734375e-01,2,11,1152,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1172,3
E,7,1.640625e-01,2,2.734375e-01,2,11,1194,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1199,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1316,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1347,3
E,7,1.640625e-01,2,2.734375e-01,2,11,1362,3
E,7,1.640625e-01,2,2.734375e-01,2,11,1372,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1377,3
E,7,5.468750e-02,2,2.734375e-01,2,2,1408,3
E,7,1.640625e-01,2,2.734375e-01,2,11,1434,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1447,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1481,3
E,7,1.640625e-01,2,2.734375e-01,2,11,1570,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1579,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1666,3
E,7,2.734375e-01,2,2.734375e-01,2,22,1701,3
E,7,5.468750e-02,2,2.734375e-01,2,2,1772,3
E,8,2.187500e-01,2,2.734375e-01,1,13,26,3
E,8,2.734375e-01,1,2.734375e-01,1,9,30,3
E,8,1.093750e-01,2,2.734375e-01,1,5,56,3
E,8,3.125000e-02,2,2.734375e-01,1,2,98,3
E,8,2.187500e-01,2,2.734375e-01,1,13,107,3
E,8,2.187500e-01,2,2.734375e-01,1,13,368,3
E,8,1.093750e-01,2,2.734375e-01,1,5,405,3
E,8,2.734375e-01,1,2.734375e-01,1,9,503,3
E,8,2.734375e-01,1,2.734375e-01,1,9,519,3
E,8,2.187500e-01,2,2.734375e-01,1,13,608,3
E,8,2.187500e-01,2,2.734375e-01,1,13,620,3
E,8,2.187500e-01,2,2.734375e-01,1,13,654,3
E,8,2.734375e-01,1,2.734375e-01,1,9,865,3
E,8,1.093750e-01,2,2.734375e-01,1,5,889,3
E,8,2.734375e-01,1,2.734375e-01,1,9,913,3
E,8,2.187500e-01,2,2.734375e-01,1,13,936,3
E,8,2.734375e-01,1,2.734375e-01,1,9,1061,3
E,8,2.734375e-01,1,2.734375e-01,1,9,1127,3
E,8,2.734375e-01,1,2.734375e-01,1,9,1129,3
E,8,2.187500e-01,2,2.734375e-01,1,13,1155,3
E,8,1.093750e-01,2,2.734375e-01,1,5,1209,3
E,8,2.187500e-01,2,2.734375e-01,1,13,1227,3
E,8,3.125000e-02,2,2.734375e-01,1,2,1327,3
E,8,3.906250e-03,2,2.734375e-01,1,1,1328,3
E,8,2.187500e-01,2,2.734375e-01,1,13,1365,3
E,8,1.093750e-01,2,2.734375e-01,1,5,1368,3
E,8,2.187500e-01,2,2.734375e-01,1,13,1467,3
E,8,2.734375e-01,1,2.734375e-01,1,9,1571,3
E,8,2.187500e-01,2,2.734375e-01,1,13,1677,3
E,8,2.187500e-01,2,2.734375e-01,1,13,1782,3
E,9,2.460937e-01,2,2.460937e-01,2,17,95,5
E,9,2.460937e-01,2,2.460937e-01,2,17,115,5
E,9,1.757812e-02,2,2.460937e-01,2,4,151,5
E,9,2.460937e-01,2,2.460937e-01,2,17,192,5
E,9,1.640625e-01,2,2.460937e-01,2,17,226,5
E,9,1.640625e-01,2,2.460937e-01,2,17,256,5
E,9,2.460937e-01,2,2.460937e-01,2,17,262,5
E,9,7.031250e-02,2,2.460937e-01,2,4,314,5
E,9,2.460937e-01,2,2.460937e-01,2,17,322,5
E,9,1.640625e-01,2,2.460937e-01,2,17,335,5
E,9,1.640625e-01,2,2.460937e-01,2,17,337,5
E,9,7.031250e-02,2,2.460937e-01,2,4,651,5
E,9,1.640625e-01,2,2.460937e-01,2,17,660,5
E,9,2.460937e-01,2,2.460937e-01,2,17,683,5
E,9,1.757812e-02,2,2.460937e-01,2,4,710,5
E,9,1.640625e-01,2,2.460937e-01,2,17,791,5
E,9,1.640625e-01,2,2.460937e-01,2,17,833,5
E,9,1.640625e-01,2,2.460937e-01,2,17,848,5
E,9,1.640625e-01,2,2.460937e-01,2,17,876,5
E,9,7.031250e-02,2,2.460937e-01,2,4,890,5
E,9,2.460937e-01,2,2.460937e-01,2,17,904,5
E,9,2.460937e-01,2,2.460937e-01,2,17,918,5
E,9,2.460937e-01,2,2.460937e-01,2,17,959,5
E,9,2.460937e-01,2,2.460937e-01,2,17,960,5
E,9,2.460937e-01,2,2.460937e-01,2,17,1012,5
E,9,1.640625e-01,2,2.460937e-01,2,17,1023,5
E,9,2.460937e-01,2,2.460937e-01,2,17,1071,5
