aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,31,12,1
E,1,5.000000e-01,2,5.000000e-01,2,31,184,0
E,1,5.000000e-01,2,5.000000e-01,2,31,281,1
E,1,5.000000e-01,2,5.000000e-01,2,31,311,1
E,1,5.000000e-01,2,5.000000e-01,2,31,369,1
E,1,5.000000e-01,2,5.000000e-01,2,31,579,1
E,1,5.000000e-01,2,5.000000e-01,2,31,712,1
E,1,5.000000e-01,2,5.000000e-01,2,31,742,0
E,1,5.000000e-01,2,5.000000e-01,2,31,760,1
E,1,5.000000e-01,2,5.000000e-01,2,31,806,0
E,1,5.000000e-01,2,5.000000e-01,2,31,1083,1
E,1,5.000000e-01,2,5.000000e-01,2,31,1122,1
E,1,5.000000e-01,2,5.000000e-01,2,31,1177,0
E,1,5.000000e-01,2,5.000000e-01,2,31,1333,1
E,1,5.000000e-01,2,5.000000e-01,2,31,1432,1
E,1,5.000000e-01,2,5.000000e-01,2,31,1436,0
E,1,5.000000e-01,2,5.000000e-01,2,31,1507,0
E,1,5.000000e-01,2,5.000000e-01,2,31,1555,1
E,1,5.000000e-01,2,5.000000e-01,2,31,1939,0
E,1,5.000000e-01,2,5.000000e-01,2,31,1989,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2124,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2398,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2402,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2508,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2523,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2538,0
E,1,5.000000e-01,2,5.000000e-01,2,31,2550,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2753,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2908,1
E,1,5.000000e-01,2,5.000000e-01,2,31,2986,1
E,1,5.000000e-01,2,5.000000e-01,2,31,3006,1
E,2,2.500000e-01,2,5.000000e-01,1,31,42,0
E,2,2.500000e-01,2,5.000000e-01,1,31,113,0
E,2,2.500000e-01,2,5.000000e-01,1,31,121,2
E,2,2.500000e-01,2,5.000000e-01,1,31,546,2
E,2,2.500000e-01,2,5.000000e-01,1,31,569,2
E,2,2.500000e-01,2,5.000000e-01,1,31,577,2
E,2,5.000000e-01,1,5.000000e-01,1,28,612,1
E,2,5.000000e-01,1,5.000000e-01,1,28,640,1
E,2,2.500000e-01,2,5.000000e-01,1,31,711,2
E,2,2.500000e-01,2,5.000000e-01,1,31,758,2
E,2,2.500000e-01,2,5.000000e-01,1,31,774,0
E,2,5.000000e-01,1,5.000000e-01,1,28,837,1
E,2,5.000000e-01,1,5.000000e-01,1,28,880,1
E,2,2.500000e-01,2,5.000000e-01,1,31,884,2
E,2,5.000000e-01,1,5.000000e-01,1,28,949,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1045,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1066,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1074,2
E,2,2.500000e-01,2,5.000000e-01,1,31,1118,2
E,2,2.500000e-01,2,5.000000e-01,1,31,1120,2
E,2,2.500000e-01,2,5.000000e-01,1,31,1151,2
E,2,2.500000e-01,2,5.000000e-01,1,31,1171,2
E,2,5.000000e-01,1,5.000000e-01,1,28,1227,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1230,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1339,2
E,2,5.000000e-01,1,5.000000e-01,1,28,1361,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1434,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1541,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1568,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1579,1
E,2,5.000000e-01,1,5.000000e-01,1,28,1593,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1774,2
E,2,5.000000e-01,1,5.000000e-01,1,28,1828,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1840,0
E,2,2.500000e-01,2,5.000000e-01,1,31,1942,0
E,2,5.000000e-01,1,5.000000e-01,1,28,1955,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2020,2
E,2,2.500000e-01,2,5.000000e-01,1,31,2026,0
E,2,2.500000e-01,2,5.000000e-01,1,31,2036,0
E,2,5.000000e-01,1,5.000000e-01,1,28,2053,1
E,2,5.000000e-01,1,5.000000e-01,1,28,2111,1
E,2,5.000000e-01,1,5.000000e-01,1,28,2202,1
E,2,5.000000e-01,1,5.000000e-01,1,28,2235,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2323,0
E,2,2.500000e-01,2,5.000000e-01,1,31,2353,2
E,2,5.000000e-01,1,5.000000e-01,1,28,2381,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2427,2
E,2,5.000000e-01,1,5.000000e-01,1,28,2468,1
E,2,5.000000e-01,1,5.000000e-01,1,28,2486,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2507,0
E,2,5.000000e-01,1,5.000000e-01,1,28,2524,1
E,2,5.000000e-01,1,5.000000e-01,1,28,2548,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2643,0
E,2,2.500000e-01,2,5.000000e-01,1,31,2698,0
E,2,5.000000e-01,1,5.000000e-01,1,28,2834,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2971,2
E,2,2.500000e-01,2,5.000000e-01,1,31,2987,0
E,2,2.500000e-01,2,5.000000e-01,1,31,3042,2
E,2,5.000000e-01,1,5.000000e-01,1,28,3043,1
E,3,1.250000e-01,2,3.750000e-01,2,23,84,3
E,3,3.750000e-01,2,3.750000e-01,2,67,106,1
E,3,1.250000e-01,2,3.750000e-01,2,23,140,3
E,3,3.750000e-01,2,3.750000e-01,2,67,147,1
E,3,3.750000e-01,2,3.750000e-01,2,67,169,1
E,3,3.750000e-01,2,3.750000e-01,2,67,175,2
E,3,3.750000e-01,2,3.750000e-01,2,67,183,2
E,3,3.750000e-01,2,3.750000e-01,2,67,275,2
E,3,3.750000e-01,2,3.750000e-01,2,67,322,1
E,3,1.250000e-01,2,3.750000e-01,2,23,406,3
E,3,3.750000e-01,2,3.750000e-01,2,67,407,2
E,3,3.750000e-01,2,3.750000e-01,2,67,426,2
E,3,3.750000e-01,2,3.750000e-01,2,67,528,2
E,3,3.750000e-01,2,3.750000e-01,2,67,531,2
E,3,3.750000e-01,2,3.750000e-01,2,67,565,1
E,3,3.750000e-01,2,3.750000e-01,2,67,570,1
E,3,3.750000e-01,2,3.750000e-01,2,67,611,2
E,3,3.750000e-01,2,3.750000e-01,2,67,687,1
E,3,3.750000e-01,2,3.750000e-01,2,67,766,2
E,3,1.250000e-01,2,3.750000e-01,2,23,771,3
E,3,3.750000e-01,2,3.750000e-01,2,67,800,2
E,3,3.750000e-01,2,3.750000e-01,2,67,848,1
E,3,1.250000e-01,2,3.750000e-01,2,23,883,3
E,3,3.750000e-01,2,3.750000e-01,2,67,914,2
E,3,3.750000e-01,2,3.750000e-01,2,67,990,2
E,3,3.750000e-01,2,3.750000e-01,2,67,1110,2
E,3,3.750000e-01,2,3.750000e-01,2,67,1114,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1119,3
E,3,3.750000e-01,2,3.750000e-01,2,67,1263,1
E,3,3.750000e-01,2,3.750000e-01,2,67,1338,2
E,3,3.750000e-01,2,3.750000e-01,2,67,1350,2
E,3,1.250000e-01,2,3.750000e-01,2,23,1419,3
E,3,3.750000e-01,2,3.750000e-01,2,67,1422,2
E,3,1.250000e-01,2,3.750000e-01,2,23,1470,3
E,3,3.750000e-01,2,3.750000e-01,2,67,1471,2
E,3,3.750000e-01,2,3.750000e-01,2,67,1477,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1604,3
E,3,1.250000e-01,2,3.750000e-01,2,23,1629,3
E,3,3.750000e-01,2,3.750000e-01,2,67,1666,2
E,3,3.750000e-01,2,3.750000e-01,2,67,1747,1
E,3,3.750000e-01,2,3.750000e-01,2,67,1759,2
E,3,1.250000e-01,2,3.750000e-01,2,23,1777,3
E,3,1.250000e-01,2,3.750000e-01,2,23,1806,3
E,3,3.750000e-01,2,3.750000e-01,2,67,1854,2
E,3,3.750000e-01,2,3.750000e-01,2,67,1856,1
E,3,3.750000e-01,2,3.750000e-01,2,67,1859,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1940,0
E,3,3.750000e-01,2,3.750000e-01,2,67,1941,2
E,3,3.750000e-01,2,3.750000e-01,2,67,1976,1
E,3,3.750000e-01,2,3.750000e-01,2,67,1980,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2003,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2017,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2023,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2092,3
E,3,3.750000e-01,2,3.750000e-01,2,67,2098,1
E,3,3.750000e-01,2,3.750000e-01,2,67,2152,1
E,3,3.750000e-01,2,3.750000e-01,2,67,2155,1
E,3,1.250000e-01,2,3.750000e-01,2,23,2234,0
E,3,3.750000e-01,2,3.750000e-01,2,67,2266,1
E,3,3.750000e-01,2,3.750000e-01,2,67,2305,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2360,1
E,3,3.750000e-01,2,3.750000e-01,2,67,2361,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2378,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2397,3
E,3,3.750000e-01,2,3.750000e-01,2,67,2426,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2429,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2434,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2435,3
E,3,3.750000e-01,2,3.750000e-01,2,67,2446,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2448,1
E,3,1.250000e-01,2,3.750000e-01,2,23,2490,0
E,3,3.750000e-01,2,3.750000e-01,2,67,2492,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2533,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2566,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2576,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2579,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2623,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2636,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2639,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2692,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2709,3
E,3,3.750000e-01,2,3.750000e-01,2,67,2741,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2767,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2815,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2821,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2851,1
E,3,3.750000e-01,2,3.750000e-01,2,67,2857,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2940,2
E,3,3.750000e-01,2,3.750000e-01,2,67,2953,1
E,3,3.750000e-01,2,3.750000e-01,2,67,2954,2
E,4,2.500000e-01,2,3.750000e-01,1,28,14,3
E,4,3.750000e-01,1,3.750000e-01,1,23,45,2
E,4,3.750000e-01,1,3.750000e-01,1,23,162,2
E,4,3.750000e-01,1,3.750000e-01,1,23,192,2
E,4,3.750000e-01,1,3.750000e-01,1,23,405,2
E,4,2.500000e-01,2,3.750000e-01,1,28,412,3
E,4,2.500000e-01,2,3.750000e-01,1,28,507,3
E,4,2.500000e-01,2,3.750000e-01,1,28,534,3
E,4,3.750000e-01,1,3.750000e-01,1,23,545,2
E,4,6.250000e-02,2,3.750000e-01,1,21,564,4
E,4,2.500000e-01,2,3.750000e-01,1,28,641,1
