aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,54,110,0
E,1,5.000000e-01,2,5.000000e-01,2,54,121,0
E,1,5.000000e-01,2,5.000000e-01,2,54,125,0
E,1,5.000000e-01,2,5.000000e-01,2,54,139,0
E,1,5.000000e-01,2,5.000000e-01,2,54,141,0
E,1,5.000000e-01,2,5.000000e-01,2,54,149,0
E,1,5.000000e-01,2,5.000000e-01,2,54,167,0
E,1,5.000000e-01,2,5.000000e-01,2,54,169,0
E,1,5.000000e-01,2,5.000000e-01,2,54,185,0
E,1,5.000000e-01,2,5.000000e-01,2,54,238,0
E,1,5.000000e-01,2,5.000000e-01,2,54,254,0
E,1,5.000000e-01,2,5.000000e-01,2,54,294,0
E,1,5.000000e-01,2,5.000000e-01,2,54,382,0
E,1,5.000000e-01,2,5.000000e-01,2,54,437,0
E,1,5.000000e-01,2,5.000000e-01,2,54,441,0
E,1,5.000000e-01,2,5.000000e-01,2,54,444,0
E,1,5.000000e-01,2,5.000000e-01,2,54,448,0
E,1,5.000000e-01,2,5.000000e-01,2,54,456,0
E,1,5.000000e-01,2,5.000000e-01,2,54,459,0
E,1,5.000000e-01,2,5.000000e-01,2,54,487,0
E,1,5.000000e-01,2,5.000000e-01,2,54,489,0
E,1,5.000000e-01,2,5.000000e-01,2,54,518,0
E,1,5.000000e-01,2,5.000000e-01,2,54,536,0
E,1,5.000000e-01,2,5.000000e-01,2,54,549,0
E,1,5.000000e-01,2,5.000000e-01,2,54,615,0
E,1,5.000000e-01,2,5.000000e-01,2,54,702,0
E,1,5.000000e-01,2,5.000000e-01,2,54,710,0
E,1,5.000000e-01,2,5.000000e-01,2,54,721,0
E,1,5.000000e-01,2,5.000000e-01,2,54,734,0
E,1,5.000000e-01,2,5.000000e-01,2,54,751,0
E,1,5.000000e-01,2,5.000000e-01,2,54,773,0
E,1,5.000000e-01,2,5.000000e-01,2,54,875,0
E,1,5.000000e-01,2,5.000000e-01,2,54,886,0
E,1,5.000000e-01,2,5.000000e-01,2,54,899,0
E,1,5.000000e-01,2,5.000000e-01,2,54,912,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1008,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1058,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1070,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1090,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1196,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1208,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1256,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1312,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1411,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1496,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1541,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1558,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1568,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1736,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1775,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1786,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1796,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1797,0
E,1,5.000000e-01,2,5.000000e-01,2,54,1860,0
E,2,5.000000e-01,1,5.000000e-01,1,43,10,1
E,2,5.000000e-01,1,5.000000e-01,1,43,17,1
E,2,2.500000e-01,2,5.000000e-01,1,39,27,1
E,2,2.500000e-01,2,5.000000e-01,1,39,29,1
E,2,5.000000e-01,1,5.000000e-01,1,43,37,1
E,2,2.500000e-01,2,5.000000e-01,1,39,58,1
E,2,2.500000e-01,2,5.000000e-01,1,39,60,1
E,2,5.000000e-01,1,5.000000e-01,1,43,127,1
E,2,5.000000e-01,1,5.000000e-01,1,43,132,1
E,2,2.500000e-01,2,5.000000e-01,1,39,140,1
E,2,5.000000e-01,1,5.000000e-01,1,43,143,1
E,2,5.000000e-01,1,5.000000e-01,1,43,153,1
E,2,2.500000e-01,2,5.000000e-01,1,39,156,1
E,2,2.500000e-01,2,5.000000e-01,1,39,157,1
E,2,2.500000e-01,2,5.000000e-01,1,39,165,1
E,2,5.000000e-01,1,5.000000e-01,1,43,183,1
E,2,5.000000e-01,1,5.000000e-01,1,43,192,1
E,2,5.000000e-01,1,5.000000e-01,1,43,201,1
E,2,5.000000e-01,1,5.000000e-01,1,43,206,1
E,2,5.000000e-01,1,5.000000e-01,1,43,227,1
E,2,2.500000e-01,2,5.000000e-01,1,39,265,1
E,2,2.500000e-01,2,5.000000e-01,1,39,318,1
E,2,5.000000e-01,1,5.000000e-01,1,43,358,1
E,2,5.000000e-01,1,5.000000e-01,1,43,438,1
E,2,5.000000e-01,1,5.000000e-01,1,43,442,1
E,2,5.000000e-01,1,5.000000e-01,1,43,454,1
E,2,2.500000e-01,2,5.000000e-01,1,39,460,1
E,2,2.500000e-01,2,5.000000e-01,1,39,463,1
E,2,2.500000e-01,2,5.000000e-01,1,39,473,1
E,2,2.500000e-01,2,5.000000e-01,1,39,480,1
E,2,5.000000e-01,1,5.000000e-01,1,43,481,1
E,2,2.500000e-01,2,5.000000e-01,1,39,484,1
E,2,2.500000e-01,2,5.000000e-01,1,39,498,1
E,2,2.500000e-01,2,5.000000e-01,1,39,501,1
E,2,5.000000e-01,1,5.000000e-01,1,43,510,1
E,2,5.000000e-01,1,5.000000e-01,1,43,515,1
E,2,2.500000e-01,2,5.000000e-01,1,39,656,1
E,2,2.500000e-01,2,5.000000e-01,1,39,752,1
E,2,2.500000e-01,2,5.000000e-01,1,39,757,1
E,2,5.000000e-01,1,5.000000e-01,1,43,867,1
E,2,2.500000e-01,2,5.000000e-01,1,39,885,1
E,2,2.500000e-01,2,5.000000e-01,1,39,917,1
E,2,2.500000e-01,2,5.000000e-01,1,39,934,1
E,2,2.500000e-01,2,5.000000e-01,1,39,957,1
E,2,5.000000e-01,1,5.000000e-01,1,43,998,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1087,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1114,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1115,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1123,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1167,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1174,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1202,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1382,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1396,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1470,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1495,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1513,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1549,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1551,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1556,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1566,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1570,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1572,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1588,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1606,1
E,2,5.000000e-01,1,5.000000e-01,1,43,1633,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1664,1
