aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,20,23,1
E,1,5.000000e-01,2,5.000000e-01,2,20,52,0
E,1,5.000000e-01,2,5.000000e-01,2,20,178,1
E,1,5.000000e-01,2,5.000000e-01,2,20,268,1
E,1,5.000000e-01,2,5.000000e-01,2,20,330,1
E,1,5.000000e-01,2,5.000000e-01,2,20,423,0
E,1,5.000000e-01,2,5.000000e-01,2,20,445,1
E,1,5.000000e-01,2,5.000000e-01,2,20,544,1
E,1,5.000000e-01,2,5.000000e-01,2,20,566,1
E,1,5.000000e-01,2,5.000000e-01,2,20,574,1
E,1,5.000000e-01,2,5.000000e-01,2,20,619,1
E,1,5.000000e-01,2,5.000000e-01,2,20,637,1
E,1,5.000000e-01,2,5.000000e-01,2,20,887,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1291,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1339,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1431,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1651,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2182,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2222,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2277,1
E,2,2.500000e-01,2,5.000000e-01,1,23,72,2
E,2,2.500000e-01,2,5.000000e-01,1,23,153,2
E,2,2.500000e-01,2,5.000000e-01,1,23,165,2
E,2,2.500000e-01,2,5.000000e-01,1,23,213,2
E,2,2.500000e-01,2,5.000000e-01,1,23,280,2
E,2,5.000000e-01,1,5.000000e-01,1,6,312,1
E,2,2.500000e-01,2,5.000000e-01,1,23,531,2
E,2,2.500000e-01,2,5.000000e-01,1,23,533,2
E,2,2.500000e-01,2,5.000000e-01,1,23,612,2
E,2,2.500000e-01,2,5.000000e-01,1,23,632,2
E,2,2.500000e-01,2,5.000000e-01,1,23,679,2
E,2,5.000000e-01,1,5.000000e-01,1,6,786,1
E,2,2.500000e-01,2,5.000000e-01,1,23,1029,2
E,2,2.500000e-01,2,5.000000e-01,1,23,1065,2
E,2,2.500000e-01,2,5.000000e-01,1,23,1159,2
E,2,5.000000e-01,1,5.000000e-01,1,6,1304,1
E,2,2.500000e-01,2,5.000000e-01,1,23,1350,0
E,2,5.000000e-01,1,5.000000e-01,1,6,1375,1
E,2,5.000000e-01,1,5.000000e-01,1,6,1427,1
E,2,2.500000e-01,2,5.000000e-01,1,23,1435,2
E,2,2.500000e-01,2,5.000000e-01,1,23,1612,2
E,2,2.500000e-01,2,5.000000e-01,1,23,1669,2
E,2,2.500000e-01,2,5.000000e-01,1,23,1859,2
E,2,5.000000e-01,1,5.000000e-01,1,6,1897,1
