aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.233960e-01,1,5.766040e-01,1,65,53,0
E,1,5.766040e-01,1,5.766040e-01,1,76,82,0
E,1,5.766040e-01,1,5.766040e-01,1,76,105,0
E,1,5.766040e-01,1,5.766040e-01,1,76,156,0
E,1,5.766040e-01,1,5.766040e-01,1,76,172,0
E,1,5.766040e-01,1,5.766040e-01,1,76,213,0
E,1,5.766040e-01,1,5.766040e-01,1,76,223,0
E,1,5.766040e-01,1,5.766040e-01,1,76,315,0
E,1,5.766040e-01,1,5.766040e-01,1,76,320,0
E,1,5.766040e-01,1,5.766040e-01,1,76,382,0
E,1,5.766040e-01,1,5.766040e-01,1,76,418,0
E,1,5.766040e-01,1,5.766040e-01,1,76,431,0
E,1,4.233960e-01,1,5.766040e-01,1,65,460,0
E,1,5.766040e-01,1,5.766040e-01,1,76,509,0
E,1,4.233960e-01,1,5.766040e-01,1,65,514,0
E,1,5.766040e-01,1,5.766040e-01,1,76,576,0
E,1,5.766040e-01,1,5.766040e-01,1,76,610,0
E,1,4.233960e-01,1,5.766040e-01,1,65,628,0
E,1,4.233960e-01,1,5.766040e-01,1,65,701,0
E,1,5.766040e-01,1,5.766040e-01,1,76,783,0
E,1,4.233960e-01,1,5.766040e-01,1,65,794,0
E,1,5.766040e-01,1,5.766040e-01,1,76,821,0
E,1,5.766040e-01,1,5.766040e-01,1,76,822,0
E,1,5.766040e-01,1,5.766040e-01,1,76,835,0
E,1,4.233960e-01,1,5.766040e-01,1,65,893,0
E,1,5.766040e-01,1,5.766040e-01,1,76,894,0
E,1,4.233960e-01,1,5.766040e-01,1,65,912,0
E,1,4.233960e-01,1,5.766040e-01,1,65,935,0
E,1,5.766040e-01,1,5.766040e-01,1,76,949,0
E,1,5.766040e-01,1,5.766040e-01,1,76,962,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1002,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1019,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1049,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1070,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1082,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1115,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1140,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1247,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1273,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1274,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1334,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1343,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1345,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1346,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1400,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1425,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1428,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1436,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1437,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1455,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1489,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1546,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1553,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1578,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1581,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1596,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1597,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1619,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1636,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1642,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1687,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1719,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1760,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1795,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1825,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1868,0
E,1,5.766040e-01,1,5.766040e-01,1,76,1910,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1965,0
E,1,4.233960e-01,1,5.766040e-01,1,65,1995,0
E,1,5.766040e-01,1,5.766040e-01,1,76,2010,0
E,1,4.233960e-01,1,5.766040e-01,1,65,2013,0
E,1,4.233960e-01,1,5.766040e-01,1,65,2073,0
E,1,4.233960e-01,1,5.766040e-01,1,65,2112,0
E,1,4.233960e-01,1,5.766040e-01,1,65,2120,0
E,1,4.233960e-01,1,5.766040e-01,1,65,2129,0
