aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,82,76,0
E,1,5.000000e-01,2,5.000000e-01,2,82,195,0
E,1,5.000000e-01,2,5.000000e-01,2,82,197,0
E,1,5.000000e-01,2,5.000000e-01,2,82,210,0
E,1,5.000000e-01,2,5.000000e-01,2,82,282,0
E,1,5.000000e-01,2,5.000000e-01,2,82,285,0
E,1,5.000000e-01,2,5.000000e-01,2,82,314,0
E,1,5.000000e-01,2,5.000000e-01,2,82,403,0
E,1,5.000000e-01,2,5.000000e-01,2,82,484,0
E,1,5.000000e-01,2,5.000000e-01,2,82,523,0
E,1,5.000000e-01,2,5.000000e-01,2,82,530,0
E,1,5.000000e-01,2,5.000000e-01,2,82,582,0
E,1,5.000000e-01,2,5.000000e-01,2,82,593,0
E,1,5.000000e-01,2,5.000000e-01,2,82,660,0
E,1,5.000000e-01,2,5.000000e-01,2,82,668,0
E,1,5.000000e-01,2,5.000000e-01,2,82,683,1
E,1,5.000000e-01,2,5.000000e-01,2,82,688,0
E,1,5.000000e-01,2,5.000000e-01,2,82,698,0
E,1,5.000000e-01,2,5.000000e-01,2,82,762,0
E,1,5.000000e-01,2,5.000000e-01,2,82,791,0
E,1,5.000000e-01,2,5.000000e-01,2,82,825,1
E,1,5.000000e-01,2,5.000000e-01,2,82,860,0
E,1,5.000000e-01,2,5.000000e-01,2,82,867,1
E,1,5.000000e-01,2,5.000000e-01,2,82,926,1
E,1,5.000000e-01,2,5.000000e-01,2,82,960,0
E,1,5.000000e-01,2,5.000000e-01,2,82,976,0
E,1,5.000000e-01,2,5.000000e-01,2,82,990,0
E,1,5.000000e-01,2,5.000000e-01,2,82,999,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1052,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1097,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1098,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1109,1
E,1,5.000000e-01,2,5.000000e-01,2,82,1116,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1128,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1129,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1135,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1144,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1148,1
E,1,5.000000e-01,2,5.000000e-01,2,82,1155,1
E,1,5.000000e-01,2,5.000000e-01,2,82,1159,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1181,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1218,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1277,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1295,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1296,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1307,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1311,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1314,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1329,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1357,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1363,1
E,1,5.000000e-01,2,5.000000e-01,2,82,1364,0
E,1,5.000000e-01,2,5.000000e-01,2,82,1383,0
