species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00257,0.246186,0.821083,11
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5617,0.222336,0.831775,13
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0264,0.179176,0.692965,10
saccharomyces_arboricola_h_6,SU7_0196,0.118570,0.599172,16
saccharomyces_eubayanus,DI49_1135,0.399458,0.991023,13
torulaspora_delbrueckii,TDEL_0C04950,0.208312,0.806931,13
zygosaccharomyces_rouxii,ZYRO0C16192g,0.259460,0.865049,12
zygosaccharomyces_bailii_isa1307,ZBAI_05540,0.138025,0.775314,22
zygosaccharomyces_bailii_isa1307,ZBAI_00388,0.220920,0.903612,18
_candida_glabrata,CAGL0K12254g,0.421862,0.996603,15
kazachstania_naganishii_cbs_8797,KNAG_0B01550,0.475578,0.999996,19
kazachstania_africana_cbs_2517,KAFR_0D02740,0.354987,0.909494,7
kluyveromyces_marxianus_dmku3_1042,KLMA_80284,0.564749,0.999996,16
lachancea_thermotolerans_cbs_6340,KLTH0E15334g,0.810774,0.999966,13
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL330W,0.718273,0.999724,11
lachancea_lanzarotensis,LALA0_S01e02036g,0.118570,0.599172,16
eremothecium_cymbalariae_dbvpg_7215,Ecym_3474,0.292453,0.958146,14
eremothecium_sinecaudum,AW171_hschr2274,0.061302,0.305488,16
ashbya_gossypii,AGOS_ADL330W,0.628694,0.999754,12
kluyveromyces_lactis,KLLA0_B09592g,0.381936,0.990388,14
tetrapisispora_blattae_cbs_6284,TBLA_0A06590,0.622835,0.999724,11
tetrapisispora_phaffii_cbs_4417,TPHA_0A03620,0.427423,0.998424,16
vanderwaltozyma_polyspora_dsm_70294,Kpol_1065p23,0.794513,0.995598,4
naumovozyma_dairenensis_cbs_421,NDAI_0A07860,0.198042,0.549233,7
naumovozyma_castellii_cbs_4309,NCAS_0I01140,0.346060,0.969938,11
hanseniaspora_osmophila,AWRI3579_g2172,1.118859,0.999522,7
serendipita_indica_dsm_11827,PIIN_11750,0.040547,0.206367,10
allomyces_macrogynus_atcc_38327,AMAG_08327,0.384478,0.999992,74
allomyces_macrogynus_atcc_38327,AMAG_07432,0.421102,0.999992,74
melampsora_laricipopulina,MELLADRAFT_103884,1.039868,0.999996,16
