aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.502836e-01,1,8.502836e-01,1,16,206,0
E,1,8.502836e-01,1,8.502836e-01,1,16,372,0
E,1,8.502836e-01,1,8.502836e-01,1,16,449,0
E,1,8.502836e-01,1,8.502836e-01,1,16,536,0
E,1,8.502836e-01,1,8.502836e-01,1,16,621,0
E,1,1.497164e-01,1,8.502836e-01,1,1,940,1
E,1,8.502836e-01,1,8.502836e-01,1,16,1060,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1204,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1294,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1295,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1305,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1513,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1679,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1756,0
E,1,8.502836e-01,1,8.502836e-01,1,16,1930,0
E,1,8.502836e-01,1,8.502836e-01,1,16,2089,0
E,1,8.502836e-01,1,8.502836e-01,1,16,2218,0
E,2,7.229821e-01,1,7.229821e-01,1,21,104,0
E,2,7.229821e-01,1,7.229821e-01,1,21,133,0
E,2,2.546029e-01,1,7.229821e-01,1,5,182,1
E,2,7.229821e-01,1,7.229821e-01,1,21,204,0
E,2,7.229821e-01,1,7.229821e-01,1,21,257,0
E,2,2.546029e-01,1,7.229821e-01,1,5,342,1
E,2,7.229821e-01,1,7.229821e-01,1,21,397,0
E,2,2.546029e-01,1,7.229821e-01,1,5,418,1
E,2,7.229821e-01,1,7.229821e-01,1,21,533,0
E,2,2.546029e-01,1,7.229821e-01,1,5,747,1
E,2,7.229821e-01,1,7.229821e-01,1,21,778,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1054,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1149,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1156,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1210,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1232,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1259,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1280,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1296,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1357,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1389,0
E,2,2.546029e-01,1,7.229821e-01,1,5,1627,1
E,2,7.229821e-01,1,7.229821e-01,1,21,1641,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1648,0
E,2,7.229821e-01,1,7.229821e-01,1,21,1691,0
