species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00392,0.005853,0.519638,18
saccharomyces_kudriavzevii_ifo_1802,SKUD_185105,-0.000000,0.418945,13
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5490,-0.000000,0.418945,13
saccharomyces_eubayanus,DI49_0138,0.122254,0.979409,16
vanderwaltozyma_polyspora_dsm_70294,Kpol_1028p93,-0.000000,0.418945,13
tetrapisispora_blattae_cbs_6284,TBLA_0F02670,0.031902,0.833276,19
tetrapisispora_phaffii_cbs_4417,TPHA_0E00430,0.013126,0.667826,17
zygosaccharomyces_rouxii,ZYRO0G17820g,0.008682,0.617173,21
kazachstania_naganishii_cbs_8797,KNAG_0F03580,0.182054,0.998345,20
kazachstania_africana_cbs_2517,KAFR_0B00660,0.005853,0.519638,18
zygosaccharomyces_bailii_isa1307,ZBAI_08290,0.139196,0.961212,9
zygosaccharomyces_bailii_isa1307,ZBAI_03283,0.293229,0.996377,9
naumovozyma_castellii_cbs_4309,NCAS_0A14870,0.005853,0.519638,18
naumovozyma_dairenensis_cbs_421,NDAI_0J00610,0.320075,0.999515,18
torulaspora_delbrueckii,TDEL_0C03430,0.153646,0.993281,18
_candida_glabrata,CAGL0F04455g,0.015881,0.714517,22
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL323C,0.103373,0.965210,15
eremothecium_sinecaudum,AW171_hschr42321,-0.000000,0.370941,17
eremothecium_cymbalariae_dbvpg_7215,Ecym_7170,0.052841,0.922603,21
ashbya_gossypii,AGOS_AGL323C,0.050809,0.881805,15
lachancea_thermotolerans_cbs_6340,KLTH0E01848g,0.010562,0.641054,19
lachancea_lanzarotensis,LALA0_S02e10726g,0.404097,0.999402,15
kluyveromyces_lactis,KLLA0_E05611g,0.010562,0.641054,19
kluyveromyces_marxianus_dmku3_1042,KLMA_70091,-0.000000,0.352394,19
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_116850,-0.000000,0.309962,25
hanseniaspora_opuntiae,AWRI3578_g3028,0.029654,0.790440,16
hanseniaspora_osmophila,AWRI3579_g4203,-0.000000,0.168188,22
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_131422,-0.000000,0.352394,19
yarrowia_lipolytica,YALI0_D06545g,0.050809,0.881805,15
meyerozyma_guilliermondii_atcc_6260,PGUG_04585,-0.000000,0.352394,19
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_4637,0.138629,0.937546,5
candida_orthopsilosis_co_90_125,CORT_0E03300,0.023545,0.762634,18
debaryomyces_hansenii_cbs767,DEHA2G17974g,0.031902,0.833276,19
debaryomyces_fabryi,AC631_00665,0.067344,0.907934,13
cyberlindnera_jadinii,BN1211_3877,0.109078,0.981362,19
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_92071,0.010562,0.641054,19
