species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5117,-0.000000,0.625000,5
saccharomyces_sp_boulardii_,KO01_05225,-0.000000,0.625000,5
saccharomyces_arboricola_h_6,SU7_3682,0.447940,0.875133,4
saccharomyces_eubayanus,DI49_5552,0.138629,0.937546,5
naumovozyma_castellii_cbs_4309,NCAS_0A11490,0.101366,0.875133,4
kazachstania_naganishii_cbs_8797,KNAG_0A07580,-0.000000,0.375000,4
kazachstania_africana_cbs_2517,KAFR_0D04270,-0.000000,0.500000,2
naumovozyma_dairenensis_cbs_421,NDAI_0A04790,0.447940,0.875133,4
ashbya_gossypii,AGOS_ADR027W,0.229920,0.984563,7
lachancea_lanzarotensis,LALA0_S01e10330g,-0.000000,0.750000,3
tetrapisispora_blattae_cbs_6284,TBLA_0C02350,0.460517,0.937546,5
lachancea_thermotolerans_cbs_6340,KLTH0F12232g,0.366204,0.750000,3
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR027W,0.072975,0.875173,7
eremothecium_sinecaudum,AW171_hschr42680,0.047947,0.781382,6
zygosaccharomyces_bailii_isa1307,ZBAI_05610,0.460517,0.937546,5
vanderwaltozyma_polyspora_dsm_70294,Kpol_284p2,0.447940,0.875133,4
kluyveromyces_lactis,KLLA0_D14663g,-0.000000,0.500000,2
zygosaccharomyces_rouxii,ZYRO0C17798g,-0.000000,0.546875,7
tetrapisispora_phaffii_cbs_4417,TPHA_0J01170,-0.000000,0.750000,3
zygosaccharomyces_bailii_isa1307,ZBAI_00456,0.460517,0.937546,5
torulaspora_delbrueckii,TDEL_0C05590,0.138629,0.937546,5
kluyveromyces_marxianus_dmku3_1042,KLMA_50418,-0.000000,0.500000,2
_candida_glabrata,CAGL0G01672g,-0.000000,1.000000,1
hanseniaspora_opuntiae,AWRI3578_g1483,-0.000000,0.750000,3
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_52101,0.447940,0.875133,4
hanseniaspora_osmophila,AWRI3579_g4534,0.101366,0.875133,4
candida_albicans_wo_1,CAWG_02169,-0.000000,0.546875,7
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_31349,0.346574,0.500000,2
candida_orthopsilosis_co_90_125,CORT_0D01280,0.499289,0.968952,6
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0M11518g,0.507907,0.984563,7
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0N11827g,0.229920,0.984563,7
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_156711,0.460517,0.937546,5
candida_tropicalis_mya_3404,CTRG_05959,0.072975,0.875173,7
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_52959,-0.000000,0.546875,7
candida_maltosa_xu316,G210_4431,-0.000000,0.546875,7
debaryomyces_hansenii_cbs767,DEHA2B06446g,0.045052,0.820465,9
meyerozyma_guilliermondii_atcc_6260,PGUG_00775,0.271132,0.992592,8
debaryomyces_fabryi,AC631_05078,-0.000000,0.492187,9
clavispora_lusitaniae_atcc_42720,CLUG_00093,0.047947,0.781382,6
candida_parapsilosis_cdc317,CPAR2_201230,-0.000000,0.312500,6
candida_dubliniensis_cd36,CD36_34400,-0.000000,0.625000,5
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_48938,0.138629,0.937546,5
