aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,25,62,0
E,1,5.000000e-01,2,5.000000e-01,2,25,71,0
E,1,5.000000e-01,2,5.000000e-01,2,25,160,0
E,1,5.000000e-01,2,5.000000e-01,2,25,222,0
E,1,5.000000e-01,2,5.000000e-01,2,25,284,0
E,1,5.000000e-01,2,5.000000e-01,2,25,308,0
E,1,5.000000e-01,2,5.000000e-01,2,25,328,0
E,1,5.000000e-01,2,5.000000e-01,2,25,443,0
E,1,5.000000e-01,2,5.000000e-01,2,25,498,0
E,1,5.000000e-01,2,5.000000e-01,2,25,605,0
E,1,5.000000e-01,2,5.000000e-01,2,25,642,0
E,1,5.000000e-01,2,5.000000e-01,2,25,746,0
E,1,5.000000e-01,2,5.000000e-01,2,25,786,0
E,1,5.000000e-01,2,5.000000e-01,2,25,793,0
E,1,5.000000e-01,2,5.000000e-01,2,25,818,0
E,1,5.000000e-01,2,5.000000e-01,2,25,852,0
E,1,5.000000e-01,2,5.000000e-01,2,25,862,0
E,1,5.000000e-01,2,5.000000e-01,2,25,874,0
E,1,5.000000e-01,2,5.000000e-01,2,25,885,0
E,1,5.000000e-01,2,5.000000e-01,2,25,892,0
E,1,5.000000e-01,2,5.000000e-01,2,25,909,0
E,1,5.000000e-01,2,5.000000e-01,2,25,960,0
E,1,5.000000e-01,2,5.000000e-01,2,25,1160,0
E,1,5.000000e-01,2,5.000000e-01,2,25,1225,0
E,1,5.000000e-01,2,5.000000e-01,2,25,1537,0
E,2,5.000000e-01,1,5.000000e-01,1,12,11,1
E,2,5.000000e-01,1,5.000000e-01,1,12,16,1
E,2,2.500000e-01,2,5.000000e-01,1,11,124,1
E,2,5.000000e-01,1,5.000000e-01,1,12,229,1
E,2,5.000000e-01,1,5.000000e-01,1,12,238,1
E,2,2.500000e-01,2,5.000000e-01,1,11,247,1
E,2,2.500000e-01,2,5.000000e-01,1,11,273,1
E,2,5.000000e-01,1,5.000000e-01,1,12,292,1
E,2,2.500000e-01,2,5.000000e-01,1,11,358,1
E,2,2.500000e-01,2,5.000000e-01,1,11,385,1
E,2,5.000000e-01,1,5.000000e-01,1,12,389,1
E,2,5.000000e-01,1,5.000000e-01,1,12,430,1
E,2,5.000000e-01,1,5.000000e-01,1,12,457,1
E,2,2.500000e-01,2,5.000000e-01,1,11,459,1
E,2,2.500000e-01,2,5.000000e-01,1,11,547,1
E,2,2.500000e-01,2,5.000000e-01,1,11,561,1
E,2,2.500000e-01,2,5.000000e-01,1,11,709,1
E,2,5.000000e-01,1,5.000000e-01,1,12,948,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1028,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1337,1
E,2,2.500000e-01,2,5.000000e-01,1,11,1414,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1449,1
E,2,2.500000e-01,2,5.000000e-01,1,11,1466,1
E,3,3.750000e-01,2,3.750000e-01,2,26,78,2
E,3,3.750000e-01,2,3.750000e-01,2,26,94,2
E,3,3.750000e-01,2,3.750000e-01,2,26,112,2
E,3,1.250000e-01,2,3.750000e-01,2,8,162,2
E,3,3.750000e-01,2,3.750000e-01,2,26,185,2
E,3,3.750000e-01,2,3.750000e-01,2,26,290,2
E,3,3.750000e-01,2,3.750000e-01,2,26,315,2
E,3,1.250000e-01,2,3.750000e-01,2,8,342,2
E,3,3.750000e-01,2,3.750000e-01,2,26,504,2
E,3,3.750000e-01,2,3.750000e-01,2,26,529,2
E,3,1.250000e-01,2,3.750000e-01,2,8,583,2
E,3,1.250000e-01,2,3.750000e-01,2,8,632,2
E,3,3.750000e-01,2,3.750000e-01,2,26,634,2
E,3,3.750000e-01,2,3.750000e-01,2,26,697,2
E,3,3.750000e-01,2,3.750000e-01,2,26,704,2
E,3,3.750000e-01,2,3.750000e-01,2,26,706,2
E,3,3.750000e-01,2,3.750000e-01,2,26,851,2
E,3,3.750000e-01,2,3.750000e-01,2,26,881,2
E,3,3.750000e-01,2,3.750000e-01,2,26,890,2
E,3,3.750000e-01,2,3.750000e-01,2,26,916,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1000,2
E,3,1.250000e-01,2,3.750000e-01,2,8,1012,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1066,2
E,3,1.250000e-01,2,3.750000e-01,2,8,1068,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1139,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1157,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1183,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1251,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1289,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1366,2
E,3,1.250000e-01,2,3.750000e-01,2,8,1412,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1421,2
E,3,1.250000e-01,2,3.750000e-01,2,8,1499,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1505,2
E,4,3.750000e-01,1,3.750000e-01,1,10,115,2
E,4,2.500000e-01,2,3.750000e-01,1,10,130,2
E,4,3.750000e-01,1,3.750000e-01,1,10,170,2
E,4,2.500000e-01,2,3.750000e-01,1,10,189,2
E,4,3.750000e-01,1,3.750000e-01,1,10,246,2
E,4,3.750000e-01,1,3.750000e-01,1,10,357,2
E,4,2.500000e-01,2,3.750000e-01,1,10,361,2
E,4,3.750000e-01,1,3.750000e-01,1,10,417,2
E,4,3.750000e-01,1,3.750000e-01,1,10,422,2
E,4,6.250000e-02,2,3.750000e-01,1,4,508,2
E,4,2.500000e-01,2,3.750000e-01,1,10,540,2
E,4,3.750000e-01,1,3.750000e-01,1,10,794,2
E,4,6.250000e-02,2,3.750000e-01,1,4,827,2
E,4,2.500000e-01,2,3.750000e-01,1,10,897,2
E,4,2.500000e-01,2,3.750000e-01,1,10,946,2
E,4,2.500000e-01,2,3.750000e-01,1,10,974,2
E,4,2.500000e-01,2,3.750000e-01,1,10,1089,2
E,4,3.750000e-01,1,3.750000e-01,1,10,1137,2
E,4,3.750000e-01,1,3.750000e-01,1,10,1200,2
E,4,2.500000e-01,2,3.750000e-01,1,10,1236,2
E,4,2.500000e-01,2,3.750000e-01,1,10,1256,2
E,4,6.250000e-02,2,3.750000e-01,1,4,1355,2
E,4,6.250000e-02,2,3.750000e-01,1,4,1372,2
E,4,3.750000e-01,1,3.750000e-01,1,10,1416,2
E,5,3.125000e-01,2,3.125000e-01,2,27,15,2
E,5,3.125000e-01,2,3.125000e-01,2,27,41,2
E,5,1.562500e-01,2,3.125000e-01,2,18,54,2
