aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,60,156,1
E,1,5.000000e-01,2,5.000000e-01,2,60,168,1
E,1,5.000000e-01,2,5.000000e-01,2,60,441,1
E,1,5.000000e-01,2,5.000000e-01,2,60,525,1
E,1,5.000000e-01,2,5.000000e-01,2,60,539,1
E,1,5.000000e-01,2,5.000000e-01,2,60,546,1
E,1,5.000000e-01,2,5.000000e-01,2,60,606,1
E,1,5.000000e-01,2,5.000000e-01,2,60,609,1
E,1,5.000000e-01,2,5.000000e-01,2,60,643,1
E,1,5.000000e-01,2,5.000000e-01,2,60,683,1
E,1,5.000000e-01,2,5.000000e-01,2,60,816,1
E,1,5.000000e-01,2,5.000000e-01,2,60,947,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1012,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1135,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1219,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1275,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1343,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1358,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1400,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1461,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1509,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1568,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1575,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1600,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1610,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1613,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1761,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1799,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1821,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1872,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1879,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1895,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1907,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1997,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2028,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2047,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2141,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2178,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2183,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2208,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2288,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2343,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2351,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2506,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2541,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2545,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2867,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2957,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2969,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3070,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3071,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3235,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3276,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3277,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3330,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3399,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3421,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3485,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3700,1
E,1,5.000000e-01,2,5.000000e-01,2,60,3739,1
E,2,5.000000e-01,1,5.000000e-01,1,40,48,1
E,2,5.000000e-01,1,5.000000e-01,1,40,71,1
E,2,5.000000e-01,1,5.000000e-01,1,40,200,1
E,2,5.000000e-01,1,5.000000e-01,1,40,251,1
E,2,2.500000e-01,2,5.000000e-01,1,38,267,1
E,2,5.000000e-01,1,5.000000e-01,1,40,382,1
E,2,5.000000e-01,1,5.000000e-01,1,40,463,1
E,2,2.500000e-01,2,5.000000e-01,1,38,506,1
E,2,5.000000e-01,1,5.000000e-01,1,40,536,1
E,2,5.000000e-01,1,5.000000e-01,1,40,589,1
E,2,5.000000e-01,1,5.000000e-01,1,40,633,1
