aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,133,95,0
E,1,5.000000e-01,2,5.000000e-01,2,133,132,0
E,1,5.000000e-01,2,5.000000e-01,2,133,198,0
E,1,5.000000e-01,2,5.000000e-01,2,133,209,0
E,1,5.000000e-01,2,5.000000e-01,2,133,227,0
E,1,5.000000e-01,2,5.000000e-01,2,133,299,0
E,1,5.000000e-01,2,5.000000e-01,2,133,417,0
E,1,5.000000e-01,2,5.000000e-01,2,133,457,0
E,1,5.000000e-01,2,5.000000e-01,2,133,495,0
E,1,5.000000e-01,2,5.000000e-01,2,133,523,0
E,1,5.000000e-01,2,5.000000e-01,2,133,554,0
E,1,5.000000e-01,2,5.000000e-01,2,133,583,0
E,1,5.000000e-01,2,5.000000e-01,2,133,593,0
E,1,5.000000e-01,2,5.000000e-01,2,133,724,0
E,1,5.000000e-01,2,5.000000e-01,2,133,755,0
E,1,5.000000e-01,2,5.000000e-01,2,133,809,0
E,1,5.000000e-01,2,5.000000e-01,2,133,844,0
E,1,5.000000e-01,2,5.000000e-01,2,133,846,0
E,1,5.000000e-01,2,5.000000e-01,2,133,874,0
E,1,5.000000e-01,2,5.000000e-01,2,133,884,0
E,1,5.000000e-01,2,5.000000e-01,2,133,921,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1057,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1080,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1088,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1092,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1100,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1160,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1187,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1202,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1212,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1225,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1235,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1341,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1381,0
E,1,5.000000e-01,2,5.000000e-01,2,133,1432,0
