species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5185,0.055063,0.946205,66
saccharomyces_sp_boulardii_,KO01_05298,0.055063,0.946205,66
saccharomyces_arboricola_h_6,SU7_3730,0.078935,0.991902,68
saccharomyces_eubayanus,DI49_5633,0.042435,0.878815,66
kazachstania_naganishii_cbs_8797,KNAG_0F04010,0.060861,0.981192,77
kazachstania_africana_cbs_2517,KAFR_0B00250,0.030085,0.710920,59
naumovozyma_castellii_cbs_4309,NCAS_0A15300,0.167768,0.999989,67
naumovozyma_dairenensis_cbs_421,NDAI_0J00130,0.086789,0.996608,68
zygosaccharomyces_bailii_isa1307,ZBAI_02322,0.053536,0.962302,75
zygosaccharomyces_bailii_isa1307,ZBAI_08196,0.069186,0.993446,80
torulaspora_delbrueckii,TDEL_0H00250,0.100362,0.999970,82
zygosaccharomyces_rouxii,ZYRO0D00836g,0.027187,0.771381,77
tetrapisispora_phaffii_cbs_4417,TPHA_0G00240,0.116740,0.997597,53
tetrapisispora_blattae_cbs_6284,TBLA_0B04990,0.227150,0.999993,58
vanderwaltozyma_polyspora_dsm_70294,Kpol_1050p112,0.230259,0.919992,10
_candida_glabrata,CAGL0G10087g,0.074869,0.990998,71
kluyveromyces_lactis,KLLA0_B03520g,0.027778,0.798066,80
eremothecium_sinecaudum,AW171_hschr84503,0.107136,0.999970,82
ashbya_gossypii,AGOS_AEL281C,0.050570,0.953633,76
eremothecium_cymbalariae_dbvpg_7215,Ecym_2820,0.124617,0.999991,79
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAEL281C,0.034780,0.861515,76
lachancea_lanzarotensis,LALA0_S13e00188g,0.011087,0.463806,96
kluyveromyces_marxianus_dmku3_1042,KLMA_40477,0.111861,0.999984,74
lachancea_thermotolerans_cbs_6340,KLTH0A00638g,0.034850,0.902554,87
hanseniaspora_opuntiae,AWRI3578_g77,0.048224,0.891154,61
hanseniaspora_osmophila,AWRI3579_g3499,0.259603,0.999993,91
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_51543,0.463309,0.999966,54
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_27706,0.461164,0.999965,76
candida_dubliniensis_cd36,CD36_09250,0.066965,0.990678,79
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L12265g,0.038637,0.886689,75
ogataea_parapolymorpha_dl_1,HPODL_03960,0.207482,0.999970,82
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_60089,0.084749,0.997324,70
_candida_tenuis_atcc_10573,CANTEDRAFT_92479,0.049002,0.956071,79
komagataella_pastoris,PAS_chr2-2_0436,0.131926,0.999991,79
candida_parapsilosis_cdc317,CPAR2_804930,0.101054,0.999974,88
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_142101,0.099847,0.998309,63
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_114192,0.209742,0.999993,58
candida_maltosa_xu316,G210_5597,0.062227,0.983455,77
