aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,63,37,1
E,1,5.000000e-01,2,5.000000e-01,2,63,200,1
E,1,5.000000e-01,2,5.000000e-01,2,63,222,1
E,1,5.000000e-01,2,5.000000e-01,2,63,254,1
E,1,5.000000e-01,2,5.000000e-01,2,63,266,1
E,1,5.000000e-01,2,5.000000e-01,2,63,330,1
E,1,5.000000e-01,2,5.000000e-01,2,63,367,1
E,1,5.000000e-01,2,5.000000e-01,2,63,496,1
E,1,5.000000e-01,2,5.000000e-01,2,63,506,1
E,1,5.000000e-01,2,5.000000e-01,2,63,530,1
E,1,5.000000e-01,2,5.000000e-01,2,63,537,1
E,1,5.000000e-01,2,5.000000e-01,2,63,562,1
E,1,5.000000e-01,2,5.000000e-01,2,63,568,1
E,1,5.000000e-01,2,5.000000e-01,2,63,713,1
E,1,5.000000e-01,2,5.000000e-01,2,63,746,1
E,1,5.000000e-01,2,5.000000e-01,2,63,769,1
E,1,5.000000e-01,2,5.000000e-01,2,63,771,1
E,1,5.000000e-01,2,5.000000e-01,2,63,906,1
E,1,5.000000e-01,2,5.000000e-01,2,63,976,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1016,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1130,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1185,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1358,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1386,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1387,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1400,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1413,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1418,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1463,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1603,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1713,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1720,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1771,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1911,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1955,1
E,1,5.000000e-01,2,5.000000e-01,2,63,1956,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2025,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2031,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2037,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2063,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2136,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2226,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2272,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2296,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2394,1
E,1,5.000000e-01,2,5.000000e-01,2,63,2417,1
