species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_05175,0.297098,0.999993,33
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5063,0.297098,0.999993,33
saccharomyces_eubayanus,DI49_5498,0.271757,0.999993,33
naumovozyma_castellii_cbs_4309,NCAS_0A14780,0.278889,0.999985,41
naumovozyma_dairenensis_cbs_421,NDAI_0J00700,0.562191,0.999993,33
kazachstania_africana_cbs_2517,KAFR_0B00760,0.516477,0.999974,37
kazachstania_naganishii_cbs_8797,KNAG_0F03470,0.224712,0.990221,30
_candida_glabrata,CAGL0D03718g,0.272931,0.999983,32
vanderwaltozyma_polyspora_dsm_70294,Kpol_520p5,0.646761,0.999989,29
tetrapisispora_phaffii_cbs_4417,TPHA_0B01400,0.623566,0.999993,33
zygosaccharomyces_bailii_isa1307,ZBAI_03303,0.170676,0.949025,29
zygosaccharomyces_rouxii,ZYRO0G17380g,0.314581,0.999983,32
zygosaccharomyces_bailii_isa1307,ZBAI_08309,0.098971,0.733105,29
torulaspora_delbrueckii,TDEL_0C03230,0.169938,0.958792,31
tetrapisispora_blattae_cbs_6284,TBLA_0I00770,0.901488,0.999989,29
lachancea_thermotolerans_cbs_6340,KLTH0F07590g,0.057147,0.449662,31
lachancea_lanzarotensis,LALA0_S12e02014g,0.232111,0.996040,32
eremothecium_sinecaudum,AW171_hschr85067,0.140838,0.938164,34
eremothecium_cymbalariae_dbvpg_7215,Ecym_4671,0.517271,0.999973,34
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAER400C,0.451148,0.999981,35
ashbya_gossypii,AGOS_AER400C,0.326456,0.999850,36
kluyveromyces_lactis,KLLA0_E06095g,0.263765,0.999973,34
kluyveromyces_marxianus_dmku3_1042,KLMA_70113,0.487903,0.999973,34
hanseniaspora_opuntiae,AWRI3578_g1218,0.290935,0.999927,40
hanseniaspora_uvarum_dsm_2768,D499_0AF00360,0.682695,0.999954,46
hanseniaspora_osmophila,AWRI3579_g3070,0.577968,0.999973,34
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_51056,0.726855,0.999991,48
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_73009,0.310348,0.999850,36
brettanomyces_bruxellensis_awri1499,AWRI1499_1743,0.242841,0.983826,25
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_83701,1.068024,0.999993,33
candida_maltosa_xu316,G210_1588,0.906444,0.999973,34
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_109174,0.990354,0.999850,36
ogataea_parapolymorpha_dl_1,HPODL_05337,0.574942,0.999983,32
lodderomyces_elongisporus_nrrl_yb_4239,LELG_04155,0.850050,0.999981,35
meyerozyma_guilliermondii_atcc_6260,PGUG_03082,0.734575,0.999973,34
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0G04054g,0.438039,0.999980,43
candida_tropicalis_mya_3404,CTRG_06018,0.868503,0.999966,38
komagataella_pastoris,PAS_chr4_0771,0.103158,0.867466,38
debaryomyces_hansenii_cbs767,DEHA2G24420g,0.684170,0.999981,35
candida_parapsilosis_cdc317,CPAR2_100680,0.454810,0.999985,41
_candida_tenuis_atcc_10573,CANTEDRAFT_110622,0.924910,0.999974,39
kuraishia_capsulata_cbs_1993,KUCA_T00003528001,0.357810,0.999981,35
scheffersomyces_stipitis_cbs_6054,PICST_72556,0.630935,0.999983,32
wickerhamomyces_ciferrii,BN7_2146,1.180260,0.999993,33
cyberlindnera_jadinii,BN1211_5631,0.266572,0.999850,36
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0H04055g,0.438039,0.999980,43
pichia_kudriavzevii,JL09_g4487,0.224839,0.996875,35
candida_dubliniensis_cd36,CD36_52270,0.978643,0.999966,38
ogataea_polymorpha,OGAPODRAFT_81212,0.470258,0.999983,32
