aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.698137e-01,1,5.698137e-01,1,27,110,0
E,1,5.698137e-01,1,5.698137e-01,1,27,117,0
E,1,4.301863e-01,1,5.698137e-01,1,18,172,0
E,1,5.698137e-01,1,5.698137e-01,1,27,182,0
E,1,4.301863e-01,1,5.698137e-01,1,18,196,0
E,1,4.301863e-01,1,5.698137e-01,1,18,204,0
E,1,4.301863e-01,1,5.698137e-01,1,18,231,0
E,1,5.698137e-01,1,5.698137e-01,1,27,270,0
E,1,4.301863e-01,1,5.698137e-01,1,18,363,0
E,1,5.698137e-01,1,5.698137e-01,1,27,413,0
E,1,5.698137e-01,1,5.698137e-01,1,27,480,0
E,1,4.301863e-01,1,5.698137e-01,1,18,499,0
E,1,5.698137e-01,1,5.698137e-01,1,27,573,0
E,1,5.698137e-01,1,5.698137e-01,1,27,579,0
E,1,4.301863e-01,1,5.698137e-01,1,18,945,0
E,1,4.301863e-01,1,5.698137e-01,1,18,1011,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1015,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1026,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1027,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1031,0
E,1,4.301863e-01,1,5.698137e-01,1,18,1039,0
E,1,4.301863e-01,1,5.698137e-01,1,18,1232,0
E,1,4.301863e-01,1,5.698137e-01,1,18,1330,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1445,0
E,1,4.301863e-01,1,5.698137e-01,1,18,1568,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1575,0
E,1,4.301863e-01,1,5.698137e-01,1,18,1700,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1772,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1845,0
E,1,4.301863e-01,1,5.698137e-01,1,18,1931,0
E,1,5.698137e-01,1,5.698137e-01,1,27,1976,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2006,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2061,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2095,0
E,1,4.301863e-01,1,5.698137e-01,1,18,2100,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2114,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2149,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2212,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2244,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2267,0
E,1,4.301863e-01,1,5.698137e-01,1,18,2272,0
E,1,4.301863e-01,1,5.698137e-01,1,18,2277,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2418,0
E,1,5.698137e-01,1,5.698137e-01,1,27,2547,0
E,1,4.301863e-01,1,5.698137e-01,1,18,2586,0
E,2,3.246877e-01,1,4.902521e-01,1,12,29,0
E,2,3.246877e-01,1,4.902521e-01,1,12,35,0
E,2,1.850602e-01,1,4.902521e-01,1,6,41,0
E,2,4.902521e-01,1,4.902521e-01,1,31,63,0
E,2,1.850602e-01,1,4.902521e-01,1,6,129,0
E,2,4.902521e-01,1,4.902521e-01,1,31,175,0
E,2,3.246877e-01,1,4.902521e-01,1,12,178,0
E,2,1.850602e-01,1,4.902521e-01,1,6,205,0
E,2,4.902521e-01,1,4.902521e-01,1,31,209,0
E,2,4.902521e-01,1,4.902521e-01,1,31,238,0
E,2,4.902521e-01,1,4.902521e-01,1,31,269,0
E,2,4.902521e-01,1,4.902521e-01,1,31,441,0
E,2,3.246877e-01,1,4.902521e-01,1,12,607,0
E,2,4.902521e-01,1,4.902521e-01,1,31,610,0
E,2,3.246877e-01,1,4.902521e-01,1,12,632,0
E,2,4.902521e-01,1,4.902521e-01,1,31,721,0
E,2,4.902521e-01,1,4.902521e-01,1,31,731,0
E,2,4.902521e-01,1,4.902521e-01,1,31,772,0
E,2,3.246877e-01,1,4.902521e-01,1,12,793,0
E,2,4.902521e-01,1,4.902521e-01,1,31,854,0
E,2,4.902521e-01,1,4.902521e-01,1,31,948,0
E,2,1.850602e-01,1,4.902521e-01,1,6,1178,0
E,2,4.902521e-01,1,4.902521e-01,1,31,1359,0
E,2,3.246877e-01,1,4.902521e-01,1,12,1369,0
E,2,4.902521e-01,1,4.902521e-01,1,31,1407,0
E,2,3.246877e-01,1,4.902521e-01,1,12,1462,0
E,2,4.902521e-01,1,4.902521e-01,1,31,1464,0
E,2,4.902521e-01,1,4.902521e-01,1,31,1542,0
E,2,4.902521e-01,1,4.902521e-01,1,31,1646,0
E,2,3.246877e-01,1,4.902521e-01,1,12,1656,0
E,2,3.246877e-01,1,4.902521e-01,1,12,1716,0
E,2,3.246877e-01,1,4.902521e-01,1,12,1743,0
E,2,4.902521e-01,1,4.902521e-01,1,31,1774,0
E,2,4.902521e-01,1,4.902521e-01,1,31,1942,0
E,2,4.902521e-01,1,4.902521e-01,1,31,2058,0
E,2,4.902521e-01,1,4.902521e-01,1,31,2111,0
E,2,4.902521e-01,1,4.902521e-01,1,31,2174,0
E,2,4.902521e-01,1,4.902521e-01,1,31,2348,0
