species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5064,0.053429,0.965143,60
saccharomyces_sp_boulardii_,KO01_05176,0.053429,0.965143,60
saccharomyces_eubayanus,DI49_5499,0.003578,0.272922,70
saccharomyces_kudriavzevii_ifo_1802,SKUD_165402,0.021970,0.764609,62
_candida_glabrata,CAGL0H08778g,0.002052,0.149379,66
kazachstania_naganishii_cbs_8797,KNAG_0F03490,0.033473,0.831229,51
kazachstania_africana_cbs_2517,KAFR_0B00740,0.017717,0.777083,80
naumovozyma_castellii_cbs_4309,NCAS_0A14790,0.073638,0.999880,78
naumovozyma_dairenensis_cbs_421,NDAI_0J00690,0.025759,0.948949,108
hanseniaspora_osmophila,AWRI3579_g3073,0.068999,0.998150,73
hanseniaspora_uvarum_dsm_2768,D499_0AF00380,0.124394,0.999807,92
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_35025,0.077572,0.999781,74
hanseniaspora_opuntiae,AWRI3578_g1220,0.101870,0.999940,82
candida_tropicalis_mya_3404,CTRG_06020,0.214112,0.999773,65
scheffersomyces_stipitis_cbs_6054,PICST_77995,0.071009,0.995607,68
debaryomyces_fabryi,AC631_01805,0.083052,0.996028,60
debaryomyces_hansenii_cbs767,DEHA2G24464g,0.184929,0.999796,57
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_178470,0.032704,0.858897,55
candida_orthopsilosis_co_90_125,CORT_0F00790,0.110434,0.999917,71
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_36760,0.081985,0.996329,59
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_62944,0.207440,0.997579,25
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0H04099g,0.205182,0.999960,68
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_140156,0.124776,0.999872,64
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_149120,0.389155,0.999940,82
candida_maltosa_xu316,G210_1587,0.176001,0.999877,67
clavispora_lusitaniae_atcc_42720,CLUG_01904,0.018443,0.628698,50
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_76305,0.130690,0.999765,46
candida_albicans_wo_1,CAWG_04632,NaN,NaN,NaN
_candida_auris,QG37_04521,0.163623,0.999867,40
ogataea_parapolymorpha_dl_1,HPODL_02653,0.425676,0.999847,49
candida_dubliniensis_cd36,CD36_52280,0.229273,0.999720,61
kuraishia_capsulata_cbs_1993,KUCA_T00002326001,0.070007,0.981050,54
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0G04098g,0.205182,0.999960,68
candida_parapsilosis_cdc317,CPAR2_100670,0.183248,0.999770,66
pichia_kudriavzevii,JL09_g4489,0.032639,0.941134,83
lodderomyces_elongisporus_nrrl_yb_4239,LELG_04156,0.020270,0.619141,46
komagataella_phaffii_cbs_7435,PP7435_CHR4-0191,0.192266,0.999779,52
ogataea_polymorpha,OGAPODRAFT_15334,0.364772,0.999765,46
meyerozyma_guilliermondii_atcc_6260,PGUG_03079,0.099734,0.999920,58
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_24907,0.146845,0.965253,20
wickerhamomyces_ciferrii,BN7_126,0.399027,0.999720,61
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_91705,0.148466,0.999941,53
cyberlindnera_jadinii,BN1211_3422,0.125178,0.996915,41
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_49681,0.136854,0.999762,93
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_16130,0.114461,0.896333,19
geotrichum_candidum,BN980_GECA08s02072g,0.300872,0.999718,69
sugiyamaella_lignohabitans,AWJ20_5301,0.317058,0.999773,65
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_34794,0.436582,0.999841,19
yarrowia_lipolytica,YALI0_A19668g,0.201954,0.999170,29
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_35641,0.090681,0.965524,35
penicillium_oxalicum_114_2,PDE_06920,0.284661,0.999784,47
mycosphaerella_eumusae,AC578_7121,0.250471,0.999847,49
talaromyces_islandicus,PISL3812_07631,0.115770,0.999558,49
torrubiella_hemipterigena,VHEMI05142,0.207105,0.999823,48
grosmannia_clavigera_kw1407,CMQ_7104,0.301496,0.999765,46
pseudogymnoascus_sp_vkm_f_103,V499_03149,0.473955,0.999847,49
pseudogymnoascus_sp_03vt05,VE02_08481,0.339254,0.999823,48
aureobasidium_namibiae_cbs_147_97,M436DRAFT_65886,0.187372,0.999959,51
pseudogymnoascus_sp_vkm_f_4513_fw_928_,V494_04535,0.334995,0.999842,45
pseudogymnoascus_sp_vkm_f_4518_fw_2643_,V500_10424,0.220922,0.999784,47
xylona_heveae_tc161,L228DRAFT_154247,0.228216,0.999867,40
arthrobotrys_oligospora_atcc_24927,AOL_s00043g486,0.286652,0.999910,56
uncinocarpus_reesii_1704,UREG_00739,0.107490,0.996609,47
magnaporthe_poae,MAPG_02581,0.424929,0.999784,47
bipolaris_oryzae_atcc_44560,COCMIDRAFT_108092,0.366021,0.999963,42
fusarium_solani,NechaG37587,0.374822,0.999824,43
bipolaris_sorokiniana_nd90pr,COCSADRAFT_329879,0.290199,0.999824,43
paraphaeosphaeria_sporulosa,CC84DRAFT_393633,0.303237,0.999842,45
coniosporium_apollinis_cbs_100218,W97_07603,0.139665,0.999749,44
fonsecaea_pedrosoi_cbs_271_37,Z517_08371,0.099355,0.996769,50
verruconis_gallopava,PV09_06612,0.232729,0.999823,48
arthroderma_benhamiae_cbs_112371,ARB_03872,0.042849,0.895288,50
rhinocladiella_mackenziei_cbs_650_93,Z518_04486,0.193585,0.999749,44
aureobasidium_subglaciale_exf_2481,AUEXF2481DRAFT_38363,0.224760,0.999941,54
oidiodendron_maius_zn,OIDMADRAFT_109909,0.503881,0.999847,49
drechmeria_coniospora,DCS_04829,0.433542,0.999823,48
fonsecaea_monophora,AYO21_09920,0.095709,0.994610,50
pseudogymnoascus_sp_24mn13,VE04_09781,NaN,NaN,NaN
histoplasma_capsulatum_nam1,HCAG_00994,0.167603,0.999784,47
metarhizium_anisopliae,MANI_110693,0.062547,0.960753,49
chaetomium_thermophilum_var_thermophilum_dsm_1495,CTHT_0023360,0.458159,0.999779,52
penicillium_camemberti_fm_013,PCAMFM013_S033g000010,0.295311,0.999842,45
baudoinia_panamericana_uamh_10762,BAUCODRAFT_137019,0.020057,0.689334,49
penicillium_nordicum,ACN38_g590,0.247110,0.999842,45
aspergillus_rambellii,ARAM_001440,0.251411,0.999847,49
thielaviopsis_punctulata,TD95_001848,0.300867,0.999784,47
penicillium_griseofulvum,PGRI_066110,0.301496,0.999765,46
blastomyces_gilchristii_slh14081,BDBG_08030,0.088769,0.984587,44
cercospora_fijiensis_cirad86,MYCFIDRAFT_114365,0.165668,0.999784,47
sporothrix_schenckii_atcc_58251,HMPREF1624_01972,0.111885,0.998715,48
exophiala_sideris,PV11_07964,0.264743,0.999823,48
rasamsonia_emersonii_cbs_393_64,T310_0704,0.219887,0.999959,51
trichoderma_virens,TRIVIDRAFT_168508,0.201384,0.999765,46
trichophyton_interdigitale_mr816,H109_06702,0.036846,0.832582,48
capronia_semi_immersa,PV04_01480,0.217147,0.999784,47
emmonsia_sp_cac_2015a,ACJ72_02687,0.093788,0.986730,43
fonsecaea_erecta,AYL99_06356,0.159263,0.999823,48
aspergillus_ruber_cbs_135680,EURHEDRAFT_459381,0.307936,0.999847,49
ceratocystis_platani,CFO_g1971,0.269126,0.999824,43
microdochium_bolleyi,Micbo1qcDRAFT_45854,0.264514,0.999842,45
verticillium_longisporum,BN1708_004555,0.323118,0.999717,36
stemphylium_lycopersici,TW65_05104,0.358925,0.999842,45
capronia_coronata_cbs_617_96,A1O1_05875,0.231388,0.999941,53
phaeomoniella_chlamydospora,UCRPC4_g04034,0.166396,0.999765,46
pseudogymnoascus_sp_vkm_f_4281_fw_2241_,V493_04909,NaN,NaN,NaN
diaporthe_helianthi,DHEL01_04800,0.264476,0.999749,44
metarhizium_majus_arsef_297,MAJ_01323,0.093581,0.992676,48
