aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,11,13,1
E,1,5.000000e-01,2,5.000000e-01,2,11,21,1
E,1,5.000000e-01,2,5.000000e-01,2,11,106,1
E,1,5.000000e-01,2,5.000000e-01,2,11,270,0
E,1,5.000000e-01,2,5.000000e-01,2,11,400,0
E,1,5.000000e-01,2,5.000000e-01,2,11,470,1
E,1,5.000000e-01,2,5.000000e-01,2,11,550,1
E,1,5.000000e-01,2,5.000000e-01,2,11,866,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1215,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1231,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1668,0
E,2,2.500000e-01,2,5.000000e-01,1,8,301,0
E,2,2.500000e-01,2,5.000000e-01,1,8,418,0
E,2,5.000000e-01,1,5.000000e-01,1,5,424,1
E,2,5.000000e-01,1,5.000000e-01,1,5,502,1
E,2,2.500000e-01,2,5.000000e-01,1,8,646,2
E,2,2.500000e-01,2,5.000000e-01,1,8,744,0
E,2,2.500000e-01,2,5.000000e-01,1,8,838,0
E,2,2.500000e-01,2,5.000000e-01,1,8,901,2
E,2,5.000000e-01,1,5.000000e-01,1,5,979,1
E,2,2.500000e-01,2,5.000000e-01,1,8,992,0
E,2,5.000000e-01,1,5.000000e-01,1,5,1496,1
E,2,5.000000e-01,1,5.000000e-01,1,5,1667,1
E,2,2.500000e-01,2,5.000000e-01,1,8,1725,0
E,3,3.750000e-01,2,3.750000e-01,2,17,113,1
E,3,3.750000e-01,2,3.750000e-01,2,17,195,1
E,3,3.750000e-01,2,3.750000e-01,2,17,241,1
E,3,3.750000e-01,2,3.750000e-01,2,17,286,2
E,3,3.750000e-01,2,3.750000e-01,2,17,292,2
E,3,3.750000e-01,2,3.750000e-01,2,17,329,1
E,3,3.750000e-01,2,3.750000e-01,2,17,337,2
E,3,1.250000e-01,2,3.750000e-01,2,6,500,0
E,3,3.750000e-01,2,3.750000e-01,2,17,539,1
E,3,3.750000e-01,2,3.750000e-01,2,17,903,2
E,3,1.250000e-01,2,3.750000e-01,2,6,1134,3
E,3,1.250000e-01,2,3.750000e-01,2,6,1260,0
E,3,3.750000e-01,2,3.750000e-01,2,17,1267,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1315,3
E,3,3.750000e-01,2,3.750000e-01,2,17,1373,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1553,0
E,3,3.750000e-01,2,3.750000e-01,2,17,1640,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1671,1
E,3,3.750000e-01,2,3.750000e-01,2,17,1748,1
E,3,3.750000e-01,2,3.750000e-01,2,17,1754,1
E,3,3.750000e-01,2,3.750000e-01,2,17,1756,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1757,0
E,3,3.750000e-01,2,3.750000e-01,2,17,1807,2
E,4,6.250000e-02,2,3.750000e-01,1,6,61,4
E,4,2.500000e-01,2,3.750000e-01,1,8,67,1
E,4,6.250000e-02,2,3.750000e-01,1,6,192,0
E,4,2.500000e-01,2,3.750000e-01,1,8,194,1
E,4,3.750000e-01,1,3.750000e-01,1,13,232,2
E,4,2.500000e-01,2,3.750000e-01,1,8,259,1
E,4,6.250000e-02,2,3.750000e-01,1,6,272,0
E,4,3.750000e-01,1,3.750000e-01,1,13,279,2
E,4,3.750000e-01,1,3.750000e-01,1,13,334,2
E,4,3.750000e-01,1,3.750000e-01,1,13,396,2
