aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,11,66,0
E,1,5.000000e-01,2,5.000000e-01,2,11,122,0
E,1,5.000000e-01,2,5.000000e-01,2,11,198,0
E,1,5.000000e-01,2,5.000000e-01,2,11,200,0
E,1,5.000000e-01,2,5.000000e-01,2,11,235,0
E,1,5.000000e-01,2,5.000000e-01,2,11,328,0
E,1,5.000000e-01,2,5.000000e-01,2,11,362,0
E,1,5.000000e-01,2,5.000000e-01,2,11,371,0
E,1,5.000000e-01,2,5.000000e-01,2,11,428,0
E,1,5.000000e-01,2,5.000000e-01,2,11,459,0
E,1,5.000000e-01,2,5.000000e-01,2,11,673,0
E,2,2.500000e-01,2,5.000000e-01,1,14,50,0
E,2,2.500000e-01,2,5.000000e-01,1,14,96,0
E,2,2.500000e-01,2,5.000000e-01,1,14,99,0
E,2,2.500000e-01,2,5.000000e-01,1,14,135,0
E,2,2.500000e-01,2,5.000000e-01,1,14,152,0
E,2,2.500000e-01,2,5.000000e-01,1,14,199,0
E,2,2.500000e-01,2,5.000000e-01,1,14,238,0
E,2,5.000000e-01,1,5.000000e-01,1,4,262,1
E,2,2.500000e-01,2,5.000000e-01,1,14,267,0
E,2,2.500000e-01,2,5.000000e-01,1,14,308,0
E,2,2.500000e-01,2,5.000000e-01,1,14,324,0
E,2,5.000000e-01,1,5.000000e-01,1,4,326,1
E,2,2.500000e-01,2,5.000000e-01,1,14,329,0
E,2,2.500000e-01,2,5.000000e-01,1,14,492,0
E,2,2.500000e-01,2,5.000000e-01,1,14,502,0
E,2,5.000000e-01,1,5.000000e-01,1,4,542,1
E,2,2.500000e-01,2,5.000000e-01,1,14,588,0
E,2,5.000000e-01,1,5.000000e-01,1,4,593,1
E,3,3.750000e-01,2,3.750000e-01,2,5,51,1
E,3,1.250000e-01,2,3.750000e-01,2,11,100,0
E,3,3.750000e-01,2,3.750000e-01,2,5,140,1
E,3,3.750000e-01,2,3.750000e-01,2,5,149,1
E,3,1.250000e-01,2,3.750000e-01,2,11,196,0
E,3,1.250000e-01,2,3.750000e-01,2,11,216,0
E,3,1.250000e-01,2,3.750000e-01,2,11,315,0
E,3,1.250000e-01,2,3.750000e-01,2,11,372,0
E,3,1.250000e-01,2,3.750000e-01,2,11,378,0
E,3,1.250000e-01,2,3.750000e-01,2,11,427,0
E,3,1.250000e-01,2,3.750000e-01,2,11,437,0
E,3,1.250000e-01,2,3.750000e-01,2,11,505,0
E,3,1.250000e-01,2,3.750000e-01,2,11,538,0
E,3,1.250000e-01,2,3.750000e-01,2,11,567,0
E,3,3.750000e-01,2,3.750000e-01,2,5,611,1
E,3,3.750000e-01,2,3.750000e-01,2,5,672,1
E,4,3.750000e-01,1,3.750000e-01,1,2,90,2
E,4,2.500000e-01,2,3.750000e-01,1,9,150,1
E,4,6.250000e-02,2,3.750000e-01,1,11,202,0
E,4,2.500000e-01,2,3.750000e-01,1,9,244,1
E,4,6.250000e-02,2,3.750000e-01,1,11,247,0
E,4,6.250000e-02,2,3.750000e-01,1,11,249,0
E,4,6.250000e-02,2,3.750000e-01,1,11,250,0
E,4,3.750000e-01,1,3.750000e-01,1,2,253,2
E,4,2.500000e-01,2,3.750000e-01,1,9,257,1
E,4,6.250000e-02,2,3.750000e-01,1,11,268,0
E,4,2.500000e-01,2,3.750000e-01,1,9,291,1
E,4,6.250000e-02,2,3.750000e-01,1,11,301,0
E,4,2.500000e-01,2,3.750000e-01,1,9,303,1
E,4,2.500000e-01,2,3.750000e-01,1,9,309,1
E,4,6.250000e-02,2,3.750000e-01,1,11,325,0
E,4,6.250000e-02,2,3.750000e-01,1,11,358,0
E,4,2.500000e-01,2,3.750000e-01,1,9,480,1
E,4,2.500000e-01,2,3.750000e-01,1,9,529,1
E,4,2.500000e-01,2,3.750000e-01,1,9,541,1
E,4,6.250000e-02,2,3.750000e-01,1,11,589,0
E,4,6.250000e-02,2,3.750000e-01,1,11,626,0
E,4,6.250000e-02,2,3.750000e-01,1,11,662,0
E,5,3.125000e-02,2,3.125000e-01,2,19,15,0
E,5,1.562500e-01,2,3.125000e-01,2,6,29,1
E,5,1.562500e-01,2,3.125000e-01,2,6,30,1
E,5,3.125000e-02,2,3.125000e-01,2,19,32,0
E,5,1.562500e-01,2,3.125000e-01,2,6,98,1
E,5,3.125000e-02,2,3.125000e-01,2,19,121,0
E,5,3.125000e-02,2,3.125000e-01,2,19,192,0
E,5,1.562500e-01,2,3.125000e-01,2,6,201,1
E,5,3.125000e-02,2,3.125000e-01,2,19,226,0
E,5,3.125000e-02,2,3.125000e-01,2,19,289,0
E,5,3.125000e-02,2,3.125000e-01,2,19,312,0
E,5,3.125000e-02,2,3.125000e-01,2,19,359,0
E,5,3.125000e-01,2,3.125000e-01,2,2,392,2
E,5,3.125000e-02,2,3.125000e-01,2,19,396,0
E,5,3.125000e-02,2,3.125000e-01,2,19,532,0
E,5,1.562500e-01,2,3.125000e-01,2,6,536,1
E,5,3.125000e-02,2,3.125000e-01,2,19,557,0
E,5,3.125000e-02,2,3.125000e-01,2,19,560,0
E,5,3.125000e-02,2,3.125000e-01,2,19,572,0
E,5,3.125000e-02,2,3.125000e-01,2,19,573,0
E,5,3.125000e-02,2,3.125000e-01,2,19,575,0
E,5,3.125000e-02,2,3.125000e-01,2,19,576,0
E,5,3.125000e-02,2,3.125000e-01,2,19,584,0
E,5,3.125000e-01,2,3.125000e-01,2,2,606,2
E,5,1.562500e-01,2,3.125000e-01,2,6,607,1
E,5,3.125000e-02,2,3.125000e-01,2,19,631,0
E,5,3.125000e-02,2,3.125000e-01,2,19,643,0
E,6,9.375000e-02,2,3.125000e-01,1,6,20,1
