aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,16,2,0
E,1,5.000000e-01,2,5.000000e-01,2,16,96,1
E,1,5.000000e-01,2,5.000000e-01,2,16,308,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1102,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1133,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1438,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1974,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2122,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2305,1
E,1,5.000000e-01,2,5.000000e-01,2,16,2370,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2417,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2563,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2577,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2679,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2692,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2710,0
E,2,2.500000e-01,2,5.000000e-01,1,13,37,0
E,2,2.500000e-01,2,5.000000e-01,1,13,439,0
E,2,2.500000e-01,2,5.000000e-01,1,13,476,0
E,2,2.500000e-01,2,5.000000e-01,1,13,650,2
E,2,5.000000e-01,1,5.000000e-01,1,5,782,1
E,2,2.500000e-01,2,5.000000e-01,1,13,856,0
E,2,2.500000e-01,2,5.000000e-01,1,13,965,0
E,2,5.000000e-01,1,5.000000e-01,1,5,1579,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1647,0
E,2,2.500000e-01,2,5.000000e-01,1,13,1736,0
E,2,2.500000e-01,2,5.000000e-01,1,13,1829,0
E,2,2.500000e-01,2,5.000000e-01,1,13,1881,0
E,2,2.500000e-01,2,5.000000e-01,1,13,1940,0
E,2,2.500000e-01,2,5.000000e-01,1,13,2250,0
E,2,5.000000e-01,1,5.000000e-01,1,5,2348,1
E,2,2.500000e-01,2,5.000000e-01,1,13,2632,0
E,2,5.000000e-01,1,5.000000e-01,1,5,2663,1
E,2,5.000000e-01,1,5.000000e-01,1,5,2708,1
E,3,3.750000e-01,2,3.750000e-01,2,18,122,2
E,3,1.250000e-01,2,3.750000e-01,2,12,552,0
E,3,1.250000e-01,2,3.750000e-01,2,12,604,0
E,3,1.250000e-01,2,3.750000e-01,2,12,613,0
E,3,1.250000e-01,2,3.750000e-01,2,12,768,0
E,3,3.750000e-01,2,3.750000e-01,2,18,920,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1003,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1104,1
E,3,1.250000e-01,2,3.750000e-01,2,12,1138,0
E,3,3.750000e-01,2,3.750000e-01,2,18,1164,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1194,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1426,2
E,3,1.250000e-01,2,3.750000e-01,2,12,1452,0
E,3,3.750000e-01,2,3.750000e-01,2,18,1488,2
E,3,3.750000e-01,2,3.750000e-01,2,18,1499,2
E,3,1.250000e-01,2,3.750000e-01,2,12,1545,0
E,3,1.250000e-01,2,3.750000e-01,2,12,1670,0
E,3,1.250000e-01,2,3.750000e-01,2,12,1677,0
E,3,3.750000e-01,2,3.750000e-01,2,18,1706,2
E,3,3.750000e-01,2,3.750000e-01,2,18,1773,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1777,1
E,3,1.250000e-01,2,3.750000e-01,2,12,1796,0
E,3,3.750000e-01,2,3.750000e-01,2,18,1847,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1872,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1978,1
E,3,3.750000e-01,2,3.750000e-01,2,18,2012,1
E,3,3.750000e-01,2,3.750000e-01,2,18,2179,1
E,3,1.250000e-01,2,3.750000e-01,2,12,2286,0
E,3,3.750000e-01,2,3.750000e-01,2,18,2449,1
E,3,1.250000e-01,2,3.750000e-01,2,12,2654,0
E,4,2.500000e-01,2,3.750000e-01,1,18,26,1
E,4,6.250000e-02,2,3.750000e-01,1,7,156,0
E,4,2.500000e-01,2,3.750000e-01,1,18,249,1
E,4,2.500000e-01,2,3.750000e-01,1,18,412,1
E,4,2.500000e-01,2,3.750000e-01,1,18,457,1
E,4,2.500000e-01,2,3.750000e-01,1,18,568,1
E,4,6.250000e-02,2,3.750000e-01,1,7,600,0
E,4,3.750000e-01,1,3.750000e-01,1,9,624,2
E,4,2.500000e-01,2,3.750000e-01,1,18,634,3
E,4,3.750000e-01,1,3.750000e-01,1,9,665,2
E,4,2.500000e-01,2,3.750000e-01,1,18,717,1
E,4,2.500000e-01,2,3.750000e-01,1,18,898,3
E,4,3.750000e-01,1,3.750000e-01,1,9,929,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1053,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1075,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1098,3
E,4,6.250000e-02,2,3.750000e-01,1,7,1120,0
E,4,2.500000e-01,2,3.750000e-01,1,18,1370,1
E,4,3.750000e-01,1,3.750000e-01,1,9,1888,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1917,1
E,4,6.250000e-02,2,3.750000e-01,1,7,1979,0
E,4,6.250000e-02,2,3.750000e-01,1,7,1986,0
E,4,3.750000e-01,1,3.750000e-01,1,9,2001,2
E,4,6.250000e-02,2,3.750000e-01,1,7,2073,0
E,4,2.500000e-01,2,3.750000e-01,1,18,2225,1
E,4,2.500000e-01,2,3.750000e-01,1,18,2351,1
E,4,2.500000e-01,2,3.750000e-01,1,18,2400,1
E,4,2.500000e-01,2,3.750000e-01,1,18,2410,1
E,4,3.750000e-01,1,3.750000e-01,1,9,2478,2
E,4,3.750000e-01,1,3.750000e-01,1,9,2497,2
E,4,2.500000e-01,2,3.750000e-01,1,18,2575,1
E,4,2.500000e-01,2,3.750000e-01,1,18,2594,1
E,4,6.250000e-02,2,3.750000e-01,1,7,2645,0
E,4,2.500000e-01,2,3.750000e-01,1,18,2664,1
E,5,1.562500e-01,2,3.125000e-01,2,22,28,1
E,5,1.562500e-01,2,3.125000e-01,2,22,44,1
E,5,1.562500e-01,2,3.125000e-01,2,22,45,1
E,5,1.562500e-01,2,3.125000e-01,2,22,75,1
E,5,3.125000e-02,2,3.125000e-01,2,13,134,0
E,5,1.562500e-01,2,3.125000e-01,2,22,193,1
E,5,3.125000e-02,2,3.125000e-01,2,13,247,0
E,5,3.125000e-01,2,3.125000e-01,2,27,262,3
E,5,1.562500e-01,2,3.125000e-01,2,22,289,1
E,5,3.125000e-02,2,3.125000e-01,2,13,306,0
E,5,3.125000e-01,2,3.125000e-01,2,27,325,2
E,5,3.125000e-02,2,3.125000e-01,2,13,378,0
E,5,3.125000e-02,2,3.125000e-01,2,13,391,0
E,5,3.125000e-01,2,3.125000e-01,2,27,423,2
E,5,3.125000e-01,2,3.125000e-01,2,27,441,2
E,5,1.562500e-01,2,3.125000e-01,2,22,450,1
E,5,1.562500e-01,2,3.125000e-01,2,22,463,1
E,5,1.562500e-01,2,3.125000e-01,2,22,511,1
E,5,1.562500e-01,2,3.125000e-01,2,22,537,1
E,5,3.125000e-01,2,3.125000e-01,2,27,668,2
E,5,1.562500e-01,2,3.125000e-01,2,22,678,1
E,5,3.125000e-01,2,3.125000e-01,2,27,797,3
E,5,3.125000e-01,2,3.125000e-01,2,27,810,2
E,5,3.125000e-02,2,3.125000e-01,2,13,858,0
E,5,3.125000e-01,2,3.125000e-01,2,27,908,2
E,5,3.125000e-02,2,3.125000e-01,2,13,989,0
E,5,3.125000e-01,2,3.125000e-01,2,27,1028,2
E,5,3.125000e-01,2,3.125000e-01,2,27,1088,2
E,5,3.125000e-01,2,3.125000e-01,2,27,1091,3
E,5,1.562500e-01,2,3.125000e-01,2,22,1096,1
E,5,1.562500e-01,2,3.125000e-01,2,22,1115,1
E,5,1.562500e-01,2,3.125000e-01,2,22,1117,1
E,5,3.125000e-02,2,3.125000e-01,2,13,1119,0
E,5,3.125000e-02,2,3.125000e-01,2,13,1238,0
E,5,3.125000e-01,2,3.125000e-01,2,27,1282,2
E,5,3.125000e-02,2,3.125000e-01,2,13,1288,0
E,5,3.125000e-01,2,3.125000e-01,2,27,1297,2
E,5,3.125000e-01,2,3.125000e-01,2,27,1313,2
E,5,1.562500e-01,2,3.125000e-01,2,22,1349,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1367,2
E,5,3.125000e-02,2,3.125000e-01,2,13,1490,0
E,5,1.562500e-01,2,3.125000e-01,2,22,1597,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1655,2
E,5,1.562500e-01,2,3.125000e-01,2,22,1673,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1727,2
E,5,1.562500e-01,2,3.125000e-01,2,22,1737,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1742,2
E,5,1.562500e-01,2,3.125000e-01,2,22,1814,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1846,2
E,5,3.125000e-01,2,3.125000e-01,2,27,2025,3
E,5,3.125000e-01,2,3.125000e-01,2,27,2082,3
E,5,3.125000e-01,2,3.125000e-01,2,27,2201,3
E,5,3.125000e-01,2,3.125000e-01,2,27,2284,3
E,5,1.562500e-01,2,3.125000e-01,2,22,2374,1
E,5,3.125000e-02,2,3.125000e-01,2,13,2382,0
E,5,1.562500e-01,2,3.125000e-01,2,22,2408,1
E,5,3.125000e-01,2,3.125000e-01,2,27,2443,2
E,5,3.125000e-01,2,3.125000e-01,2,27,2461,2
E,5,3.125000e-01,2,3.125000e-01,2,27,2496,3
E,5,3.125000e-02,2,3.125000e-01,2,13,2595,0
E,5,1.562500e-01,2,3.125000e-01,2,22,2608,1
E,5,3.125000e-01,2,3.125000e-01,2,27,2678,2
E,6,1.562500e-02,2,3.125000e-01,1,11,9,0
E,6,9.375000e-02,2,3.125000e-01,1,27,36,1
E,6,2.343750e-01,2,3.125000e-01,1,23,94,2
E,6,3.125000e-01,1,3.125000e-01,1,8,103,3
E,6,2.343750e-01,2,3.125000e-01,1,23,117,2
E,6,1.562500e-02,2,3.125000e-01,1,11,208,0
E,6,9.375000e-02,2,3.125000e-01,1,27,234,1
E,6,3.125000e-01,1,3.125000e-01,1,8,277,3
E,6,2.343750e-01,2,3.125000e-01,1,23,288,2
E,6,9.375000e-02,2,3.125000e-01,1,27,380,1
E,6,9.375000e-02,2,3.125000e-01,1,27,405,1
E,6,9.375000e-02,2,3.125000e-01,1,27,547,1
E,6,3.125000e-01,1,3.125000e-01,1,8,553,3
E,6,1.562500e-02,2,3.125000e-01,1,11,632,0
E,6,2.343750e-01,2,3.125000e-01,1,23,644,2
E,6,9.375000e-02,2,3.125000e-01,1,27,679,1
E,6,2.343750e-01,2,3.125000e-01,1,23,712,2
E,6,2.343750e-01,2,3.125000e-01,1,23,716,4
E,6,2.343750e-01,2,3.125000e-01,1,23,750,2
E,6,1.562500e-02,2,3.125000e-01,1,11,814,0
E,6,9.375000e-02,2,3.125000e-01,1,27,842,1
