aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.992191e-01,1,8.992191e-01,1,12,27,0
E,1,8.992191e-01,1,8.992191e-01,1,12,37,0
E,1,8.992191e-01,1,8.992191e-01,1,12,184,0
E,1,8.992191e-01,1,8.992191e-01,1,12,225,0
E,1,8.992191e-01,1,8.992191e-01,1,12,281,0
E,1,8.992191e-01,1,8.992191e-01,1,12,331,0
E,1,8.992191e-01,1,8.992191e-01,1,12,402,0
E,1,8.992191e-01,1,8.992191e-01,1,12,403,0
E,1,8.992191e-01,1,8.992191e-01,1,12,438,0
E,1,8.992191e-01,1,8.992191e-01,1,12,469,0
E,1,8.992191e-01,1,8.992191e-01,1,12,524,0
E,1,8.992191e-01,1,8.992191e-01,1,12,556,0
E,1,1.007809e-01,1,8.992191e-01,1,1,564,1
E,2,8.085950e-01,1,8.085950e-01,1,9,22,0
E,2,8.085950e-01,1,8.085950e-01,1,9,106,0
E,2,8.085950e-01,1,8.085950e-01,1,9,224,0
E,2,8.085950e-01,1,8.085950e-01,1,9,266,0
E,2,8.085950e-01,1,8.085950e-01,1,9,441,0
E,2,1.812482e-01,1,8.085950e-01,1,1,464,1
E,2,8.085950e-01,1,8.085950e-01,1,9,525,0
E,2,8.085950e-01,1,8.085950e-01,1,9,567,0
E,2,8.085950e-01,1,8.085950e-01,1,9,568,0
E,2,8.085950e-01,1,8.085950e-01,1,9,571,0
E,3,7.271041e-01,1,7.271041e-01,1,8,133,0
E,3,7.271041e-01,1,7.271041e-01,1,8,172,0
E,3,7.271041e-01,1,7.271041e-01,1,8,176,0
E,3,2.444727e-01,1,7.271041e-01,1,4,267,1
E,3,2.444727e-01,1,7.271041e-01,1,4,310,1
E,3,7.271041e-01,1,7.271041e-01,1,8,344,0
E,3,2.444727e-01,1,7.271041e-01,1,4,360,1
E,3,7.271041e-01,1,7.271041e-01,1,8,400,0
E,3,7.271041e-01,1,7.271041e-01,1,8,419,0
E,3,2.739952e-02,1,7.271041e-01,1,1,459,2
E,3,7.271041e-01,1,7.271041e-01,1,8,491,0
E,3,7.271041e-01,1,7.271041e-01,1,8,513,0
E,3,2.444727e-01,1,7.271041e-01,1,4,522,1
E,4,2.931127e-01,1,6.538259e-01,1,4,42,1
E,4,2.931127e-01,1,6.538259e-01,1,4,71,1
E,4,6.538259e-01,1,6.538259e-01,1,8,138,0
E,4,2.931127e-01,1,6.538259e-01,1,4,214,1
E,4,6.538259e-01,1,6.538259e-01,1,8,247,0
E,4,6.538259e-01,1,6.538259e-01,1,8,349,0
E,4,6.538259e-01,1,6.538259e-01,1,8,358,0
E,4,6.538259e-01,1,6.538259e-01,1,8,405,0
E,4,2.931127e-01,1,6.538259e-01,1,4,447,1
E,4,6.538259e-01,1,6.538259e-01,1,8,450,0
E,4,6.538259e-01,1,6.538259e-01,1,8,452,0
E,4,6.538259e-01,1,6.538259e-01,1,8,455,0
E,5,5.879328e-01,1,5.879328e-01,1,16,38,0
E,5,5.879328e-01,1,5.879328e-01,1,16,69,0
E,5,3.294657e-01,1,5.879328e-01,1,3,125,1
E,5,3.294657e-01,1,5.879328e-01,1,3,128,1
E,5,7.385039e-02,1,5.879328e-01,1,3,139,2
E,5,5.879328e-01,1,5.879328e-01,1,16,141,0
E,5,5.879328e-01,1,5.879328e-01,1,16,148,0
E,5,3.294657e-01,1,5.879328e-01,1,3,167,1
E,5,5.879328e-01,1,5.879328e-01,1,16,190,0
E,5,5.879328e-01,1,5.879328e-01,1,16,198,0
E,5,5.879328e-01,1,5.879328e-01,1,16,233,0
E,5,7.385039e-02,1,5.879328e-01,1,3,304,2
E,5,5.879328e-01,1,5.879328e-01,1,16,330,0
E,5,5.879328e-01,1,5.879328e-01,1,16,372,0
E,5,5.879328e-01,1,5.879328e-01,1,16,396,0
E,5,7.385039e-02,1,5.879328e-01,1,3,404,2
E,5,5.879328e-01,1,5.879328e-01,1,16,429,0
E,5,5.879328e-01,1,5.879328e-01,1,16,489,0
E,5,5.879328e-01,1,5.879328e-01,1,16,501,0
E,5,5.879328e-01,1,5.879328e-01,1,16,503,0
E,5,5.879328e-01,1,5.879328e-01,1,16,521,0
E,5,5.879328e-01,1,5.879328e-01,1,16,553,0
E,6,5.286804e-01,1,5.286804e-01,1,6,1,0
E,6,5.286804e-01,1,5.286804e-01,1,6,16,0
E,6,3.555143e-01,1,5.286804e-01,1,12,31,1
E,6,5.286804e-01,1,5.286804e-01,1,6,78,0
E,6,5.286804e-01,1,5.286804e-01,1,6,95,0
