aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.800000e-01,1,6.800000e-01,1,47,89,0
E,1,6.800000e-01,1,6.800000e-01,1,47,177,0
E,1,6.800000e-01,1,6.800000e-01,1,47,261,0
E,1,6.800000e-01,1,6.800000e-01,1,47,296,0
E,1,6.800000e-01,1,6.800000e-01,1,47,370,0
E,1,6.800000e-01,1,6.800000e-01,1,47,515,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1023,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1151,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1198,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1432,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1440,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1504,0
E,1,3.200000e-01,1,6.800000e-01,1,17,1544,0
E,1,3.200000e-01,1,6.800000e-01,1,17,1617,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1828,0
E,1,6.800000e-01,1,6.800000e-01,1,47,1864,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2029,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2087,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2144,0
E,1,3.200000e-01,1,6.800000e-01,1,17,2149,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2162,0
E,1,3.200000e-01,1,6.800000e-01,1,17,2261,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2297,0
E,1,3.200000e-01,1,6.800000e-01,1,17,2309,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2345,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2685,0
E,1,3.200000e-01,1,6.800000e-01,1,17,2686,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2768,0
E,1,3.200000e-01,1,6.800000e-01,1,17,2802,0
E,1,6.800000e-01,1,6.800000e-01,1,47,2859,0
E,1,3.200000e-01,1,6.800000e-01,1,17,2965,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3060,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3064,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3217,0
E,1,3.200000e-01,1,6.800000e-01,1,17,3255,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3276,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3368,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3386,0
E,1,3.200000e-01,1,6.800000e-01,1,17,3393,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3405,0
E,1,3.200000e-01,1,6.800000e-01,1,17,3444,0
E,1,3.200000e-01,1,6.800000e-01,1,17,3542,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3550,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3625,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3633,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3815,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3834,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3899,0
E,1,3.200000e-01,1,6.800000e-01,1,17,3916,0
E,1,6.800000e-01,1,6.800000e-01,1,47,3997,0
E,1,3.200000e-01,1,6.800000e-01,1,17,4119,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4174,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4370,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4562,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4563,0
E,1,3.200000e-01,1,6.800000e-01,1,17,4649,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4684,0
E,1,3.200000e-01,1,6.800000e-01,1,17,4685,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4708,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4885,0
E,1,6.800000e-01,1,6.800000e-01,1,47,4895,0
E,1,6.800000e-01,1,6.800000e-01,1,47,5001,0
E,1,6.800000e-01,1,6.800000e-01,1,47,5009,0
E,1,3.200000e-01,1,6.800000e-01,1,17,5028,0
E,2,4.352000e-01,1,4.624000e-01,1,38,49,1
E,2,4.352000e-01,1,4.624000e-01,1,38,168,1
E,2,4.352000e-01,1,4.624000e-01,1,38,342,1
E,2,4.352000e-01,1,4.624000e-01,1,38,344,1
E,2,4.624000e-01,1,4.624000e-01,1,54,460,1
E,2,4.624000e-01,1,4.624000e-01,1,54,464,1
E,2,4.352000e-01,1,4.624000e-01,1,38,466,1
E,2,4.624000e-01,1,4.624000e-01,1,54,498,1
E,2,4.624000e-01,1,4.624000e-01,1,54,504,1
E,2,4.352000e-01,1,4.624000e-01,1,38,607,1
E,2,4.624000e-01,1,4.624000e-01,1,54,627,1
E,2,4.352000e-01,1,4.624000e-01,1,38,751,1
E,2,4.352000e-01,1,4.624000e-01,1,38,765,1
E,2,1.024000e-01,1,4.624000e-01,1,9,844,1
E,2,4.624000e-01,1,4.624000e-01,1,54,898,1
E,2,4.624000e-01,1,4.624000e-01,1,54,938,1
E,2,4.352000e-01,1,4.624000e-01,1,38,942,1
E,2,4.624000e-01,1,4.624000e-01,1,54,976,1
E,2,4.624000e-01,1,4.624000e-01,1,54,1062,1
E,2,4.624000e-01,1,4.624000e-01,1,54,1157,1
E,2,4.352000e-01,1,4.624000e-01,1,38,1184,1
E,2,4.624000e-01,1,4.624000e-01,1,54,1195,1
E,2,1.024000e-01,1,4.624000e-01,1,9,1199,1
E,2,4.352000e-01,1,4.624000e-01,1,38,1215,1
E,2,4.352000e-01,1,4.624000e-01,1,38,1220,1
E,2,1.024000e-01,1,4.624000e-01,1,9,1238,1
E,2,4.624000e-01,1,4.624000e-01,1,54,1353,1
E,2,4.624000e-01,1,4.624000e-01,1,54,1363,1
E,2,4.352000e-01,1,4.624000e-01,1,38,1459,1
