aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,18,220,1
E,1,5.000000e-01,2,5.000000e-01,2,18,271,1
E,1,5.000000e-01,2,5.000000e-01,2,18,292,1
E,1,5.000000e-01,2,5.000000e-01,2,18,374,1
E,1,5.000000e-01,2,5.000000e-01,2,18,557,0
E,1,5.000000e-01,2,5.000000e-01,2,18,710,0
E,1,5.000000e-01,2,5.000000e-01,2,18,776,1
E,1,5.000000e-01,2,5.000000e-01,2,18,787,0
E,1,5.000000e-01,2,5.000000e-01,2,18,888,1
E,1,5.000000e-01,2,5.000000e-01,2,18,960,1
E,1,5.000000e-01,2,5.000000e-01,2,18,1081,0
E,1,5.000000e-01,2,5.000000e-01,2,18,1212,1
E,1,5.000000e-01,2,5.000000e-01,2,18,1228,0
E,1,5.000000e-01,2,5.000000e-01,2,18,1232,1
E,1,5.000000e-01,2,5.000000e-01,2,18,1234,1
E,1,5.000000e-01,2,5.000000e-01,2,18,1378,0
E,1,5.000000e-01,2,5.000000e-01,2,18,1398,1
E,1,5.000000e-01,2,5.000000e-01,2,18,1578,0
E,2,2.500000e-01,2,5.000000e-01,1,10,53,0
E,2,5.000000e-01,1,5.000000e-01,1,9,173,1
E,2,5.000000e-01,1,5.000000e-01,1,9,185,1
E,2,5.000000e-01,1,5.000000e-01,1,9,298,1
E,2,2.500000e-01,2,5.000000e-01,1,10,404,2
E,2,5.000000e-01,1,5.000000e-01,1,9,679,1
E,2,2.500000e-01,2,5.000000e-01,1,10,795,0
E,2,2.500000e-01,2,5.000000e-01,1,10,833,2
E,2,2.500000e-01,2,5.000000e-01,1,10,850,0
E,2,2.500000e-01,2,5.000000e-01,1,10,869,2
E,2,2.500000e-01,2,5.000000e-01,1,10,872,2
E,2,5.000000e-01,1,5.000000e-01,1,9,914,1
E,2,2.500000e-01,2,5.000000e-01,1,10,941,0
E,2,5.000000e-01,1,5.000000e-01,1,9,964,1
E,2,5.000000e-01,1,5.000000e-01,1,9,1207,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1265,2
E,2,2.500000e-01,2,5.000000e-01,1,10,1301,2
E,2,5.000000e-01,1,5.000000e-01,1,9,1392,1
E,2,5.000000e-01,1,5.000000e-01,1,9,1499,1
E,3,1.250000e-01,2,3.750000e-01,2,7,24,3
E,3,3.750000e-01,2,3.750000e-01,2,19,83,1
E,3,3.750000e-01,2,3.750000e-01,2,19,93,1
E,3,3.750000e-01,2,3.750000e-01,2,19,117,2
E,3,3.750000e-01,2,3.750000e-01,2,19,165,1
E,3,1.250000e-01,2,3.750000e-01,2,7,281,3
E,3,3.750000e-01,2,3.750000e-01,2,19,309,2
E,3,3.750000e-01,2,3.750000e-01,2,19,319,2
E,3,3.750000e-01,2,3.750000e-01,2,19,388,1
E,3,3.750000e-01,2,3.750000e-01,2,19,568,1
E,3,3.750000e-01,2,3.750000e-01,2,19,694,2
E,3,3.750000e-01,2,3.750000e-01,2,19,709,1
E,3,3.750000e-01,2,3.750000e-01,2,19,714,2
E,3,3.750000e-01,2,3.750000e-01,2,19,844,1
E,3,1.250000e-01,2,3.750000e-01,2,7,955,0
E,3,1.250000e-01,2,3.750000e-01,2,7,959,3
E,3,3.750000e-01,2,3.750000e-01,2,19,1036,1
E,3,1.250000e-01,2,3.750000e-01,2,7,1150,0
E,3,1.250000e-01,2,3.750000e-01,2,7,1258,0
E,3,3.750000e-01,2,3.750000e-01,2,19,1270,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1272,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1295,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1457,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1581,2
E,3,3.750000e-01,2,3.750000e-01,2,19,1583,2
E,3,1.250000e-01,2,3.750000e-01,2,7,1608,0
E,4,3.750000e-01,1,3.750000e-01,1,7,44,2
E,4,3.750000e-01,1,3.750000e-01,1,7,99,2
E,4,3.750000e-01,1,3.750000e-01,1,7,101,2
E,4,2.500000e-01,2,3.750000e-01,1,10,171,1
E,4,6.250000e-02,2,3.750000e-01,1,4,245,4
E,4,6.250000e-02,2,3.750000e-01,1,4,418,4
E,4,2.500000e-01,2,3.750000e-01,1,10,421,3
E,4,3.750000e-01,1,3.750000e-01,1,7,549,2
E,4,6.250000e-02,2,3.750000e-01,1,4,774,0
E,4,2.500000e-01,2,3.750000e-01,1,10,788,3
E,4,2.500000e-01,2,3.750000e-01,1,10,865,1
E,4,2.500000e-01,2,3.750000e-01,1,10,892,3
E,4,2.500000e-01,2,3.750000e-01,1,10,985,3
E,4,3.750000e-01,1,3.750000e-01,1,7,1078,2
E,4,2.500000e-01,2,3.750000e-01,1,10,1108,3
E,4,3.750000e-01,1,3.750000e-01,1,7,1248,2
