aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,10,13,1
E,1,5.000000e-01,2,5.000000e-01,2,10,184,1
E,1,5.000000e-01,2,5.000000e-01,2,10,194,1
E,1,5.000000e-01,2,5.000000e-01,2,10,334,1
E,1,5.000000e-01,2,5.000000e-01,2,10,370,1
E,1,5.000000e-01,2,5.000000e-01,2,10,413,1
E,1,5.000000e-01,2,5.000000e-01,2,10,447,1
E,1,5.000000e-01,2,5.000000e-01,2,10,501,1
E,1,5.000000e-01,2,5.000000e-01,2,10,552,1
E,1,5.000000e-01,2,5.000000e-01,2,10,676,1
E,2,5.000000e-01,1,5.000000e-01,1,9,209,1
E,2,2.500000e-01,2,5.000000e-01,1,5,228,1
E,2,2.500000e-01,2,5.000000e-01,1,5,232,1
E,2,5.000000e-01,1,5.000000e-01,1,9,332,1
E,2,2.500000e-01,2,5.000000e-01,1,5,339,1
E,2,5.000000e-01,1,5.000000e-01,1,9,485,1
E,2,5.000000e-01,1,5.000000e-01,1,9,556,1
E,2,5.000000e-01,1,5.000000e-01,1,9,596,1
E,2,2.500000e-01,2,5.000000e-01,1,5,664,1
E,2,5.000000e-01,1,5.000000e-01,1,9,699,1
E,2,5.000000e-01,1,5.000000e-01,1,9,710,1
E,2,5.000000e-01,1,5.000000e-01,1,9,733,1
E,2,5.000000e-01,1,5.000000e-01,1,9,746,1
E,2,2.500000e-01,2,5.000000e-01,1,5,860,1
E,3,1.250000e-01,2,3.750000e-01,2,7,174,0
E,3,1.250000e-01,2,3.750000e-01,2,7,254,0
E,3,3.750000e-01,2,3.750000e-01,2,8,373,0
E,3,1.250000e-01,2,3.750000e-01,2,7,418,0
E,3,3.750000e-01,2,3.750000e-01,2,8,427,0
E,3,3.750000e-01,2,3.750000e-01,2,8,484,0
E,3,3.750000e-01,2,3.750000e-01,2,8,519,0
E,3,1.250000e-01,2,3.750000e-01,2,7,599,0
E,3,1.250000e-01,2,3.750000e-01,2,7,611,0
E,3,1.250000e-01,2,3.750000e-01,2,7,638,0
E,3,3.750000e-01,2,3.750000e-01,2,8,680,0
E,3,3.750000e-01,2,3.750000e-01,2,8,698,0
E,3,3.750000e-01,2,3.750000e-01,2,8,721,0
E,3,3.750000e-01,2,3.750000e-01,2,8,825,0
E,3,1.250000e-01,2,3.750000e-01,2,7,828,0
E,4,6.250000e-02,2,3.750000e-01,1,3,35,0
E,4,2.500000e-01,2,3.750000e-01,1,14,155,0
E,4,2.500000e-01,2,3.750000e-01,1,14,169,0
E,4,3.750000e-01,1,3.750000e-01,1,9,177,0
E,4,2.500000e-01,2,3.750000e-01,1,14,188,0
E,4,6.250000e-02,2,3.750000e-01,1,3,252,0
E,4,3.750000e-01,1,3.750000e-01,1,9,259,0
E,4,2.500000e-01,2,3.750000e-01,1,14,354,0
E,4,3.750000e-01,1,3.750000e-01,1,9,369,0
E,4,2.500000e-01,2,3.750000e-01,1,14,408,0
E,4,3.750000e-01,1,3.750000e-01,1,9,416,0
E,4,3.750000e-01,1,3.750000e-01,1,9,470,0
E,4,2.500000e-01,2,3.750000e-01,1,14,573,0
E,4,3.750000e-01,1,3.750000e-01,1,9,578,0
E,4,3.750000e-01,1,3.750000e-01,1,9,613,0
E,4,3.750000e-01,1,3.750000e-01,1,9,678,0
E,4,6.250000e-02,2,3.750000e-01,1,3,695,0
E,4,2.500000e-01,2,3.750000e-01,1,14,701,0
E,4,2.500000e-01,2,3.750000e-01,1,14,703,0
E,4,3.750000e-01,1,3.750000e-01,1,9,712,0
E,4,2.500000e-01,2,3.750000e-01,1,14,772,0
E,4,2.500000e-01,2,3.750000e-01,1,14,777,0
E,4,2.500000e-01,2,3.750000e-01,1,14,782,0
E,4,2.500000e-01,2,3.750000e-01,1,14,885,0
E,4,2.500000e-01,2,3.750000e-01,1,14,886,0
E,4,2.500000e-01,2,3.750000e-01,1,14,893,0
E,5,3.125000e-01,2,3.125000e-01,2,10,220,2
E,5,1.562500e-01,2,3.125000e-01,2,8,224,2
E,5,1.562500e-01,2,3.125000e-01,2,8,292,2
E,5,1.562500e-01,2,3.125000e-01,2,8,323,2
E,5,3.125000e-01,2,3.125000e-01,2,10,403,2
E,5,3.125000e-02,2,3.125000e-01,2,1,425,2
E,5,3.125000e-01,2,3.125000e-01,2,10,442,2
E,5,3.125000e-01,2,3.125000e-01,2,10,473,2
E,5,1.562500e-01,2,3.125000e-01,2,8,532,2
E,5,1.562500e-01,2,3.125000e-01,2,8,674,2
E,5,3.125000e-01,2,3.125000e-01,2,10,704,2
E,5,3.125000e-01,2,3.125000e-01,2,10,709,2
E,5,3.125000e-01,2,3.125000e-01,2,10,735,2
E,5,3.125000e-01,2,3.125000e-01,2,10,759,2
E,5,1.562500e-01,2,3.125000e-01,2,8,760,2
E,5,1.562500e-01,2,3.125000e-01,2,8,770,2
E,5,3.125000e-01,2,3.125000e-01,2,10,783,2
E,5,1.562500e-01,2,3.125000e-01,2,8,788,2
E,5,3.125000e-01,2,3.125000e-01,2,10,790,2
E,6,3.125000e-01,1,3.125000e-01,1,8,61,3
E,6,9.375000e-02,2,3.125000e-01,1,6,66,3
E,6,9.375000e-02,2,3.125000e-01,1,6,113,3
E,6,9.375000e-02,2,3.125000e-01,1,6,166,3
E,6,2.343750e-01,2,3.125000e-01,1,9,189,3
E,6,3.125000e-01,1,3.125000e-01,1,8,201,3
E,6,2.343750e-01,2,3.125000e-01,1,9,222,3
E,6,1.562500e-02,2,3.125000e-01,1,1,271,3
E,6,3.125000e-01,1,3.125000e-01,1,8,371,3
E,6,2.343750e-01,2,3.125000e-01,1,9,450,3
E,6,2.343750e-01,2,3.125000e-01,1,9,477,3
E,6,2.343750e-01,2,3.125000e-01,1,9,479,3
E,6,2.343750e-01,2,3.125000e-01,1,9,533,3
E,6,9.375000e-02,2,3.125000e-01,1,6,555,3
E,6,2.343750e-01,2,3.125000e-01,1,9,575,3
E,6,9.375000e-02,2,3.125000e-01,1,6,639,3
E,6,3.125000e-01,1,3.125000e-01,1,8,671,3
E,6,3.125000e-01,1,3.125000e-01,1,8,692,3
E,6,2.343750e-01,2,3.125000e-01,1,9,781,3
E,6,9.375000e-02,2,3.125000e-01,1,6,787,3
E,6,2.343750e-01,2,3.125000e-01,1,9,830,3
E,6,3.125000e-01,1,3.125000e-01,1,8,859,3
E,6,3.125000e-01,1,3.125000e-01,1,8,887,3
E,6,3.125000e-01,1,3.125000e-01,1,8,901,3
E,7,2.734375e-01,2,2.734375e-01,2,13,21,4
E,7,2.734375e-01,2,2.734375e-01,2,13,25,4
E,7,1.640625e-01,2,2.734375e-01,2,11,34,4
E,7,2.734375e-01,2,2.734375e-01,2,13,140,4
E,7,2.734375e-01,2,2.734375e-01,2,13,164,4
E,7,2.734375e-01,2,2.734375e-01,2,13,275,4
E,7,1.640625e-01,2,2.734375e-01,2,11,284,4
E,7,5.468750e-02,2,2.734375e-01,2,5,333,4
E,7,2.734375e-01,2,2.734375e-01,2,13,368,4
E,7,2.734375e-01,2,2.734375e-01,2,13,379,4
E,7,5.468750e-02,2,2.734375e-01,2,5,393,4
E,7,1.640625e-01,2,2.734375e-01,2,11,419,4
E,7,2.734375e-01,2,2.734375e-01,2,13,571,4
E,7,1.640625e-01,2,2.734375e-01,2,11,592,4
E,7,1.640625e-01,2,2.734375e-01,2,11,606,4
E,7,5.468750e-02,2,2.734375e-01,2,5,614,4
E,7,1.640625e-01,2,2.734375e-01,2,11,683,4
E,7,1.640625e-01,2,2.734375e-01,2,11,714,4
E,7,2.734375e-01,2,2.734375e-01,2,13,730,4
E,7,1.640625e-01,2,2.734375e-01,2,11,753,4
E,7,5.468750e-02,2,2.734375e-01,2,5,766,4
E,7,2.734375e-01,2,2.734375e-01,2,13,773,4
E,7,1.640625e-01,2,2.734375e-01,2,11,784,4
E,7,1.640625e-01,2,2.734375e-01,2,11,785,4
E,7,5.468750e-02,2,2.734375e-01,2,5,803,4
E,7,2.734375e-01,2,2.734375e-01,2,13,827,4
E,7,2.734375e-01,2,2.734375e-01,2,13,829,4
E,7,2.734375e-01,2,2.734375e-01,2,13,869,4
E,7,1.640625e-01,2,2.734375e-01,2,11,908,4
E,8,2.734375e-01,1,2.734375e-01,1,7,23,4
E,8,3.125000e-02,2,2.734375e-01,1,2,85,4
E,8,2.734375e-01,1,2.734375e-01,1,7,95,4
E,8,2.187500e-01,2,2.734375e-01,1,13,101,4
E,8,2.187500e-01,2,2.734375e-01,1,13,111,4
E,8,1.093750e-01,2,2.734375e-01,1,9,136,4
E,8,2.734375e-01,1,2.734375e-01,1,7,158,4
