aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.784654e-01,1,8.784654e-01,1,20,29,0
E,1,8.784654e-01,1,8.784654e-01,1,20,30,0
E,1,8.784654e-01,1,8.784654e-01,1,20,138,0
E,1,8.784654e-01,1,8.784654e-01,1,20,239,0
E,1,8.784654e-01,1,8.784654e-01,1,20,313,0
E,1,8.784654e-01,1,8.784654e-01,1,20,319,0
E,1,8.784654e-01,1,8.784654e-01,1,20,403,0
E,1,8.784654e-01,1,8.784654e-01,1,20,672,0
E,1,8.784654e-01,1,8.784654e-01,1,20,978,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1010,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1173,0
E,1,1.215346e-01,1,8.784654e-01,1,1,1390,1
E,1,8.784654e-01,1,8.784654e-01,1,20,1425,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1430,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1507,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1508,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1599,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1718,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1764,0
E,1,8.784654e-01,1,8.784654e-01,1,20,1769,0
E,1,8.784654e-01,1,8.784654e-01,1,20,2015,0
E,2,2.135278e-01,1,7.717015e-01,1,4,94,1
E,2,7.717015e-01,1,7.717015e-01,1,21,124,0
E,2,7.717015e-01,1,7.717015e-01,1,21,238,0
E,2,7.717015e-01,1,7.717015e-01,1,21,265,0
E,2,2.135278e-01,1,7.717015e-01,1,4,272,1
E,2,7.717015e-01,1,7.717015e-01,1,21,350,0
E,2,7.717015e-01,1,7.717015e-01,1,21,355,0
E,2,7.717015e-01,1,7.717015e-01,1,21,484,0
E,2,7.717015e-01,1,7.717015e-01,1,21,524,0
E,2,7.717015e-01,1,7.717015e-01,1,21,525,0
E,2,7.717015e-01,1,7.717015e-01,1,21,618,0
E,2,7.717015e-01,1,7.717015e-01,1,21,1102,0
E,2,7.717015e-01,1,7.717015e-01,1,21,1151,0
E,2,7.717015e-01,1,7.717015e-01,1,21,1373,0
E,2,2.135278e-01,1,7.717015e-01,1,4,1376,1
E,2,1.477065e-02,1,7.717015e-01,1,1,1397,2
E,2,7.717015e-01,1,7.717015e-01,1,21,1460,0
E,2,7.717015e-01,1,7.717015e-01,1,21,1598,0
