aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,28,120,1
E,1,5.000000e-01,2,5.000000e-01,2,28,122,0
E,1,5.000000e-01,2,5.000000e-01,2,28,149,0
E,1,5.000000e-01,2,5.000000e-01,2,28,174,0
E,1,5.000000e-01,2,5.000000e-01,2,28,240,0
E,1,5.000000e-01,2,5.000000e-01,2,28,250,1
E,1,5.000000e-01,2,5.000000e-01,2,28,315,0
E,1,5.000000e-01,2,5.000000e-01,2,28,334,0
E,1,5.000000e-01,2,5.000000e-01,2,28,353,1
E,1,5.000000e-01,2,5.000000e-01,2,28,416,1
E,1,5.000000e-01,2,5.000000e-01,2,28,470,0
E,1,5.000000e-01,2,5.000000e-01,2,28,520,0
E,1,5.000000e-01,2,5.000000e-01,2,28,591,0
E,1,5.000000e-01,2,5.000000e-01,2,28,629,0
E,1,5.000000e-01,2,5.000000e-01,2,28,716,0
E,1,5.000000e-01,2,5.000000e-01,2,28,863,1
E,1,5.000000e-01,2,5.000000e-01,2,28,867,1
E,1,5.000000e-01,2,5.000000e-01,2,28,873,0
E,1,5.000000e-01,2,5.000000e-01,2,28,938,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1098,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1373,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1394,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1446,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1586,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1641,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1701,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1843,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1909,1
E,2,5.000000e-01,1,5.000000e-01,1,20,86,1
E,2,5.000000e-01,1,5.000000e-01,1,20,167,1
E,2,5.000000e-01,1,5.000000e-01,1,20,226,1
E,2,2.500000e-01,2,5.000000e-01,1,26,229,0
E,2,2.500000e-01,2,5.000000e-01,1,26,333,0
E,2,5.000000e-01,1,5.000000e-01,1,20,349,1
E,2,2.500000e-01,2,5.000000e-01,1,26,391,0
E,2,2.500000e-01,2,5.000000e-01,1,26,401,0
E,2,2.500000e-01,2,5.000000e-01,1,26,451,0
E,2,2.500000e-01,2,5.000000e-01,1,26,455,0
E,2,2.500000e-01,2,5.000000e-01,1,26,531,2
E,2,5.000000e-01,1,5.000000e-01,1,20,537,1
E,2,2.500000e-01,2,5.000000e-01,1,26,557,0
E,2,2.500000e-01,2,5.000000e-01,1,26,606,0
E,2,5.000000e-01,1,5.000000e-01,1,20,695,1
E,2,2.500000e-01,2,5.000000e-01,1,26,837,0
E,2,5.000000e-01,1,5.000000e-01,1,20,879,1
E,2,2.500000e-01,2,5.000000e-01,1,26,881,2
E,2,5.000000e-01,1,5.000000e-01,1,20,895,1
E,2,5.000000e-01,1,5.000000e-01,1,20,902,1
E,2,5.000000e-01,1,5.000000e-01,1,20,940,1
E,2,5.000000e-01,1,5.000000e-01,1,20,944,1
E,2,2.500000e-01,2,5.000000e-01,1,26,945,0
E,2,5.000000e-01,1,5.000000e-01,1,20,946,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1106,0
E,2,5.000000e-01,1,5.000000e-01,1,20,1148,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1149,0
E,2,5.000000e-01,1,5.000000e-01,1,20,1151,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1207,0
E,2,2.500000e-01,2,5.000000e-01,1,26,1268,0
E,2,5.000000e-01,1,5.000000e-01,1,20,1269,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1293,0
E,2,2.500000e-01,2,5.000000e-01,1,26,1404,0
E,2,2.500000e-01,2,5.000000e-01,1,26,1421,0
E,2,5.000000e-01,1,5.000000e-01,1,20,1423,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1499,2
E,2,2.500000e-01,2,5.000000e-01,1,26,1550,0
E,2,2.500000e-01,2,5.000000e-01,1,26,1585,0
E,2,5.000000e-01,1,5.000000e-01,1,20,1587,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1605,0
E,2,5.000000e-01,1,5.000000e-01,1,20,1670,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1674,0
E,2,5.000000e-01,1,5.000000e-01,1,20,1770,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1875,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1903,0
E,2,2.500000e-01,2,5.000000e-01,1,26,1928,0
E,3,3.750000e-01,2,3.750000e-01,2,26,64,1
E,3,1.250000e-01,2,3.750000e-01,2,17,87,0
E,3,3.750000e-01,2,3.750000e-01,2,26,101,1
E,3,1.250000e-01,2,3.750000e-01,2,17,121,0
E,3,1.250000e-01,2,3.750000e-01,2,17,137,0
E,3,3.750000e-01,2,3.750000e-01,2,26,198,1
E,3,3.750000e-01,2,3.750000e-01,2,26,205,1
E,3,3.750000e-01,2,3.750000e-01,2,26,243,2
E,3,3.750000e-01,2,3.750000e-01,2,26,262,1
E,3,1.250000e-01,2,3.750000e-01,2,17,266,0
E,3,3.750000e-01,2,3.750000e-01,2,26,309,1
E,3,1.250000e-01,2,3.750000e-01,2,17,343,0
E,3,1.250000e-01,2,3.750000e-01,2,17,364,0
E,3,3.750000e-01,2,3.750000e-01,2,26,429,1
E,3,1.250000e-01,2,3.750000e-01,2,17,431,0
E,3,1.250000e-01,2,3.750000e-01,2,17,480,0
E,3,1.250000e-01,2,3.750000e-01,2,17,527,0
E,3,1.250000e-01,2,3.750000e-01,2,17,553,0
E,3,3.750000e-01,2,3.750000e-01,2,26,577,1
E,3,3.750000e-01,2,3.750000e-01,2,26,586,2
E,3,1.250000e-01,2,3.750000e-01,2,17,742,0
E,3,3.750000e-01,2,3.750000e-01,2,26,748,1
E,3,3.750000e-01,2,3.750000e-01,2,26,781,1
E,3,3.750000e-01,2,3.750000e-01,2,26,790,1
E,3,1.250000e-01,2,3.750000e-01,2,17,816,0
E,3,3.750000e-01,2,3.750000e-01,2,26,866,2
E,3,3.750000e-01,2,3.750000e-01,2,26,911,2
E,3,3.750000e-01,2,3.750000e-01,2,26,927,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1076,1
E,3,3.750000e-01,2,3.750000e-01,2,26,1097,2
E,3,1.250000e-01,2,3.750000e-01,2,17,1189,0
E,3,3.750000e-01,2,3.750000e-01,2,26,1190,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1212,1
E,3,3.750000e-01,2,3.750000e-01,2,26,1425,1
E,3,3.750000e-01,2,3.750000e-01,2,26,1482,2
E,3,3.750000e-01,2,3.750000e-01,2,26,1486,2
E,3,1.250000e-01,2,3.750000e-01,2,17,1590,0
E,3,3.750000e-01,2,3.750000e-01,2,26,1633,1
E,3,3.750000e-01,2,3.750000e-01,2,26,1657,1
E,3,1.250000e-01,2,3.750000e-01,2,17,1848,0
E,3,1.250000e-01,2,3.750000e-01,2,17,1896,3
E,3,1.250000e-01,2,3.750000e-01,2,17,1929,0
E,3,3.750000e-01,2,3.750000e-01,2,26,1930,2
E,4,2.500000e-01,2,3.750000e-01,1,35,30,1
