aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,7,465,1
E,1,5.000000e-01,2,5.000000e-01,2,7,762,0
E,1,5.000000e-01,2,5.000000e-01,2,7,1230,1
E,1,5.000000e-01,2,5.000000e-01,2,7,1273,0
E,1,5.000000e-01,2,5.000000e-01,2,7,1297,1
E,1,5.000000e-01,2,5.000000e-01,2,7,1454,0
E,1,5.000000e-01,2,5.000000e-01,2,7,1711,1
E,2,2.500000e-01,2,5.000000e-01,1,12,152,0
E,2,2.500000e-01,2,5.000000e-01,1,12,331,2
E,2,2.500000e-01,2,5.000000e-01,1,12,439,0
E,2,5.000000e-01,1,5.000000e-01,1,7,577,1
E,2,2.500000e-01,2,5.000000e-01,1,12,593,0
E,2,2.500000e-01,2,5.000000e-01,1,12,600,2
E,2,5.000000e-01,1,5.000000e-01,1,7,772,1
E,2,5.000000e-01,1,5.000000e-01,1,7,906,1
E,2,2.500000e-01,2,5.000000e-01,1,12,960,0
E,2,2.500000e-01,2,5.000000e-01,1,12,983,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1013,1
E,2,2.500000e-01,2,5.000000e-01,1,12,1097,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1098,1
E,2,2.500000e-01,2,5.000000e-01,1,12,1198,2
E,2,2.500000e-01,2,5.000000e-01,1,12,1295,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1304,1
E,2,2.500000e-01,2,5.000000e-01,1,12,1423,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1649,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1845,1
E,3,3.750000e-01,2,3.750000e-01,2,21,42,1
E,3,3.750000e-01,2,3.750000e-01,2,21,249,1
E,3,3.750000e-01,2,3.750000e-01,2,21,343,1
E,3,3.750000e-01,2,3.750000e-01,2,21,492,1
E,3,1.250000e-01,2,3.750000e-01,2,10,717,0
E,3,1.250000e-01,2,3.750000e-01,2,10,734,3
E,3,1.250000e-01,2,3.750000e-01,2,10,794,0
E,3,3.750000e-01,2,3.750000e-01,2,21,801,1
E,3,1.250000e-01,2,3.750000e-01,2,10,847,3
E,3,1.250000e-01,2,3.750000e-01,2,10,966,3
E,3,3.750000e-01,2,3.750000e-01,2,21,984,2
E,3,3.750000e-01,2,3.750000e-01,2,21,1005,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1011,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1014,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1094,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1126,2
E,3,1.250000e-01,2,3.750000e-01,2,10,1167,3
E,3,1.250000e-01,2,3.750000e-01,2,10,1200,0
E,3,3.750000e-01,2,3.750000e-01,2,21,1276,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1290,1
E,3,1.250000e-01,2,3.750000e-01,2,10,1298,0
E,3,3.750000e-01,2,3.750000e-01,2,21,1378,2
E,3,3.750000e-01,2,3.750000e-01,2,21,1388,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1394,1
E,3,1.250000e-01,2,3.750000e-01,2,10,1405,0
E,3,3.750000e-01,2,3.750000e-01,2,21,1432,2
E,3,3.750000e-01,2,3.750000e-01,2,21,1438,2
E,3,3.750000e-01,2,3.750000e-01,2,21,1483,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1516,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1737,2
E,3,1.250000e-01,2,3.750000e-01,2,10,1784,0
E,4,2.500000e-01,2,3.750000e-01,1,16,69,3
E,4,3.750000e-01,1,3.750000e-01,1,13,121,2
E,4,2.500000e-01,2,3.750000e-01,1,16,145,3
E,4,2.500000e-01,2,3.750000e-01,1,16,334,1
E,4,3.750000e-01,1,3.750000e-01,1,13,440,2
E,4,3.750000e-01,1,3.750000e-01,1,13,548,2
E,4,2.500000e-01,2,3.750000e-01,1,16,571,3
E,4,3.750000e-01,1,3.750000e-01,1,13,599,2
E,4,6.250000e-02,2,3.750000e-01,1,5,625,0
E,4,2.500000e-01,2,3.750000e-01,1,16,684,3
E,4,3.750000e-01,1,3.750000e-01,1,13,770,2
E,4,2.500000e-01,2,3.750000e-01,1,16,788,1
E,4,3.750000e-01,1,3.750000e-01,1,13,916,2
E,4,3.750000e-01,1,3.750000e-01,1,13,932,2
E,4,2.500000e-01,2,3.750000e-01,1,16,961,1
E,4,2.500000e-01,2,3.750000e-01,1,16,963,1
E,4,3.750000e-01,1,3.750000e-01,1,13,988,2
E,4,6.250000e-02,2,3.750000e-01,1,5,1131,0
E,4,3.750000e-01,1,3.750000e-01,1,13,1136,2
E,4,2.500000e-01,2,3.750000e-01,1,16,1189,1
E,4,2.500000e-01,2,3.750000e-01,1,16,1280,3
