aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,21,126,0
E,1,5.000000e-01,2,5.000000e-01,2,21,131,0
E,1,5.000000e-01,2,5.000000e-01,2,21,184,0
E,1,5.000000e-01,2,5.000000e-01,2,21,265,0
E,1,5.000000e-01,2,5.000000e-01,2,21,462,0
E,1,5.000000e-01,2,5.000000e-01,2,21,763,0
E,1,5.000000e-01,2,5.000000e-01,2,21,815,0
E,1,5.000000e-01,2,5.000000e-01,2,21,923,0
E,1,5.000000e-01,2,5.000000e-01,2,21,991,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1122,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1292,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1453,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1661,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1835,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1891,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1983,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2086,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2260,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2304,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2608,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2716,0
E,2,5.000000e-01,1,5.000000e-01,1,18,179,1
E,2,5.000000e-01,1,5.000000e-01,1,18,284,1
E,2,5.000000e-01,1,5.000000e-01,1,18,463,1
E,2,2.500000e-01,2,5.000000e-01,1,16,484,1
E,2,2.500000e-01,2,5.000000e-01,1,16,500,1
E,2,2.500000e-01,2,5.000000e-01,1,16,559,1
E,2,5.000000e-01,1,5.000000e-01,1,18,561,1
E,2,2.500000e-01,2,5.000000e-01,1,16,575,1
E,2,2.500000e-01,2,5.000000e-01,1,16,699,1
E,2,5.000000e-01,1,5.000000e-01,1,18,845,1
E,2,2.500000e-01,2,5.000000e-01,1,16,900,1
E,2,2.500000e-01,2,5.000000e-01,1,16,908,1
E,2,5.000000e-01,1,5.000000e-01,1,18,961,1
E,2,2.500000e-01,2,5.000000e-01,1,16,974,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1117,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1119,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1157,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1163,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1206,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1358,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1385,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1429,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1461,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1494,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1643,1
E,2,5.000000e-01,1,5.000000e-01,1,18,1857,1
E,2,5.000000e-01,1,5.000000e-01,1,18,2020,1
E,2,5.000000e-01,1,5.000000e-01,1,18,2310,1
E,2,5.000000e-01,1,5.000000e-01,1,18,2370,1
E,2,2.500000e-01,2,5.000000e-01,1,16,2406,1
E,2,2.500000e-01,2,5.000000e-01,1,16,2496,1
E,2,5.000000e-01,1,5.000000e-01,1,18,2625,1
E,2,2.500000e-01,2,5.000000e-01,1,16,2699,1
E,2,2.500000e-01,2,5.000000e-01,1,16,2703,1
E,3,3.750000e-01,2,3.750000e-01,2,31,9,2
E,3,3.750000e-01,2,3.750000e-01,2,31,94,2
E,3,3.750000e-01,2,3.750000e-01,2,31,113,2
E,3,1.250000e-01,2,3.750000e-01,2,13,203,2
E,3,3.750000e-01,2,3.750000e-01,2,31,332,2
E,3,3.750000e-01,2,3.750000e-01,2,31,386,2
E,3,3.750000e-01,2,3.750000e-01,2,31,395,2
E,3,3.750000e-01,2,3.750000e-01,2,31,480,2
E,3,3.750000e-01,2,3.750000e-01,2,31,593,2
E,3,3.750000e-01,2,3.750000e-01,2,31,656,2
E,3,3.750000e-01,2,3.750000e-01,2,31,666,2
E,3,3.750000e-01,2,3.750000e-01,2,31,760,2
E,3,1.250000e-01,2,3.750000e-01,2,13,951,2
E,3,1.250000e-01,2,3.750000e-01,2,13,975,2
