species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00277,0.221760,0.999984,74
saccharomyces_arboricola_h_6,SU7_0180,0.314787,0.999961,77
saccharomyces_eubayanus,DI49_1117,0.268727,0.999976,80
naumovozyma_castellii_cbs_4309,NCAS_0I01350,0.362974,0.999960,78
naumovozyma_dairenensis_cbs_421,NDAI_0A07650,0.331489,0.999961,77
tetrapisispora_blattae_cbs_6284,TBLA_0I02160,0.144466,0.999987,69
_candida_glabrata,CAGL0M01694g,0.148315,0.999965,76
tetrapisispora_phaffii_cbs_4417,TPHA_0A03820,0.312723,0.999974,72
zygosaccharomyces_bailii_isa1307,ZBAI_09115,0.064643,0.990790,81
torulaspora_delbrueckii,TDEL_0F02070,0.399505,0.999991,79
zygosaccharomyces_rouxii,ZYRO0G12936g,0.357167,0.999961,77
vanderwaltozyma_polyspora_dsm_70294,Kpol_243p3,0.248477,0.999960,78
zygosaccharomyces_bailii_isa1307,ZBAI_02856,0.067647,0.991670,79
kazachstania_africana_cbs_2517,KAFR_0C00240,0.039815,0.903066,76
kluyveromyces_marxianus_dmku3_1042,KLMA_70359,0.433282,0.999961,77
eremothecium_sinecaudum,AW171_hschr2232,0.185756,0.999991,79
kluyveromyces_lactis,KLLA0_E12475g,0.462949,0.999984,74
eremothecium_cymbalariae_dbvpg_7215,Ecym_7435,0.136365,0.999961,77
hanseniaspora_osmophila,AWRI3579_g2132,0.260356,0.999960,78
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_53988,1.079655,0.999963,57
hanseniaspora_opuntiae,AWRI3578_g3437,0.841362,0.999961,77
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_57040,0.690030,0.999997,25
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_92609,0.803253,0.999965,76
cyberlindnera_jadinii,BN1211_4720,0.540721,0.999960,78
wickerhamomyces_ciferrii,BN7_5916,0.941592,0.999960,78
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_7692,0.075495,0.995261,76
candida_maltosa_xu316,G210_3807,0.595647,0.999991,79
komagataella_pastoris,PAS_chr1-4_0632,0.259568,0.999991,79
_candida_tenuis_atcc_10573,CANTEDRAFT_99240,0.150632,0.999991,79
lodderomyces_elongisporus_nrrl_yb_4239,LELG_00053,0.461558,0.999976,80
scheffersomyces_stipitis_cbs_6054,PICST_80013,0.258522,0.999965,76
candida_albicans_wo_1,CAWG_01369,0.171333,0.999960,78
candida_parapsilosis_cdc317,CPAR2_800600,0.340634,0.999991,79
komagataella_phaffii_cbs_7435,PP7435_CHR1-1443,0.259568,0.999991,79
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0H16903g,0.335710,0.999965,76
ogataea_polymorpha,OGAPODRAFT_16045,0.164659,0.999970,82
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_153919,0.947488,0.999965,76
ogataea_parapolymorpha_dl_1,HPODL_04374,0.210451,0.999904,83
candida_dubliniensis_cd36,CD36_25100,0.100774,0.999991,79
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_49629,0.653068,0.999976,80
pichia_kudriavzevii,JL09_g918,0.330603,0.999960,78
_candida_auris,QG37_03990,0.425999,0.999961,77
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_163839,0.148470,0.999976,80
debaryomyces_fabryi,AC631_02186,0.582165,0.999976,80
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_9862,0.044076,0.933269,78
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_81597,0.405079,0.999960,78
candida_orthopsilosis_co_90_125,CORT_0A00680,0.329840,0.999992,81
meyerozyma_guilliermondii_atcc_6260,PGUG_01248,0.283132,0.999976,80
debaryomyces_hansenii_cbs767,DEHA2E18414g,0.442585,0.999976,80
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_69980,0.376789,0.999934,75
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0G16902g,0.335710,0.999965,76
clavispora_lusitaniae_atcc_42720,CLUG_03993,0.226269,0.999976,80
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_8771,0.762638,0.999981,85
brettanomyces_bruxellensis_awri1499,AWRI1499_0183,0.332814,0.999942,84
kuraishia_capsulata_cbs_1993,KUCA_T00004224001,0.255652,0.999981,85
dothistroma_septosporum,DOTSEDRAFT_70768,0.274924,0.999991,87
uncinocarpus_reesii_1704,UREG_07615,0.041111,0.931801,83
dactylellina_haptotyla_cbs_200_50,H072_1308,0.185374,0.999995,93
beauveria_bassiana_arsef_2860,BBA_01809,0.550671,0.999991,87
pseudogymnoascus_destructans_20631_21,GMDG_07723,0.254179,0.999898,90
colletotrichum_simmondsii,CSIM01_06574,0.325083,0.999991,87
microsporum_gypseum_cbs_118893,MGYG_05935,0.176527,0.999942,84
rhinocladiella_mackenziei_cbs_650_93,Z518_04833,0.069581,0.997763,87
bipolaris_sorokiniana_nd90pr,COCSADRAFT_22292,0.209311,0.999992,81
baudoinia_panamericana_uamh_10762,BAUCODRAFT_27658,0.190354,0.999981,85
aspergillus_fumigatus,CADAFUAG00005303,0.103581,0.999970,82
coccidioides_posadasii_str_silveira,CPSG_09432,0.082855,0.999981,85
fusarium_graminearum,FGRAMPH1_01T07687,0.246038,0.999991,87
penicillium_chrysogenum,EN45_058130,0.276870,0.999991,87
macrophomina_phaseolina_ms6,MPH_10451,0.427789,0.999981,85
emmonsia_crescens_uamh_3008,EMCG_07221,0.097409,0.999981,85
pseudogymnoascus_sp_vkm_f_4246,V492_05713,0.270358,0.999959,98
podospora_anserina_s_mat_,PODANS_4_2740,0.369969,0.999898,90
tolypocladium_ophioglossoides_cbs_100239,TOPH_06456,0.354407,0.999954,101
trichophyton_interdigitale_mr816,H109_01638,0.178788,0.999904,83
pseudogymnoascus_sp_vkm_f_4514_fw_929_,V495_02364,0.371669,0.999959,98
arthrobotrys_oligospora_atcc_24927,AOL_s00075g114,0.177851,0.999904,83
metarhizium_anisopliae,MANI_027445,0.265571,0.999978,100
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_45921,0.812621,0.999981,85
stagonospora_sp_src1lsm3a,IQ06DRAFT_292933,0.431624,0.999942,84
penicillium_griseofulvum,PGRI_048960,0.334599,0.999992,81
yarrowia_lipolytica,YALI0_F30745g,0.289254,0.999987,86
colletotrichum_graminicola,GLRG_03479,0.361899,0.999991,87
byssochlamys_spectabilis_no_5,PVAR5_5855,0.290805,0.999904,83
leptosphaeria_maculans,LEMA_P001150.1,0.279665,0.999981,85
exophiala_oligosperma,PV06_04756,0.128882,0.999974,88
colletotrichum_sublineola,CSUB01_04750,0.350469,0.999991,87
pyrenochaeta_sp_ds3say3a,IQ07DRAFT_591354,0.146234,0.999970,82
colletotrichum_incanum,CI238_05351,0.321875,0.999976,94
trichoderma_reesei,TRIREDRAFT_75890,0.534583,0.999974,88
ophiocordyceps_unilateralis,XA68_1307,0.384682,0.999983,96
colletotrichum_nymphaeae_sa_01,CNYM01_02286,0.390368,0.999991,87
metarhizium_guizhouense_arsef_977,MGU_06978,0.300093,0.999959,98
aspergillus_ruber_cbs_135680,EURHEDRAFT_408562,0.334382,0.999974,88
neosartorya_fischeri,CADNFIAG00006232,0.121463,0.999970,82
microdochium_bolleyi,Micbo1qcDRAFT_135219,0.342336,0.999904,83
ceratocystis_platani,CFO_g2719,0.255784,0.999942,84
neofusicoccum_parvum_ucrnp2,UCRNP2_7472,0.524368,0.999987,86
phialocephala_scopiformis,LY89DRAFT_738559,0.149660,0.999981,85
aspergillus_rambellii,ARAM_003205,0.101872,0.999970,82
verticillium_alfalfae_vams_102,VDBG_04290,0.330216,0.999991,79
sclerotinia_borealis_f_4157,SBOR_2477,0.327667,0.999987,86
magnaporthe_oryzae,MGG_01014,0.222156,0.999993,91
chaetomium_thermophilum_var_thermophilum_dsm_1495,CTHT_0045900,0.471424,0.999974,88
acremonium_chrysogenum_atcc_11550,ACRE_039600,0.216647,0.999987,86
acidomyces_richmondensis_bfw,M433DRAFT_7559,0.036497,0.900660,82
cladophialophora_immunda,PV07_08190,0.067676,0.999023,92
pseudogymnoascus_sp_vkm_f_4520_fw_2644_,V502_01308,0.166736,0.999971,134
aureobasidium_melanogenum_cbs_110374,M437DRAFT_50075,0.533665,0.999987,86
exophiala_aquamarina_cbs_119918,A1O9_00485,0.073512,0.999395,86
fusarium_verticillioides,FVEG_02948,0.203502,0.999981,85
metarhizium_acridum_cqma_102,MAC_07740,0.295668,0.999986,95
sugiyamaella_lignohabitans,AWJ20_945,0.331802,0.999997,25
colletotrichum_tofieldiae,CT0861_02496,0.331181,0.999986,95
eutypa_lata_ucrel1,UCREL1_10121,0.108573,0.999970,82
penicillium_rubens_wisconsin_54_1255,PCH_Pc20g03600,0.353651,0.999970,82
emmonsia_sp_cac_2015a,ACJ72_00624,0.131740,0.999942,84
aspergillus_ochraceoroseus,AOCH_000033,0.101872,0.999970,82
fusarium_culmorum,FCUL_03330.1,0.199426,0.999991,87
fusarium_solani,NechaG60993,0.286311,0.999981,85
fonsecaea_monophora,AYO21_01555,0.045428,0.957592,86
penicillium_brasilianum,PMG11_05962,0.252496,0.999987,86
fusarium_fujikuroi,FFUJ_07227,0.228867,0.999981,85
penicillium_digitatum_phi26,PDIG_04090,0.301036,0.999942,84
pseudogymnoascus_sp_24mn13,VE04_05291,0.267368,0.999898,90
purpureocillium_lilacinum,VFPBJ_09381,0.395333,0.999991,87
pseudogymnoascus_sp_05ny08,VF21_01957,0.212322,0.999959,98
arthroderma_otae_cbs_113480,MCYG_06029,0.208003,0.999942,84
phaeomoniella_chlamydospora,UCRPC4_g03525,0.128005,0.999987,86
sporothrix_brasiliensis_5110,SPBR_08116,0.487922,0.999942,84
trichophyton_rubrum_cbs_118892,TERG_06077,0.116718,0.999981,85
pestalotiopsis_fici_w106_1,PFICI_06587,0.344560,0.999942,84
talaromyces_stipitatus_atcc_10500,TSTA_004230,0.223204,0.999904,83
setosphaeria_turcica_et28a,SETTUDRAFT_47098,0.435480,0.999904,83
ophiostoma_piceae_uamh_11346,F503_00958,0.656917,0.999987,86
trichoderma_atroviride_imi_206040,TRIATDRAFT_147765,0.348230,0.999987,86
verticillium_dahliae,VDAG_01520,0.294061,0.999974,88
metarhizium_brunneum_arsef_3297,MBR_08411,0.274670,0.999954,101
talaromyces_marneffei_atcc_18224,PMAA_012930,0.375562,0.999904,83
aspergillus_udagawae,AUD_4390,0.087376,0.999942,84
bipolaris_zeicola_26_r_13,COCCADRAFT_23976,0.231601,0.999970,82
chaetomium_globosum_cbs_148_51,CHGG_08675,0.331501,0.999993,91
verticillium_longisporum,BN1708_008489,0.252798,0.999965,76
exophiala_xenobiotica,PV05_06795,0.083376,0.999991,87
verticillium_longisporum,BN1708_016506,0.229920,0.950108,14
aspergillus_luchuensis,RIB2604_01710690,0.309177,0.999992,81
aspergillus_nomius_nrrl_13137,ANOM_001181,0.206503,0.999995,93
trichophyton_tonsurans_cbs_112818,TESG_07358,0.154114,0.999904,83
