aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,15,86,1
E,1,5.000000e-01,2,5.000000e-01,2,15,242,1
E,1,5.000000e-01,2,5.000000e-01,2,15,244,1
E,1,5.000000e-01,2,5.000000e-01,2,15,291,1
E,1,5.000000e-01,2,5.000000e-01,2,15,309,1
E,1,5.000000e-01,2,5.000000e-01,2,15,857,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1016,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1217,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1422,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1549,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1745,0
E,1,5.000000e-01,2,5.000000e-01,2,15,1770,0
E,1,5.000000e-01,2,5.000000e-01,2,15,2001,1
E,1,5.000000e-01,2,5.000000e-01,2,15,2075,1
E,1,5.000000e-01,2,5.000000e-01,2,15,2120,0
E,2,5.000000e-01,1,5.000000e-01,1,8,72,1
E,2,2.500000e-01,2,5.000000e-01,1,13,191,2
E,2,2.500000e-01,2,5.000000e-01,1,13,278,2
E,2,2.500000e-01,2,5.000000e-01,1,13,289,2
E,2,2.500000e-01,2,5.000000e-01,1,13,318,2
E,2,5.000000e-01,1,5.000000e-01,1,8,848,1
E,2,5.000000e-01,1,5.000000e-01,1,8,950,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1023,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1125,2
E,2,5.000000e-01,1,5.000000e-01,1,8,1324,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1431,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1437,0
E,2,2.500000e-01,2,5.000000e-01,1,13,1522,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1540,2
E,2,5.000000e-01,1,5.000000e-01,1,8,1600,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1689,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1707,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1818,2
E,2,5.000000e-01,1,5.000000e-01,1,8,1892,1
E,2,2.500000e-01,2,5.000000e-01,1,13,2137,2
E,2,5.000000e-01,1,5.000000e-01,1,8,2186,1
E,3,3.750000e-01,2,3.750000e-01,2,9,48,2
E,3,1.250000e-01,2,3.750000e-01,2,9,114,3
E,3,1.250000e-01,2,3.750000e-01,2,9,139,3
E,3,3.750000e-01,2,3.750000e-01,2,9,198,2
E,3,3.750000e-01,2,3.750000e-01,2,9,532,2
E,3,3.750000e-01,2,3.750000e-01,2,9,571,2
E,3,1.250000e-01,2,3.750000e-01,2,9,648,3
E,3,1.250000e-01,2,3.750000e-01,2,9,679,3
E,3,3.750000e-01,2,3.750000e-01,2,9,885,1
E,3,1.250000e-01,2,3.750000e-01,2,9,1000,3
E,3,3.750000e-01,2,3.750000e-01,2,9,1017,2
E,3,3.750000e-01,2,3.750000e-01,2,9,1102,2
E,3,3.750000e-01,2,3.750000e-01,2,9,1193,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1194,3
E,3,3.750000e-01,2,3.750000e-01,2,9,1459,1
E,3,1.250000e-01,2,3.750000e-01,2,9,1716,3
E,3,1.250000e-01,2,3.750000e-01,2,9,1744,3
E,3,1.250000e-01,2,3.750000e-01,2,9,1883,3
E,4,2.500000e-01,2,3.750000e-01,1,9,141,3
E,4,6.250000e-02,2,3.750000e-01,1,16,157,0
E,4,2.500000e-01,2,3.750000e-01,1,9,363,3
E,4,6.250000e-02,2,3.750000e-01,1,16,533,4
E,4,2.500000e-01,2,3.750000e-01,1,9,559,3
E,4,2.500000e-01,2,3.750000e-01,1,9,671,3
E,4,2.500000e-01,2,3.750000e-01,1,9,710,3
E,4,6.250000e-02,2,3.750000e-01,1,16,751,4
E,4,6.250000e-02,2,3.750000e-01,1,16,789,4
E,4,6.250000e-02,2,3.750000e-01,1,16,861,4
E,4,2.500000e-01,2,3.750000e-01,1,9,868,3
E,4,3.750000e-01,1,3.750000e-01,1,2,952,2
E,4,2.500000e-01,2,3.750000e-01,1,9,1161,1
E,4,6.250000e-02,2,3.750000e-01,1,16,1164,4
E,4,6.250000e-02,2,3.750000e-01,1,16,1167,4
