aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,2.952668e-01,1,7.047332e-01,1,24,41,1
E,1,2.952668e-01,1,7.047332e-01,1,24,53,1
E,1,2.952668e-01,1,7.047332e-01,1,24,75,1
E,1,7.047332e-01,1,7.047332e-01,1,49,168,0
E,1,7.047332e-01,1,7.047332e-01,1,49,173,0
E,1,2.952668e-01,1,7.047332e-01,1,24,225,1
E,1,2.952668e-01,1,7.047332e-01,1,24,234,1
E,1,7.047332e-01,1,7.047332e-01,1,49,253,0
E,1,7.047332e-01,1,7.047332e-01,1,49,274,0
E,1,7.047332e-01,1,7.047332e-01,1,49,365,0
E,1,7.047332e-01,1,7.047332e-01,1,49,366,0
E,1,2.952668e-01,1,7.047332e-01,1,24,417,1
E,1,2.952668e-01,1,7.047332e-01,1,24,437,1
E,1,7.047332e-01,1,7.047332e-01,1,49,438,0
E,1,7.047332e-01,1,7.047332e-01,1,49,510,0
E,1,7.047332e-01,1,7.047332e-01,1,49,530,0
E,1,7.047332e-01,1,7.047332e-01,1,49,537,0
E,1,7.047332e-01,1,7.047332e-01,1,49,557,0
E,1,7.047332e-01,1,7.047332e-01,1,49,573,0
E,1,7.047332e-01,1,7.047332e-01,1,49,588,0
E,1,7.047332e-01,1,7.047332e-01,1,49,610,0
E,1,7.047332e-01,1,7.047332e-01,1,49,685,0
E,1,7.047332e-01,1,7.047332e-01,1,49,739,0
E,1,7.047332e-01,1,7.047332e-01,1,49,804,0
E,1,7.047332e-01,1,7.047332e-01,1,49,827,0
E,1,7.047332e-01,1,7.047332e-01,1,49,832,0
E,1,7.047332e-01,1,7.047332e-01,1,49,915,0
E,1,7.047332e-01,1,7.047332e-01,1,49,947,0
E,1,2.952668e-01,1,7.047332e-01,1,24,955,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1016,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1059,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1065,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1116,1
E,1,2.952668e-01,1,7.047332e-01,1,24,1118,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1120,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1125,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1133,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1135,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1161,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1180,1
E,1,2.952668e-01,1,7.047332e-01,1,24,1189,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1216,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1234,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1242,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1250,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1254,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1255,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1257,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1265,1
E,1,2.952668e-01,1,7.047332e-01,1,24,1275,1
E,1,2.952668e-01,1,7.047332e-01,1,24,1276,1
E,1,2.952668e-01,1,7.047332e-01,1,24,1279,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1288,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1307,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1312,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1318,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1324,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1326,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1327,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1328,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1330,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1331,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1332,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1339,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1344,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1356,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1363,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1365,0
E,1,2.952668e-01,1,7.047332e-01,1,24,1366,1
E,1,7.047332e-01,1,7.047332e-01,1,49,1370,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1375,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1392,0
E,1,7.047332e-01,1,7.047332e-01,1,49,1404,0
E,2,4.966489e-01,1,4.966489e-01,1,36,12,0
E,2,4.161686e-01,1,4.966489e-01,1,25,13,1
E,2,4.966489e-01,1,4.966489e-01,1,36,23,0
E,2,4.966489e-01,1,4.966489e-01,1,36,28,0
E,2,4.966489e-01,1,4.966489e-01,1,36,42,0
E,2,8.718247e-02,1,4.966489e-01,1,13,56,2
E,2,4.966489e-01,1,4.966489e-01,1,36,91,0
E,2,4.161686e-01,1,4.966489e-01,1,25,109,1
E,2,4.161686e-01,1,4.966489e-01,1,25,121,1
E,2,4.161686e-01,1,4.966489e-01,1,25,123,1
E,2,4.966489e-01,1,4.966489e-01,1,36,135,0
E,2,4.161686e-01,1,4.966489e-01,1,25,136,1
E,2,4.966489e-01,1,4.966489e-01,1,36,158,0
E,2,4.966489e-01,1,4.966489e-01,1,36,194,0
E,2,8.718247e-02,1,4.966489e-01,1,13,197,2
E,2,4.161686e-01,1,4.966489e-01,1,25,206,1
E,2,4.161686e-01,1,4.966489e-01,1,25,231,1
E,2,4.161686e-01,1,4.966489e-01,1,25,377,1
E,2,4.966489e-01,1,4.966489e-01,1,36,395,0
E,2,4.966489e-01,1,4.966489e-01,1,36,476,0
E,2,4.161686e-01,1,4.966489e-01,1,25,482,1
E,2,4.966489e-01,1,4.966489e-01,1,36,604,0
E,2,8.718247e-02,1,4.966489e-01,1,13,750,2
E,2,4.966489e-01,1,4.966489e-01,1,36,812,0
E,2,4.161686e-01,1,4.966489e-01,1,25,849,1
E,2,4.966489e-01,1,4.966489e-01,1,36,858,0
E,2,4.161686e-01,1,4.966489e-01,1,25,866,1
E,2,4.966489e-01,1,4.966489e-01,1,36,914,0
E,2,4.966489e-01,1,4.966489e-01,1,36,966,0
E,2,4.161686e-01,1,4.966489e-01,1,25,968,1
E,2,4.966489e-01,1,4.966489e-01,1,36,990,0
E,2,4.161686e-01,1,4.966489e-01,1,25,1010,1
E,2,4.966489e-01,1,4.966489e-01,1,36,1011,0
E,2,4.161686e-01,1,4.966489e-01,1,25,1027,1
E,2,4.161686e-01,1,4.966489e-01,1,25,1036,1
E,2,8.718247e-02,1,4.966489e-01,1,13,1038,2
E,2,4.966489e-01,1,4.966489e-01,1,36,1064,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1086,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1121,0
E,2,8.718247e-02,1,4.966489e-01,1,13,1136,2
E,2,8.718247e-02,1,4.966489e-01,1,13,1137,2
E,2,4.966489e-01,1,4.966489e-01,1,36,1139,0
E,2,8.718247e-02,1,4.966489e-01,1,13,1140,2
E,2,8.718247e-02,1,4.966489e-01,1,13,1141,2
E,2,4.966489e-01,1,4.966489e-01,1,36,1142,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1143,0
E,2,8.718247e-02,1,4.966489e-01,1,13,1149,2
E,2,4.966489e-01,1,4.966489e-01,1,36,1153,0
E,2,4.161686e-01,1,4.966489e-01,1,25,1159,1
E,2,8.718247e-02,1,4.966489e-01,1,13,1186,2
E,2,8.718247e-02,1,4.966489e-01,1,13,1194,2
E,2,4.161686e-01,1,4.966489e-01,1,25,1217,1
E,2,4.161686e-01,1,4.966489e-01,1,25,1218,1
E,2,4.161686e-01,1,4.966489e-01,1,25,1219,1
E,2,4.161686e-01,1,4.966489e-01,1,25,1220,1
E,2,4.966489e-01,1,4.966489e-01,1,36,1224,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1228,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1233,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1296,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1298,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1303,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1304,0
E,2,8.718247e-02,1,4.966489e-01,1,13,1329,2
E,2,4.161686e-01,1,4.966489e-01,1,25,1333,1
E,2,4.966489e-01,1,4.966489e-01,1,36,1340,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1346,0
E,2,4.966489e-01,1,4.966489e-01,1,36,1354,0
E,2,8.718247e-02,1,4.966489e-01,1,13,1357,2
E,2,4.966489e-01,1,4.966489e-01,1,36,1361,0
E,2,4.161686e-01,1,4.966489e-01,1,25,1377,1
E,2,4.161686e-01,1,4.966489e-01,1,25,1396,1
E,2,4.966489e-01,1,4.966489e-01,1,36,1397,0
E,2,4.161686e-01,1,4.966489e-01,1,25,1403,1
E,2,4.161686e-01,1,4.966489e-01,1,25,1408,1
E,3,3.500050e-01,1,4.399318e-01,1,29,15,0
E,3,3.500050e-01,1,4.399318e-01,1,29,30,0
E,3,4.399318e-01,1,4.399318e-01,1,16,35,1
E,3,3.500050e-01,1,4.399318e-01,1,29,58,0
E,3,3.500050e-01,1,4.399318e-01,1,29,62,0
E,3,3.500050e-01,1,4.399318e-01,1,29,134,0
E,3,4.399318e-01,1,4.399318e-01,1,16,153,1
E,3,4.399318e-01,1,4.399318e-01,1,16,176,1
E,3,4.399318e-01,1,4.399318e-01,1,16,196,1
E,3,3.500050e-01,1,4.399318e-01,1,29,259,0
E,3,3.500050e-01,1,4.399318e-01,1,29,315,0
E,3,3.500050e-01,1,4.399318e-01,1,29,379,0
E,3,4.399318e-01,1,4.399318e-01,1,16,381,1
E,3,4.399318e-01,1,4.399318e-01,1,16,385,1
E,3,4.399318e-01,1,4.399318e-01,1,16,416,1
E,3,2.574209e-02,1,4.399318e-01,1,2,442,3
E,3,4.399318e-01,1,4.399318e-01,1,16,499,1
E,3,3.500050e-01,1,4.399318e-01,1,29,504,0
E,3,3.500050e-01,1,4.399318e-01,1,29,506,0
