aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,30,195,1
E,1,5.000000e-01,2,5.000000e-01,2,30,241,1
E,1,5.000000e-01,2,5.000000e-01,2,30,269,1
E,1,5.000000e-01,2,5.000000e-01,2,30,565,1
E,1,5.000000e-01,2,5.000000e-01,2,30,769,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1159,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1180,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1210,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1278,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1279,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1323,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1333,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1429,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1571,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1776,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1821,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1829,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1961,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1983,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2000,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2608,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2610,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2781,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2814,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2880,1
E,1,5.000000e-01,2,5.000000e-01,2,30,3426,1
E,1,5.000000e-01,2,5.000000e-01,2,30,3650,1
E,1,5.000000e-01,2,5.000000e-01,2,30,3662,1
E,1,5.000000e-01,2,5.000000e-01,2,30,3672,1
E,1,5.000000e-01,2,5.000000e-01,2,30,3743,1
E,2,5.000000e-01,1,5.000000e-01,1,35,14,1
E,2,2.500000e-01,2,5.000000e-01,1,31,36,1
E,2,2.500000e-01,2,5.000000e-01,1,31,79,1
E,2,5.000000e-01,1,5.000000e-01,1,35,198,1
E,2,5.000000e-01,1,5.000000e-01,1,35,261,1
E,2,2.500000e-01,2,5.000000e-01,1,31,307,1
E,2,5.000000e-01,1,5.000000e-01,1,35,433,1
E,2,5.000000e-01,1,5.000000e-01,1,35,519,1
E,2,2.500000e-01,2,5.000000e-01,1,31,542,1
E,2,2.500000e-01,2,5.000000e-01,1,31,585,1
E,2,2.500000e-01,2,5.000000e-01,1,31,587,1
E,2,5.000000e-01,1,5.000000e-01,1,35,643,1
E,2,5.000000e-01,1,5.000000e-01,1,35,813,1
E,2,2.500000e-01,2,5.000000e-01,1,31,956,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1039,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1145,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1146,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1191,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1340,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1360,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1364,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1448,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1501,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1523,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1532,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1538,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1541,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1562,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1574,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1613,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1627,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1689,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1773,1
E,2,5.000000e-01,1,5.000000e-01,1,35,1834,1
E,2,2.500000e-01,2,5.000000e-01,1,31,1875,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2119,1
E,2,5.000000e-01,1,5.000000e-01,1,35,2147,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2330,1
E,2,5.000000e-01,1,5.000000e-01,1,35,2340,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2387,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2398,1
E,2,5.000000e-01,1,5.000000e-01,1,35,2507,1
E,2,5.000000e-01,1,5.000000e-01,1,35,2520,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2524,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2558,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2729,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2744,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2854,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2874,1
E,2,5.000000e-01,1,5.000000e-01,1,35,2980,1
E,2,2.500000e-01,2,5.000000e-01,1,31,2989,1
E,2,5.000000e-01,1,5.000000e-01,1,35,2999,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3010,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3073,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3128,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3153,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3165,1
E,2,2.500000e-01,2,5.000000e-01,1,31,3195,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3402,1
E,2,2.500000e-01,2,5.000000e-01,1,31,3447,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3560,1
E,2,2.500000e-01,2,5.000000e-01,1,31,3564,1
E,2,2.500000e-01,2,5.000000e-01,1,31,3565,1
E,2,5.000000e-01,1,5.000000e-01,1,35,3572,1
E,2,2.500000e-01,2,5.000000e-01,1,31,3719,1
E,2,2.500000e-01,2,5.000000e-01,1,31,3799,1
E,3,3.750000e-01,2,3.750000e-01,2,52,140,2
E,3,3.750000e-01,2,3.750000e-01,2,52,218,2
E,3,1.250000e-01,2,3.750000e-01,2,16,321,2
E,3,3.750000e-01,2,3.750000e-01,2,52,325,2
E,3,3.750000e-01,2,3.750000e-01,2,52,515,2
E,3,3.750000e-01,2,3.750000e-01,2,52,530,2
E,3,1.250000e-01,2,3.750000e-01,2,16,563,2
E,3,3.750000e-01,2,3.750000e-01,2,52,639,2
E,3,1.250000e-01,2,3.750000e-01,2,16,693,2
E,3,3.750000e-01,2,3.750000e-01,2,52,697,2
E,3,3.750000e-01,2,3.750000e-01,2,52,738,2
E,3,1.250000e-01,2,3.750000e-01,2,16,845,2
E,3,3.750000e-01,2,3.750000e-01,2,52,994,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1187,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1193,2
E,3,1.250000e-01,2,3.750000e-01,2,16,1215,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1371,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1382,2
E,3,1.250000e-01,2,3.750000e-01,2,16,1452,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1474,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1481,2
E,3,1.250000e-01,2,3.750000e-01,2,16,1531,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1754,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1759,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1774,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1807,2
E,3,1.250000e-01,2,3.750000e-01,2,16,1810,2
E,3,1.250000e-01,2,3.750000e-01,2,16,1833,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1876,2
E,3,3.750000e-01,2,3.750000e-01,2,52,1913,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2012,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2024,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2067,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2221,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2240,2
E,3,1.250000e-01,2,3.750000e-01,2,16,2254,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2309,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2417,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2510,2
E,3,1.250000e-01,2,3.750000e-01,2,16,2551,2
E,3,1.250000e-01,2,3.750000e-01,2,16,2580,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2587,2
E,3,3.750000e-01,2,3.750000e-01,2,52,2611,2
