aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,39,113,0
E,1,5.000000e-01,2,5.000000e-01,2,39,282,0
E,1,5.000000e-01,2,5.000000e-01,2,39,305,0
E,1,5.000000e-01,2,5.000000e-01,2,39,329,0
E,1,5.000000e-01,2,5.000000e-01,2,39,562,0
E,1,5.000000e-01,2,5.000000e-01,2,39,690,0
E,1,5.000000e-01,2,5.000000e-01,2,39,785,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1044,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1127,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1134,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1261,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1440,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1729,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1800,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1801,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1802,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1805,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1807,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1810,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1817,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1821,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1824,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1942,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2277,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2674,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2728,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2758,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2849,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2896,0
E,1,5.000000e-01,2,5.000000e-01,2,39,3072,0
E,1,5.000000e-01,2,5.000000e-01,2,39,3860,0
E,1,5.000000e-01,2,5.000000e-01,2,39,3868,0
E,1,5.000000e-01,2,5.000000e-01,2,39,4495,0
E,1,5.000000e-01,2,5.000000e-01,2,39,4636,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5035,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5038,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5123,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5191,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5338,0
E,2,5.000000e-01,1,5.000000e-01,1,20,51,1
E,2,2.500000e-01,2,5.000000e-01,1,19,81,1
E,2,2.500000e-01,2,5.000000e-01,1,19,260,1
E,2,5.000000e-01,1,5.000000e-01,1,20,274,1
E,2,2.500000e-01,2,5.000000e-01,1,19,311,1
E,2,2.500000e-01,2,5.000000e-01,1,19,404,1
E,2,5.000000e-01,1,5.000000e-01,1,20,612,1
E,2,2.500000e-01,2,5.000000e-01,1,19,739,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1166,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1176,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1270,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1470,1
E,2,2.500000e-01,2,5.000000e-01,1,19,1525,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1531,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1798,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1799,1
E,2,2.500000e-01,2,5.000000e-01,1,19,1803,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1903,1
E,2,5.000000e-01,1,5.000000e-01,1,20,1921,1
E,2,2.500000e-01,2,5.000000e-01,1,19,2250,1
E,2,2.500000e-01,2,5.000000e-01,1,19,2285,1
E,2,2.500000e-01,2,5.000000e-01,1,19,2314,1
E,2,2.500000e-01,2,5.000000e-01,1,19,2399,1
E,2,2.500000e-01,2,5.000000e-01,1,19,2400,1
E,2,5.000000e-01,1,5.000000e-01,1,20,2807,1
E,2,2.500000e-01,2,5.000000e-01,1,19,2911,1
E,2,5.000000e-01,1,5.000000e-01,1,20,2936,1
E,2,5.000000e-01,1,5.000000e-01,1,20,2960,1
E,2,2.500000e-01,2,5.000000e-01,1,19,3479,1
E,2,2.500000e-01,2,5.000000e-01,1,19,3785,1
E,2,2.500000e-01,2,5.000000e-01,1,19,3830,1
E,2,5.000000e-01,1,5.000000e-01,1,20,4007,1
E,2,5.000000e-01,1,5.000000e-01,1,20,4205,1
E,2,2.500000e-01,2,5.000000e-01,1,19,4457,1
E,2,5.000000e-01,1,5.000000e-01,1,20,4501,1
E,2,5.000000e-01,1,5.000000e-01,1,20,4523,1
E,2,2.500000e-01,2,5.000000e-01,1,19,4891,1
E,2,2.500000e-01,2,5.000000e-01,1,19,5124,1
E,2,5.000000e-01,1,5.000000e-01,1,20,5222,1
E,3,1.250000e-01,2,3.750000e-01,2,18,25,3
E,3,3.750000e-01,2,3.750000e-01,2,53,47,3
E,3,3.750000e-01,2,3.750000e-01,2,53,53,3
E,3,3.750000e-01,2,3.750000e-01,2,53,72,3
E,3,3.750000e-01,2,3.750000e-01,2,53,80,3
E,3,3.750000e-01,2,3.750000e-01,2,53,91,3
E,3,3.750000e-01,2,3.750000e-01,2,53,138,3
E,3,3.750000e-01,2,3.750000e-01,2,53,289,3
E,3,1.250000e-01,2,3.750000e-01,2,18,309,3
E,3,1.250000e-01,2,3.750000e-01,2,18,857,3
E,3,1.250000e-01,2,3.750000e-01,2,18,859,3
E,3,1.250000e-01,2,3.750000e-01,2,18,937,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1100,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1174,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1304,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1355,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1356,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1494,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1562,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1592,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1668,3
E,3,1.250000e-01,2,3.750000e-01,2,18,1742,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1756,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1786,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1804,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1808,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1809,3
E,3,1.250000e-01,2,3.750000e-01,2,18,1813,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1814,3
E,3,3.750000e-01,2,3.750000e-01,2,53,1993,3
E,3,3.750000e-01,2,3.750000e-01,2,53,2033,3
E,3,3.750000e-01,2,3.750000e-01,2,53,2044,3
E,3,3.750000e-01,2,3.750000e-01,2,53,2045,3
E,3,3.750000e-01,2,3.750000e-01,2,53,2055,3
E,3,1.250000e-01,2,3.750000e-01,2,18,2356,3
E,3,3.750000e-01,2,3.750000e-01,2,53,2357,3
E,3,3.750000e-01,2,3.750000e-01,2,53,2415,3
E,3,3.750000e-01,2,3.750000e-01,2,53,2813,3
