aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.175088e-01,1,5.175088e-01,1,1,52,1
E,1,4.824912e-01,1,5.175088e-01,1,4,59,0
E,1,4.824912e-01,1,5.175088e-01,1,4,178,0
E,1,4.824912e-01,1,5.175088e-01,1,4,199,0
E,1,4.824912e-01,1,5.175088e-01,1,4,210,0
E,2,2.678154e-01,1,4.993869e-01,1,6,9,2
E,2,2.678154e-01,1,4.993869e-01,1,6,26,2
E,2,4.993869e-01,1,4.993869e-01,1,3,32,1
E,2,2.678154e-01,1,4.993869e-01,1,6,43,2
E,2,2.678154e-01,1,4.993869e-01,1,6,63,2
E,2,2.678154e-01,1,4.993869e-01,1,6,68,2
E,2,2.327977e-01,1,4.993869e-01,1,3,111,0
E,2,2.327977e-01,1,4.993869e-01,1,3,122,0
E,2,2.678154e-01,1,4.993869e-01,1,6,169,2
E,2,4.993869e-01,1,4.993869e-01,1,3,173,1
E,2,4.993869e-01,1,4.993869e-01,1,3,191,1
E,2,2.327977e-01,1,4.993869e-01,1,3,216,0
E,3,3.876557e-01,1,3.876557e-01,1,7,1,2
E,3,3.614247e-01,1,3.876557e-01,1,1,24,1
E,3,3.876557e-01,1,3.876557e-01,1,7,77,2
E,3,1.123229e-01,1,3.876557e-01,1,2,120,0
E,3,1.123229e-01,1,3.876557e-01,1,2,123,0
E,3,3.876557e-01,1,3.876557e-01,1,7,139,2
E,3,1.385968e-01,1,3.876557e-01,1,2,140,3
E,3,3.876557e-01,1,3.876557e-01,1,7,148,2
E,3,1.385968e-01,1,3.876557e-01,1,2,163,3
E,3,3.876557e-01,1,3.876557e-01,1,7,167,2
E,3,3.876557e-01,1,3.876557e-01,1,7,179,2
E,3,3.876557e-01,1,3.876557e-01,1,7,192,2
E,4,5.419479e-02,1,3.740809e-01,1,4,5,0
E,4,5.419479e-02,1,3.740809e-01,1,4,7,0
E,4,3.740809e-01,1,3.740809e-01,1,6,17,2
E,4,2.325123e-01,1,3.740809e-01,1,2,21,1
E,4,2.674870e-01,1,3.740809e-01,1,3,37,3
E,4,2.674870e-01,1,3.740809e-01,1,3,39,3
E,4,3.740809e-01,1,3.740809e-01,1,6,44,2
E,4,2.674870e-01,1,3.740809e-01,1,3,56,3
E,4,3.740809e-01,1,3.740809e-01,1,6,106,2
E,4,5.419479e-02,1,3.740809e-01,1,4,130,0
E,4,2.325123e-01,1,3.740809e-01,1,2,132,1
E,4,3.740809e-01,1,3.740809e-01,1,6,143,2
E,4,3.740809e-01,1,3.740809e-01,1,6,189,2
E,4,5.419479e-02,1,3.740809e-01,1,4,203,0
E,4,3.740809e-01,1,3.740809e-01,1,6,205,2
E,5,1.402314e-01,1,3.226503e-01,1,3,14,1
E,5,3.008179e-01,1,3.226503e-01,1,6,20,2
E,5,3.008179e-01,1,3.226503e-01,1,6,23,2
E,5,3.008179e-01,1,3.226503e-01,1,6,28,2
E,5,3.226503e-01,1,3.226503e-01,1,5,72,3
E,5,3.226503e-01,1,3.226503e-01,1,5,125,3
E,5,1.402314e-01,1,3.226503e-01,1,3,137,1
E,5,3.226503e-01,1,3.226503e-01,1,5,149,3
E,5,3.008179e-01,1,3.226503e-01,1,6,155,2
E,5,3.226503e-01,1,3.226503e-01,1,5,156,3
E,5,3.226503e-01,1,3.226503e-01,1,5,161,3
E,5,1.730336e-01,1,3.226503e-01,1,1,174,4
E,5,1.402314e-01,1,3.226503e-01,1,3,190,1
E,5,3.008179e-01,1,3.226503e-01,1,6,194,2
E,5,3.008179e-01,1,3.226503e-01,1,6,197,2
E,6,2.177130e-01,1,3.113518e-01,1,4,2,2
E,6,8.119250e-02,1,3.113518e-01,1,1,10,1
E,6,2.177130e-01,1,3.113518e-01,1,4,42,2
E,6,2.504615e-01,1,3.113518e-01,1,3,47,4
E,6,2.177130e-01,1,3.113518e-01,1,4,66,2
E,6,2.504615e-01,1,3.113518e-01,1,3,73,4
E,6,2.177130e-01,1,3.113518e-01,1,4,91,2
E,6,3.113518e-01,1,3.113518e-01,1,2,141,3
E,6,2.504615e-01,1,3.113518e-01,1,3,157,4
E,6,1.920908e-02,1,3.113518e-01,1,1,181,6
E,6,3.113518e-01,1,3.113518e-01,1,2,208,3
E,7,1.470624e-01,1,2.819728e-01,1,3,6,2
E,7,4.570378e-02,1,2.819728e-01,1,2,11,1
E,7,1.470624e-01,1,2.819728e-01,1,3,22,2
E,7,2.819728e-01,1,2.819728e-01,1,4,34,4
E,7,2.819728e-01,1,2.819728e-01,1,4,53,4
E,7,2.819728e-01,1,2.819728e-01,1,4,70,4
E,7,1.814625e-01,1,2.819728e-01,1,1,110,5
E,7,4.570378e-02,1,2.819728e-01,1,2,114,1
E,7,2.628929e-01,1,2.819728e-01,1,1,177,3
E,7,1.470624e-01,1,2.819728e-01,1,3,193,2
E,7,2.819728e-01,1,2.819728e-01,1,4,214,4
E,8,2.029496e-01,1,2.720988e-01,1,3,8,3
E,8,2.029496e-01,1,2.720988e-01,1,3,38,3
E,8,9.460843e-02,1,2.720988e-01,1,3,40,2
E,8,2.334774e-01,1,2.720988e-01,1,3,41,5
E,8,3.837104e-02,1,2.720988e-01,1,1,64,7
E,8,2.029496e-01,1,2.720988e-01,1,3,71,3
E,8,2.334774e-01,1,2.720988e-01,1,3,80,5
E,8,1.252112e-01,1,2.720988e-01,1,1,109,6
E,8,2.520191e-02,1,2.720988e-01,1,1,128,1
E,8,9.460843e-02,1,2.720988e-01,1,3,144,2
E,8,9.460843e-02,1,2.720988e-01,1,3,186,2
E,8,2.334774e-01,1,2.720988e-01,1,3,195,5
E,9,1.468821e-01,1,2.534643e-01,1,1,159,3
E,9,8.331161e-02,1,2.534643e-01,1,1,165,7
E,9,2.363135e-01,1,2.534643e-01,1,2,182,4
E,9,2.534643e-01,1,2.534643e-01,1,1,184,5
E,9,1.367966e-02,1,2.534643e-01,1,1,206,1
E,9,2.363135e-01,1,2.534643e-01,1,2,211,4
E,10,2.186167e-01,1,2.445886e-01,1,3,16,6
E,10,1.012419e-01,1,2.445886e-01,1,3,19,3
E,10,2.445886e-01,1,2.445886e-01,1,2,25,5
E,10,1.012419e-01,1,2.445886e-01,1,3,27,3
E,10,2.445886e-01,1,2.445886e-01,1,2,62,5
E,10,5.389311e-02,1,2.445886e-01,1,1,100,8
E,10,2.186167e-01,1,2.445886e-01,1,3,175,6
E,10,1.900319e-01,1,2.445886e-01,1,1,176,4
E,10,1.012419e-01,1,2.445886e-01,1,3,204,3
E,10,2.186167e-01,1,2.445886e-01,1,3,207,6
E,11,1.440823e-01,1,2.320574e-01,1,2,3,4
E,11,9.534416e-02,1,2.320574e-01,1,1,99,8
E,11,3.408798e-02,1,2.320574e-01,1,1,103,9
E,11,2.163550e-01,1,2.320574e-01,1,1,151,5
E,11,1.440823e-01,1,2.320574e-01,1,2,202,4
E,11,2.320574e-01,1,2.320574e-01,1,1,209,6
E,12,2.058716e-01,1,2.239313e-01,1,6,13,7
E,12,2.058716e-01,1,2.239313e-01,1,6,35,7
E,12,2.239313e-01,1,2.239313e-01,1,6,48,6
E,12,2.058716e-01,1,2.239313e-01,1,6,65,7
E,12,2.058716e-01,1,2.239313e-01,1,6,94,7
E,12,2.239313e-01,1,2.239313e-01,1,6,117,6
E,12,2.058716e-01,1,2.239313e-01,1,6,158,7
E,12,2.239313e-01,1,2.239313e-01,1,6,168,6
E,12,2.239313e-01,1,2.239313e-01,1,6,183,6
E,12,2.239313e-01,1,2.239313e-01,1,6,198,6
E,12,2.058716e-01,1,2.239313e-01,1,6,201,7
E,12,2.239313e-01,1,2.239313e-01,1,6,212,6
E,13,2.152176e-01,1,2.152176e-01,1,1,152,7
E,14,4.909067e-02,1,2.076812e-01,1,1,67,4
E,14,1.949098e-01,1,2.076812e-01,1,1,147,8
E,14,2.915176e-02,1,2.076812e-01,1,1,160,11
E,15,1.681126e-01,1,2.015191e-01,1,1,12,9
E,15,2.015191e-01,1,2.015191e-01,1,1,75,8
E,15,1.362433e-01,1,2.015191e-01,1,1,78,6
E,16,5.348779e-02,1,1.944624e-01,1,1,18,5
E,16,1.944624e-01,1,1.944624e-01,1,1,81,8
E,16,1.391996e-01,1,1.944624e-01,1,1,101,10
E,16,2.077854e-02,1,1.944624e-01,1,1,215,4
E,17,1.631091e-01,1,1.900902e-01,1,1,55,10
E,17,1.619138e-03,1,1.900902e-01,1,1,105,15
E,17,1.772276e-01,1,1.900902e-01,1,1,185,8
E,18,1.539194e-01,1,1.834337e-01,1,2,4,8
E,18,8.642132e-02,1,1.834337e-01,1,1,36,12
E,18,1.539194e-01,1,1.834337e-01,1,2,79,8
E,18,1.043668e-01,1,1.834337e-01,1,1,196,7
E,19,1.681598e-01,1,1.803643e-01,1,1,86,9
E,19,7.973041e-02,1,1.803643e-01,1,2,92,7
E,19,6.536554e-02,1,1.803643e-01,1,1,153,13
E,19,7.973041e-02,1,1.803643e-01,1,2,200,7
E,20,9.010942e-02,1,1.740483e-01,1,1,69,13
E,20,1.031530e-01,1,1.740483e-01,1,1,83,8
E,20,1.740483e-01,1,1.740483e-01,1,1,104,10
E,20,1.475193e-01,1,1.740483e-01,1,1,180,9
E,20,1.028900e-02,1,1.740483e-01,1,1,188,5
E,21,1.536956e-01,1,1.719548e-01,1,1,29,12
E,21,8.039834e-02,1,1.719548e-01,1,1,87,8
E,21,6.994863e-02,1,1.719548e-01,1,1,146,14
E,22,1.631449e-01,1,1.659333e-01,1,1,60,12
E,22,6.095806e-02,1,1.659333e-01,1,1,84,8
E,22,1.346042e-01,1,1.659333e-01,1,1,98,13
E,22,3.031108e-02,1,1.659333e-01,1,1,187,7
E,24,6.223627e-02,1,1.588245e-01,1,1,57,9
E,24,9.475753e-02,1,1.588245e-01,1,1,82,15
E,25,1.177683e-01,1,1.580636e-01,1,1,145,11
E,26,1.303506e-01,1,1.525286e-01,1,1,50,15
E,28,1.278299e-01,1,1.470582e-01,1,1,45,13
E,29,1.379383e-01,1,1.469767e-01,1,2,33,16
E,29,1.379383e-01,1,1.469767e-01,1,2,85,16
E,29,1.469767e-01,1,1.469767e-01,1,1,96,15
E,31,8.239485e-02,1,1.422091e-01,1,1,162,19
E,33,2.601489e-03,1,1.378572e-01,1,1,213,9
E,34,2.202118e-02,1,1.347577e-01,1,1,15,12
E,34,1.347577e-01,1,1.347577e-01,1,2,46,18
E,34,1.347577e-01,1,1.347577e-01,1,2,76,18
E,36,9.779241e-02,1,1.312589e-01,1,1,107,21
E,36,1.196675e-01,1,1.312589e-01,1,1,131,20
E,36,2.712634e-02,1,1.312589e-01,1,1,150,24
E,40,9.716502e-02,1,1.249619e-01,1,1,133,23
E,41,1.236007e-01,1,1.236007e-01,1,1,142,21
E,42,9.904575e-03,1,1.221139e-01,1,1,97,29
E,42,1.061472e-01,1,1.221139e-01,1,1,134,20
E,43,1.124800e-01,1,1.206435e-01,1,1,115,21
E,46,1.137483e-01,1,1.169203e-01,1,1,54,23
E,46,7.595736e-02,1,1.169203e-01,1,1,108,27
E,46,9.560382e-02,1,1.169203e-01,1,1,113,26
E,46,1.103573e-01,1,1.169203e-01,1,1,127,25
E,49,9.053649e-02,1,1.128347e-01,1,1,124,23
E,50,9.522301e-03,1,1.122941e-01,1,1,116,18
E,50,1.070614e-01,1,1.122941e-01,1,1,118,27
E,51,7.109202e-02,1,1.105291e-01,1,1,31,23
E,52,7.971328e-02,1,1.101625e-01,1,1,126,24
E,53,3.329314e-03,1,1.083492e-01,1,1,171,37
E,56,4.412428e-02,1,1.062124e-01,1,2,119,24
E,56,4.412428e-02,1,1.062124e-01,1,2,121,24
E,59,9.552587e-02,1,1.028050e-01,1,1,129,29
E,64,8.635936e-02,1,9.934960e-02,1,1,112,31
E,66,6.306526e-02,1,9.781415e-02,1,1,30,38
E,68,5.632565e-03,1,9.634086e-02,1,1,166,45
E,69,1.073939e-02,1,9.555972e-02,1,1,88,27
E,72,3.792851e-02,1,9.356461e-02,1,1,95,43
E,72,5.676712e-02,1,9.356461e-02,1,1,135,33
E,78,4.706194e-12,1,8.977424e-02,1,1,51,69
E,81,4.688518e-03,1,8.842620e-02,1,1,138,31
E,82,1.010419e-02,1,8.746297e-02,1,1,89,33
E,84,4.228095e-02,1,8.636473e-02,1,1,74,49
E,84,6.431283e-03,1,8.636473e-02,1,1,90,33
E,89,9.155511e-03,1,8.437951e-02,1,1,93,56
E,90,4.565436e-03,1,8.361792e-02,1,1,164,58
E,102,2.139199e-04,1,7.879827e-02,1,1,172,70
E,108,4.752368e-02,1,7.663433e-02,1,1,102,61
E,133,2.581028e-05,1,6.907351e-02,1,1,49,46
E,140,4.693784e-04,1,6.714480e-02,1,1,170,91
H,1,4.227344e-01,1,5.772656e-01,1,7,14,1
H,1,4.227344e-01,1,5.772656e-01,1,7,20,1
H,1,4.227344e-01,1,5.772656e-01,1,7,28,1
H,1,5.772656e-01,1,5.772656e-01,1,14,39,0
H,1,5.772656e-01,1,5.772656e-01,1,14,43,0
H,1,4.227344e-01,1,5.772656e-01,1,7,44,1
H,1,4.227344e-01,1,5.772656e-01,1,7,47,1
H,1,5.772656e-01,1,5.772656e-01,1,14,67,0
H,1,5.772656e-01,1,5.772656e-01,1,14,68,0
H,1,4.227344e-01,1,5.772656e-01,1,7,77,1
H,1,5.772656e-01,1,5.772656e-01,1,14,106,0
H,1,5.772656e-01,1,5.772656e-01,1,14,130,0
H,1,5.772656e-01,1,5.772656e-01,1,14,136,0
H,1,5.772656e-01,1,5.772656e-01,1,14,148,0
H,1,5.772656e-01,1,5.772656e-01,1,14,156,0
H,1,5.772656e-01,1,5.772656e-01,1,14,163,0
H,1,5.772656e-01,1,5.772656e-01,1,14,167,0
H,1,5.772656e-01,1,5.772656e-01,1,14,169,0
H,1,5.772656e-01,1,5.772656e-01,1,14,173,0
H,1,5.772656e-01,1,5.772656e-01,1,14,174,0
H,1,4.227344e-01,1,5.772656e-01,1,7,191,1
H,2,1.787044e-01,1,4.880601e-01,1,6,21,2
H,2,3.332356e-01,1,4.880601e-01,1,6,40,0
H,2,3.332356e-01,1,4.880601e-01,1,6,55,0
H,2,4.880601e-01,1,4.880601e-01,1,4,70,1
H,2,1.787044e-01,1,4.880601e-01,1,6,80,2
H,2,1.787044e-01,1,4.880601e-01,1,6,101,2
H,2,3.332356e-01,1,4.880601e-01,1,6,104,0
