species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0091,0.047947,0.781382,6
saccharomyces_sp_boulardii_,KO01_00440,0.047947,0.781382,6
saccharomyces_arboricola_h_6,SU7_0057,-0.000000,0.312500,6
saccharomyces_eubayanus,DI49_0090,0.072975,0.875173,7
tetrapisispora_phaffii_cbs_4417,TPHA_0K00590,-0.000000,0.625000,5
kazachstania_africana_cbs_2517,KAFR_0G01130,0.101366,0.875133,4
kazachstania_naganishii_cbs_8797,KNAG_0C04360,-0.000000,0.625000,5
naumovozyma_castellii_cbs_4309,NCAS_0E02390,0.499289,0.968952,6
naumovozyma_dairenensis_cbs_421,NDAI_0E03950,0.200662,0.968952,6
vanderwaltozyma_polyspora_dsm_70294,Kpol_1018p115,0.138629,0.937546,5
vanderwaltozyma_polyspora_dsm_70294,Kpol_1045p9,0.138629,0.937546,5
_candida_glabrata,CAGL0M09581g,0.460517,0.937546,5
torulaspora_delbrueckii,TDEL_0C02950,0.138629,0.937546,5
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL272C,0.460517,0.937546,5
lachancea_lanzarotensis,LALA0_S01e05754g,0.460517,0.937546,5
ashbya_gossypii,AGOS_AGL272C,0.460517,0.937546,5
eremothecium_cymbalariae_dbvpg_7215,Ecym_7121,0.101366,0.875133,4
eremothecium_sinecaudum,AW171_hschr42370,0.072975,0.875173,7
lachancea_thermotolerans_cbs_6340,KLTH0C05698g,0.460517,0.937546,5
kluyveromyces_lactis,KLLA0_E06667g,0.138629,0.937546,5
kluyveromyces_marxianus_dmku3_1042,KLMA_70140,0.138629,0.937546,5
hanseniaspora_opuntiae,AWRI3578_g1325,0.138629,0.937546,5
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_50973,0.047947,0.781382,6
hanseniaspora_uvarum_dsm_2768,D499_0F01020,0.138629,0.937546,5
hanseniaspora_osmophila,AWRI3579_g3021,0.200662,0.968952,6
tetrapisispora_blattae_cbs_6284,TBLA_0I00990,-0.000000,0.625000,5
zygosaccharomyces_bailii_isa1307,ZBAI_08335,0.101366,0.875133,4
zygosaccharomyces_bailii_isa1307,ZBAI_03329,0.101366,0.875133,4
zygosaccharomyces_rouxii,ZYRO0F13068g,0.460517,0.937546,5
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_28380,0.366204,0.750000,3
kuraishia_capsulata_cbs_1993,KUCA_T00001079001,0.447940,0.875133,4
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_49613,-0.000000,0.750000,3
cyberlindnera_jadinii,BN1211_6171,0.499289,0.968952,6
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_17928,-0.000000,0.375000,4
ogataea_parapolymorpha_dl_1,HPODL_02577,0.366204,0.750000,3
brettanomyces_bruxellensis_awri1499,AWRI1499_3314,-0.000000,0.546875,7
ogataea_polymorpha,OGAPODRAFT_15376,0.346574,0.500000,2
komagataella_phaffii_cbs_7435,PP7435_CHR3-0630,-0.000000,0.500000,2
komagataella_pastoris,PAS_chr3_0576,-0.000000,0.500000,2
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_8173,0.138629,0.937546,5
pichia_kudriavzevii,JL09_g2373,-0.000000,0.750000,3
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_77523,-0.000000,0.750000,3
wickerhamomyces_ciferrii,BN7_4133,0.101366,0.875133,4
_candida_auris,QG37_05721,0.366204,0.750000,3
_candida_tenuis_atcc_10573,CANTEDRAFT_124062,0.460517,0.937546,5
debaryomyces_fabryi,AC631_04945,-0.000000,0.750000,3
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_166052,-0.000000,0.625000,5
candida_orthopsilosis_co_90_125,CORT_0B06550,0.229920,0.984563,7
candida_maltosa_xu316,G210_2773,0.200662,0.968952,6
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_36046,0.447940,0.875133,4
candida_dubliniensis_cd36,CD36_04360,0.138629,0.937546,5
lodderomyces_elongisporus_nrrl_yb_4239,LELG_01813,0.507907,0.984563,7
meyerozyma_guilliermondii_atcc_6260,PGUG_01133,0.346574,0.500000,2
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_180314,0.460517,0.937546,5
scheffersomyces_stipitis_cbs_6054,PICST_86570,0.447940,0.875133,4
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K01836g,0.138629,0.937546,5
clavispora_lusitaniae_atcc_42720,CLUG_01226,-0.000000,0.750000,3
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_145832,-0.000000,0.750000,3
debaryomyces_hansenii_cbs767,DEHA2D13398g,-0.000000,0.750000,3
candida_tropicalis_mya_3404,CTRG_04698,0.047947,0.781382,6
candida_albicans_wo_1,CAWG_00934,0.138629,0.937546,5
candida_parapsilosis_cdc317,CPAR2_105340,0.507907,0.984563,7
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L01837g,0.138629,0.937546,5
sugiyamaella_lignohabitans,AWJ20_5107,0.447940,0.875133,4
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_25413,0.346574,0.500000,2
geotrichum_candidum,BN980_GECA01s09107g,0.447940,0.875133,4
geotrichum_candidum,BN980_GECA04s00593g,0.447940,0.875133,4
yarrowia_lipolytica,YALI0_F03179g,-0.000000,0.375000,4
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_448,0.074194,0.890977,10
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_32002,0.138629,0.937546,5
neurospora_tetrasperma_fgsc_2509,NEUTE2DRAFT_80126,0.460517,0.937546,5
pseudogymnoascus_sp_wsf_3629,VE00_06109,0.229920,0.984563,7
dactylellina_haptotyla_cbs_200_50,H072_5189,0.172277,0.978935,10
bipolaris_oryzae_atcc_44560,COCMIDRAFT_89489,0.101366,0.875133,4
verticillium_alfalfae_vams_102,VDBG_05020,0.447940,0.875133,4
colletotrichum_higginsianum,CH063_09220,0.460517,0.937546,5
diaporthe_helianthi,DHEL01_13843,0.366204,0.750000,3
pseudogymnoascus_sp_vkm_f_4516_fw_969_,V497_03571,0.229920,0.984563,7
penicillium_rubens_wisconsin_54_1255,PCH_Pc12g03370,0.499289,0.968952,6
pseudocercospora_musae,AC579_5957,0.447940,0.875133,4
aspergillus_rambellii,ARAM_000482,0.229920,0.984563,7
cladophialophora_carrionii_cbs_160_54,G647_02704,0.047947,0.781382,6
pseudogymnoascus_sp_05ny08,VF21_07340,0.229920,0.984563,7
metarhizium_anisopliae_arsef_23,MAA_03979,-0.000000,0.546875,7
magnaporthe_poae,MAPG_03402,0.047947,0.781382,6
emmonsia_parva_uamh_139,EMPG_13625,-0.000000,0.546875,7
ophiocordyceps_sinensis_co18,OCS_00009,0.447940,0.875133,4
aspergillus_calidoustus,ASPCAL11533,0.047947,0.781382,6
microsporum_gypseum_cbs_118893,MGYG_05144,0.229920,0.984563,7
trichoderma_virens,TRIVIDRAFT_88676,0.499289,0.968952,6
acremonium_chrysogenum_atcc_11550,ACRE_069630,0.499289,0.968952,6
aureobasidium_namibiae_cbs_147_97,M436DRAFT_70570,0.460517,0.937546,5
leptosphaeria_maculans,LEMA_P027950.1,0.101366,0.875133,4
sporothrix_brasiliensis_5110,SPBR_05655,0.447940,0.875133,4
aureobasidium_subglaciale_exf_2481,AUEXF2481DRAFT_40587,0.138629,0.937546,5
neurospora_crassa,NCU02514,0.460517,0.937546,5
aspergillus_terreus,CADATEAG00007248,0.200662,0.968952,6
exophiala_spinifera,PV08_00912,-0.000000,0.625000,5
penicillium_italicum,PITC_059080,0.499289,0.968952,6
isaria_fumosorosea_arsef_2679,ISF_00087,0.460517,0.937546,5
